Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.003455527,0.388885,0.0053275307,0.03600876,4.8998876,78.17537,5.4841526e-05,0.039771963,0.01517316,-0.00015963367,Mar,2,4,1,3,Returning_Visitor,True,False
17.061665,2628.481,24.016968,2050.5518,707.2711,43224.41,0.0072694174,0.016067605,0.49836132,-0.013128654,May,2,2,1,14,Returning_Visitor,True,False
11.882412,247.43962,3.9684808,1518.3186,436.15912,22013.248,0.0027778165,0.012505419,10.18316,-0.004849793,Sep,2,2,1,13,Returning_Visitor,False,False
14.538205,151.14674,2.0201783,1529.3608,23.222294,2148.5674,0.0050838417,0.02040043,16.115448,-0.0024142053,Oct,2,2,2,20,Returning_Visitor,False,False
0.010397799,-2.5144582,5.994551,77.20596,423.73337,17124.697,0.0061102803,0.021187203,0.38001654,-0.001693034,Nov,2,2,7,1,Returning_Visitor,True,False
18.073687,280.6493,6.00521,764.1807,79.52324,2109.2427,0.0032015962,0.014270564,25.970516,-0.001321168,Mar,2,4,2,2,Returning_Visitor,False,False
14.016844,1128.686,6.0002127,261.86,26.179218,2557.8406,0.016006775,0.01759897,20.41888,-0.00012513375,Mar,1,2,1,2,Returning_Visitor,False,False
14.000795,2134.3237,-0.0067329626,-0.13068588,52.88466,4228.968,0.0090104705,0.01719987,8.782023,4.3592103e-05,Nov,3,2,2,2,Returning_Visitor,False,False
11.970957,237.20181,-0.021140061,1.2074946,436.8391,17490.797,0.0053637265,0.017970322,2.9672635,-0.0017778439,Nov,2,5,1,10,Returning_Visitor,False,True
2.9953246,52.048893,1.0022991,77.38527,198.65997,3057.5537,-5.4004006e-05,0.0029571604,11.92668,-0.00020197904,May,4,1,5,1,Returning_Visitor,True,True
8.003442,288.44745,-0.00017996841,-0.18389328,138.86833,5069.629,0.015594734,0.043966543,8.322157,-0.0002695111,Aug,2,2,2,1,Returning_Visitor,False,False
1.9916424,24.295044,7.0056667,277.99063,75.75938,2734.5073,0.0025389788,0.024867037,8.877237,-0.0005050165,Mar,2,5,2,7,Returning_Visitor,False,True
4.0250974,37.60708,3.0071356,908.0486,22.951933,530.8139,-0.00017821822,0.015390298,25.494823,0.5985507,May,2,6,1,2,Returning_Visitor,False,True
6.9998965,136.20433,1.9968152,190.10095,131.54103,7327.821,0.0043581347,0.017792424,8.980183,-0.00010847425,Dec,4,1,4,10,Returning_Visitor,False,False
12.9967,189.41893,3.0033023,21.101137,107.9651,4031.006,0.007382978,0.014210337,23.981495,-0.00012894472,May,3,2,9,13,Returning_Visitor,True,True
4.9840083,96.31795,0.0068450053,-0.07110794,68.45608,2669.9697,-1.07571095e-05,0.005375537,4.8499746,-0.0003309225,Sep,4,2,1,5,New_Visitor,True,False
8.001035,145.73897,5.0050197,125.53867,98.7616,3872.7683,0.001861069,0.026813049,10.247212,-0.00027243546,Nov,2,2,9,3,Returning_Visitor,False,False
3.9860265,62.35582,0.001191594,-0.056730345,18.917645,603.57275,0.00017656539,0.02725777,17.46933,1.0016708,Feb,1,1,7,4,Returning_Visitor,True,True
1.0065649,3.9817042,0.0073252697,-0.22229202,8.027298,244.86995,0.019861696,0.03964946,15.328323,-0.00042729205,Sep,2,4,1,1,Returning_Visitor,False,True
5.9835176,85.479294,0.000400253,-0.03377731,11.95796,899.88257,-6.7691863e-06,0.026710734,23.669165,-0.00025357804,Dec,4,5,1,1,Returning_Visitor,False,True
1.9942243,39.04597,0.00029290502,0.3571605,67.93194,2285.2822,0.009805333,0.029897258,12.963313,0.99730086,May,2,2,2,2,Returning_Visitor,True,False
10.005095,62.62288,1.009702,93.885826,28.151085,718.2381,1.1589044e-05,0.023414595,14.756338,0.20186256,May,2,2,4,5,New_Visitor,False,False
6.9859824,309.98618,0.0010709245,-0.045419767,35.949806,1690.6704,0.010296994,0.035475906,133.33057,-0.00025076544,Dec,3,2,1,13,Returning_Visitor,False,False
5.99529,1012.65125,1.0052462,376.90195,7.9784627,243.38832,0.00017145988,0.022588855,13.878356,-0.00025729588,Sep,2,2,3,2,Returning_Visitor,True,False
2.002357,41.798717,1.9995015,9.443176,42.964027,1541.7985,3.9716848e-05,0.004297263,8.526928,-0.00024867928,Dec,8,13,9,20,Other,False,True
18.043114,606.992,5.9979444,735.29407,168.85902,4948.4746,0.006552704,0.0137312235,10.12891,-0.0012129856,Aug,2,2,3,1,Returning_Visitor,True,False
7.992408,339.06818,0.0024315794,0.020997927,26.053318,1071.3646,7.5769067e-06,0.015220317,11.834873,-0.00044707707,Dec,1,1,1,8,New_Visitor,True,False
11.984669,401.2888,2.9726346,430.19763,335.0535,12630.511,0.0021036079,0.013317772,1.0683696,-0.0009607834,Nov,2,2,1,11,Returning_Visitor,False,True
16.899979,323.57724,2.4218007e-06,0.07927887,44.96994,1525.3221,0.0025027243,0.020897347,7.117321,-0.00036165616,Nov,1,1,3,10,Returning_Visitor,False,True
3.988973,93.509415,0.0033754786,0.071039125,34.08456,1157.423,0.0055892463,0.019088238,16.041073,9.8540135e-05,May,1,8,1,4,Returning_Visitor,False,False
2.0014138,56.903248,1.004326,28.24343,41.883575,1761.2587,4.289452e-05,0.007135975,4.474178,-0.0004176212,Nov,4,1,9,8,Returning_Visitor,True,True
1.0093259,89.40931,0.0028905054,-0.019064024,16.953926,1170.9304,3.1927266e-05,0.012579032,9.581268,-4.30507e-05,May,1,1,3,4,New_Visitor,True,True
14.025318,351.78598,2.000813,761.71936,64.45521,3659.875,0.0140500935,0.02415227,9.626756,-0.0008031142,Nov,3,2,3,2,Returning_Visitor,True,True
7.993975,971.79224,-0.0034359912,0.1706485,32.097916,1005.18115,0.0051683444,0.010640069,16.429823,-0.00011816745,Dec,2,10,7,2,New_Visitor,True,True
2.0036724,24.992477,0.002158173,0.05165665,19.85177,665.3779,7.752482e-05,0.009248725,18.592108,-0.0001353783,Mar,4,1,1,3,Returning_Visitor,False,False
0.017035134,0.66969246,1.0084919,105.803024,43.9963,876.3531,0.00010141324,0.036505926,9.621587,-0.00018345317,Sep,2,6,4,2,Returning_Visitor,False,False
7.991989,129.63788,1.004172,17.485872,18.940065,296.64972,3.3819713e-05,0.016985947,19.799345,-0.0002181915,Mar,2,2,3,1,Returning_Visitor,True,False
-0.0023192095,-0.036774196,0.0017466921,-0.16931732,32.156322,1587.7349,4.5445204e-06,0.013000005,15.509123,-0.00010666748,Dec,2,2,6,1,Returning_Visitor,False,False
9.993398,513.4703,3.0015173,85.717896,49.912014,1565.7716,0.0036761293,0.012192103,12.231091,3.0125178e-05,Aug,3,2,4,4,Returning_Visitor,True,True
11.9942045,1104.4308,8.98623,627.0139,125.03797,7467.2134,0.008034845,0.022188501,7.2519097,-0.0006219906,Nov,3,2,4,2,Returning_Visitor,False,True
