Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.2800373,38.798157,0.1259733,0.9824695,28.401838,1070.4474,0.015912885,0.040781952,0.7683026,0.61157465,May,2,2,1,4,Returning_Visitor,False,False
4.869523,125.83086,4.069464,574.18835,50.148888,2006.9122,0.005508113,0.020338142,4.7201166,-0.0011013089,Nov,2,2,1,2,Returning_Visitor,False,False
2.118277,80.041336,0.2529421,3.034542,19.752281,707.0803,0.004981087,0.024086647,0.85632485,-0.00036324686,Nov,1,1,1,2,Returning_Visitor,False,False
7.747166,247.96915,1.2731594,55.74671,46.445885,1579.2404,0.0061893067,0.020292103,6.36913,-0.00067197654,May,2,2,1,2,Returning_Visitor,False,False
3.0297182,85.92596,0.09324739,0.5165195,18.16148,606.9481,0.0011939422,0.016603611,0.973654,-0.00064988557,Mar,2,2,1,2,New_Visitor,False,False
1.009398,24.43663,0.09642736,0.43360704,22.106277,732.78925,0.016148897,0.041078907,0.4526331,0.66029483,May,2,2,1,3,Returning_Visitor,False,False
0.060289033,0.5167689,0.0026487191,-0.05372818,3.043343,67.89278,0.17844059,0.18148462,0.0021507367,-0.0010390443,Mar,3,2,1,1,Returning_Visitor,False,False
1.8223737,43.196507,0.21212514,3.8016758,23.368464,833.7399,0.0073812013,0.028213575,1.2225559,-0.00069388124,May,2,2,1,4,Returning_Visitor,False,False
1.2117304,30.3633,0.22645874,1.8969516,36.854446,1420.1862,0.0075879567,0.030251406,1.2546728,-0.0004223337,Nov,2,2,1,2,Returning_Visitor,False,False
5.989958,192.96231,0.7325568,24.633753,77.221924,2961.682,0.0075803525,0.022513706,2.0056162,-0.0007443515,Dec,2,2,4,1,Returning_Visitor,False,False
1.1404159,31.453121,0.046820737,0.11367218,19.930346,718.8318,0.006971965,0.028929334,0.31536648,-0.00028894222,Mar,1,1,1,2,Returning_Visitor,False,False
7.400842,207.14832,1.2840353,58.25025,76.00532,2876.5337,0.005533138,0.01975002,4.4929028,-0.000651927,Nov,2,2,1,2,Returning_Visitor,False,False
1.6723771,41.884445,0.16567184,5.0866146,22.061035,920.38226,0.005052201,0.030644089,0.5868899,-0.00047972178,Mar,2,2,1,3,Returning_Visitor,True,False
1.240678,41.710888,0.15521349,1.677679,23.593351,961.34576,0.008821486,0.033677824,1.3443482,-0.00046251094,Dec,2,2,1,1,Returning_Visitor,False,False
0.83325565,20.505692,0.024619259,0.24584,16.380247,547.47375,0.013798497,0.041687455,0.41759035,-0.00055381405,May,2,2,1,3,Returning_Visitor,False,False
1.3627217,33.03746,0.075072415,0.3638515,20.772476,794.2799,0.008588297,0.034484852,0.51444405,-0.0004899402,Mar,2,5,1,3,Returning_Visitor,False,False
1.3452011,37.736935,0.16160713,1.9944285,21.350645,817.0618,0.008096411,0.03186036,0.96928567,-0.00043967864,Dec,2,2,1,2,Returning_Visitor,False,False
0.0651635,0.29940745,0.0058510383,-0.15260513,2.3836694,25.569775,0.18372831,0.18760279,0.016690932,-0.00026722378,Mar,1,1,1,3,Returning_Visitor,False,False
2.0723376,75.684875,0.08050022,0.54575914,16.914494,644.8454,0.014111495,0.034672245,0.7931816,-0.0006743458,May,3,2,1,13,Returning_Visitor,False,False
0.13561594,2.680389,0.013285674,-0.040983275,7.39436,116.40376,0.14392038,0.15350102,0.030477248,0.63328475,May,3,2,1,3,Returning_Visitor,False,False
1.1633571,23.24789,0.12235949,0.53665346,26.48263,910.24274,0.022420272,0.047829747,0.51832074,0.9966859,May,3,2,3,4,Returning_Visitor,True,False
0.9583596,34.749977,0.08057008,0.46317858,17.809723,755.4943,0.02454545,0.04241293,1.4859164,-0.0005515826,Nov,3,2,1,13,Returning_Visitor,False,False
1.340859,32.308426,0.044060417,0.17021744,19.162003,758.7489,0.005186995,0.029672628,1.3534272,-0.0006059942,May,2,2,1,2,Returning_Visitor,False,False
1.3611621,34.808426,0.05769054,0.18662827,7.7045865,372.43396,0.042407762,0.05270837,0.8938057,-0.0006781009,Dec,8,13,9,20,Other,False,False
1.7150855,50.944675,0.1262499,0.7955379,26.054873,973.3176,0.01281349,0.03415518,1.0346305,-0.00069315854,Aug,2,2,1,1,Returning_Visitor,False,False
