Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0377471,24.203602,0.09978423,7.5754642,19.228914,711.6148,0.008022912,0.037614234,1.7322323,0.00902282,Mar,2,6,1,1,Returning_Visitor,False,False
1.0100375,23.740948,0.11858339,8.700062,14.890102,580.66046,0.030375505,0.05858332,0.80362195,0.16008282,May,3,2,3,3,Returning_Visitor,False,False
1.5245581,38.200024,0.21740799,13.038525,21.82098,991.0311,0.0061828117,0.032662842,2.5366335,-0.0003029195,Dec,2,2,1,2,Returning_Visitor,False,False
0.92252505,21.410854,0.089750506,3.4666462,15.621033,737.06647,0.009976919,0.038612287,1.1743958,0.0023900967,Mar,2,2,2,1,Returning_Visitor,False,False
1.0954,20.307358,0.07367886,5.148514,14.085798,517.5522,0.014792048,0.043823928,0.42084,0.005720327,Nov,1,1,1,3,Returning_Visitor,False,False
1.2187642,34.992325,0.1932293,10.54147,15.86746,636.84247,0.011011904,0.03609768,1.3621767,-4.895156e-05,Mar,1,1,3,2,Returning_Visitor,True,False
0.07798875,-0.11785177,0.000875004,-0.5029965,1.6340623,3.014477,0.19528869,0.19546174,0.044668876,0.0029290754,Mar,1,1,3,1,Returning_Visitor,False,False
8.676504,207.13219,0.6368833,36.01383,58.133404,2121.631,0.003993114,0.017865667,6.9084625,0.011172428,May,2,2,3,2,Returning_Visitor,False,False
0.8176588,16.10822,0.06931201,4.7006454,16.14139,676.4452,0.01498805,0.050423857,0.76485604,0.1033215,May,2,2,3,13,Returning_Visitor,False,False
1.2872813,28.788479,0.17260285,11.734587,23.604477,1096.7526,0.0035723837,0.026500324,1.4257252,0.00017278516,Nov,2,2,1,2,Returning_Visitor,False,False
6.732314,200.8085,5.2194467,344.36636,48.990543,2077.8179,0.0076611578,0.021856083,6.5359583,0.0076962584,Mar,3,2,3,2,Returning_Visitor,False,False
3.4328265,84.19425,0.35615376,27.824919,18.44527,878.72156,0.004906447,0.021494752,1.3771951,-2.3183726e-05,Nov,4,2,1,8,Returning_Visitor,True,False
0.79898655,19.201637,0.110994376,6.3149605,14.828165,681.277,0.008717145,0.03607861,1.0697052,-0.00020943707,Mar,2,2,1,10,Returning_Visitor,False,False
2.8533394,76.41421,0.3666221,19.506954,16.468786,588.53955,0.010096483,0.02792813,2.2296004,3.5265793e-07,May,3,2,1,4,Returning_Visitor,True,False
8.2141905,294.3575,0.95853454,40.987556,44.045334,1678.7578,0.009237043,0.021171525,4.1269274,0.025473466,May,3,2,1,2,Returning_Visitor,False,False
1.6397357,43.07094,0.17896472,14.607403,20.856771,925.4279,0.005577726,0.029898157,1.9163649,0.0010234216,Mar,2,2,3,2,Returning_Visitor,False,False
1.1645774,23.212784,0.16507818,8.276213,17.48736,684.38666,0.0071034315,0.032935865,2.099436,0.0076001384,May,2,2,1,4,Returning_Visitor,False,False
1.1205679,18.613323,0.046578623,2.5700455,16.73635,753.1039,0.009931218,0.04330273,1.0576289,0.004717766,Nov,2,2,1,3,Returning_Visitor,False,False
9.529751,1293.0739,1.1005459,67.66183,36.38753,2096.0847,0.006523905,0.022399962,5.9088383,0.0032042775,Mar,2,2,3,2,Returning_Visitor,False,False
0.049292453,2.035995,0.0020133634,-0.5603238,2.033711,57.40327,0.17399873,0.18219505,0.02539321,0.0034366685,Mar,3,2,3,1,Returning_Visitor,False,False
5.2208166,133.7635,0.540706,37.352276,44.435513,1915.3564,0.0035414079,0.017417416,7.0003915,0.001709419,May,2,4,1,2,Returning_Visitor,False,False
0.47181368,10.836486,0.062082656,4.723114,17.796705,697.8431,0.009820464,0.039456695,0.7170765,0.13557768,May,2,4,3,2,Returning_Visitor,False,False
1.3098263,28.796555,0.2459888,14.71422,26.483494,1168.6796,0.0057567297,0.027495556,1.490269,-0.00013756877,Nov,2,2,1,2,Returning_Visitor,True,False
1.0218477,31.128254,0.05802647,3.1512165,14.741741,655.431,0.015897017,0.05116965,0.64614075,0.0009962866,Mar,1,1,1,1,Returning_Visitor,False,False
0.65750325,16.497337,0.067338236,4.410652,16.334166,690.55676,0.010926997,0.04287373,0.37777492,0.0039758594,Mar,2,2,7,1,Returning_Visitor,False,False
0.032688744,-0.43779805,0.0014304299,-0.5786038,1.5383782,13.2067375,0.19011799,0.19466288,0.021893226,0.0063415193,Dec,2,2,1,13,Returning_Visitor,False,False
0.62294805,11.802588,0.08887682,5.489914,13.455837,557.39465,0.0112788,0.04704213,0.77301615,0.0038872573,Mar,2,2,1,1,Returning_Visitor,False,False
0.77256227,18.051048,0.17024489,11.834682,14.323372,585.3816,0.02139375,0.052847553,0.22140379,0.7685318,May,1,1,1,2,Returning_Visitor,False,False
1.3335236,45.247486,0.15598477,6.0327396,8.535797,450.43408,0.038635153,0.06380127,1.1966622,-0.00011728456,Dec,8,13,9,20,Other,False,False
1.6691796,39.91416,0.35378164,19.178549,34.120197,1503.4875,0.010220272,0.032813787,2.2879927,-8.878236e-05,Nov,2,2,1,1,Returning_Visitor,True,False
0.948455,23.588142,0.041429676,1.4360904,12.98011,506.66705,0.012320684,0.040857855,0.30274412,-2.7814262e-05,Nov,3,2,3,1,Returning_Visitor,True,False
1.6123605,40.4113,0.10521514,5.5610523,14.655212,533.262,0.0023668592,0.020971447,0.1285202,-0.00030074766,Dec,2,2,1,2,New_Visitor,False,False
1.2878354,37.383762,0.1865168,11.74391,17.6165,649.0554,0.0056470013,0.028733488,1.5628564,0.0013872037,Dec,1,1,1,2,Returning_Visitor,False,False
1.0670573,17.431221,0.16627143,9.977861,24.143148,924.1484,0.019086117,0.05058815,0.74473065,1.000319,May,3,2,3,4,Returning_Visitor,True,False
0.9028361,21.558468,0.083879925,3.1664124,14.844393,665.1306,0.016225358,0.04025387,0.18957777,0.004612683,Nov,3,2,1,3,Returning_Visitor,False,False
3.7502866,81.15069,2.920798,961.10126,49.844604,2524.9639,0.008245501,0.025675822,4.1910434,0.0007623757,Nov,2,2,3,2,Returning_Visitor,False,False
2.2037272,81.39141,0.16688485,11.2192,10.691652,406.87866,0.0022442134,0.0220026,0.94873637,0.0012645895,Nov,1,1,1,2,New_Visitor,False,False
8.010837,267.44266,1.6540297,77.10612,48.7549,1974.0088,0.007204958,0.020048806,5.77645,0.003956838,Mar,1,1,1,2,Returning_Visitor,False,False
2.0725253,54.78551,0.215035,9.570576,13.7375145,552.3494,0.006879181,0.03064129,2.2297566,0.00039534146,Mar,1,1,1,10,Returning_Visitor,False,False
4.667659,102.28904,0.54972583,26.989298,65.27987,2576.1882,0.007349471,0.024389582,3.5310342,0.0012358153,Dec,2,2,1,1,Returning_Visitor,False,False
1.2624004,33.84561,0.078855045,2.9700909,13.864557,583.6858,0.013832014,0.042493273,0.73085374,0.0065676295,May,1,1,1,3,Returning_Visitor,False,False
1.330832,26.094894,0.13408802,7.4409084,21.17054,916.5732,0.005023261,0.030854076,2.2066734,0.008223339,Mar,4,1,1,1,Returning_Visitor,False,False
0.031184323,-0.18092397,0.0018513579,-0.5825253,1.5412431,22.201977,0.19397032,0.19637781,0.026480876,0.012969456,Mar,2,2,1,1,Returning_Visitor,False,False
0.7197987,12.748542,0.107991345,6.441759,20.814219,813.077,0.014476326,0.044481363,0.46252748,0.6848491,May,2,2,3,2,Returning_Visitor,False,False
1.1276737,32.15772,0.13277923,6.9600983,13.717339,619.74677,0.012992059,0.03699646,1.7413242,0.004657893,Mar,3,2,1,1,Returning_Visitor,False,False
3.3502789,83.581924,0.16328482,15.385996,14.3942795,504.80353,0.00069872814,0.013587547,0.8867814,0.0011913428,Mar,2,2,1,2,New_Visitor,False,False
0.951663,15.015067,0.06751252,3.0727386,15.609444,546.9749,0.010250344,0.042886764,0.89885443,0.102424406,May,2,2,1,3,Returning_Visitor,False,False
0.58112276,14.711349,0.060243167,4.3359947,13.779856,564.21466,0.025916496,0.05495546,1.4272816,-5.9464328e-05,Nov,3,2,1,13,Returning_Visitor,False,False
0.044203885,-0.7548986,0.002858915,-0.8003102,1.7626634,22.109814,0.19441509,0.19639504,0.0330021,0.0040140287,Mar,3,2,3,13,Returning_Visitor,False,False
0.061163314,-0.6760488,0.026287504,-0.49106795,1.5727944,24.262157,0.1919836,0.19421436,0.037244998,0.05572697,Nov,1,1,3,3,Returning_Visitor,False,False
7.655245,610.0855,9.458706,1384.9675,176.00706,11666.033,0.004504967,0.01887982,3.2082646,0.062290054,Mar,2,2,1,2,Returning_Visitor,False,False
4.071388,84.437775,0.30980873,20.114664,12.041901,425.24683,0.0034323686,0.024772039,2.2430036,0.0066309967,May,2,2,1,5,New_Visitor,False,False
0.05718697,-0.7841955,0.0036721607,-0.4900685,3.210896,33.28645,0.18201976,0.18797627,0.027588092,0.3283157,May,2,2,1,3,Returning_Visitor,False,False
7.530547,213.59291,2.2780583,97.42381,220.5284,8481.495,0.0043077725,0.017357508,2.5807652,0.0027241546,Nov,2,2,1,2,Returning_Visitor,False,False
1.2629354,39.687695,0.21597235,9.348251,14.865389,621.7552,0.008456449,0.029420892,1.174773,0.001360579,Nov,3,2,1,2,Returning_Visitor,False,False
1.6508625,47.571236,0.14119919,7.580168,17.46068,605.4543,0.0075615826,0.027526125,2.5766726,0.003289162,May,1,1,3,4,Returning_Visitor,False,False
2.0824604,50.55008,0.18570228,16.113516,12.248022,553.1433,0.0045576147,0.02620327,1.8682954,-1.3684262e-06,Nov,2,2,1,8,New_Visitor,False,False
0.9335059,26.961788,0.08700574,9.2617,16.480398,616.97876,0.039058533,0.063534364,0.31292555,0.3178426,May,3,2,1,13,Returning_Visitor,False,False
0.765821,16.651627,0.09228746,3.1027126,13.452871,592.0479,0.006150327,0.038413428,0.8542878,0.003074384,Nov,2,4,1,1,Returning_Visitor,False,False
