model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,20.584,0.09,0.769,0.795,0.898,0.903,0.93,1.3e-05,,,,,,
rf,Full-data,0.85,0.786,0.876,0.865,0.009,0.008,0.005,0.007,62.481,1.567,0.859,0.791,0.878,0.867,0.921,2.3e-05,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,372.603,16.572,0.771,0.795,0.897,0.902,0.885,0.000258,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,9.183,6.608,0.702,0.746,0.88,0.894,0.902,1e-06,,,,,,
mlp,Full-data,0.767,0.787,0.893,0.897,0.01,0.009,0.004,0.004,72.265,1.957,0.77,0.788,0.893,0.896,0.924,1.1e-05,,,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.395,20.801,0.83,0.793,0.885,0.878,0.883,5.6e-05,10,0,,,,
rf,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,24.555,0.542,0.802,0.71,0.819,0.796,0.875,4.7e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.082,0.001,0.71,0.648,0.785,0.759,0.794,2e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,5.023,0.007,0.775,0.724,0.84,0.826,0.851,1e-06,10,0,,,,
mlp,random,0.4,0.333,0.333,0.4,0.2,0.207,0.207,0.2,7.057,0.803,0.755,0.685,0.807,0.785,0.828,6.1e-05,10,0,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.114,0.032,0.808,0.788,0.885,0.882,0.871,1e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,16.34,0.372,0.773,0.741,0.856,0.848,0.866,2.4e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
svc,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.225,0.002,0.826,0.739,0.841,0.822,0.892,2e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
logreg,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.757,0.007,0.83,0.759,0.857,0.843,0.891,0.0,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
mlp,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,7.126,0.019,0.799,0.704,0.814,0.79,0.873,2.9e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.159,0.037,0.812,0.801,0.894,0.892,0.812,1.6e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.829,0.349,0.77,0.703,0.822,0.803,0.849,2.4e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.867,0.002,0.808,0.691,0.798,0.769,0.882,2e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.899,0.005,0.818,0.736,0.84,0.822,0.88,0.0,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
mlp,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,8.062,0.044,0.812,0.717,0.824,0.801,0.877,7.3e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
xgb,k_center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.78,0.025,0.531,0.287,0.293,0.287,0.767,1.7e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
rf,k_center,0.5,0.487,0.487,0.5,0.158,0.169,0.169,0.158,15.95,0.542,0.486,0.191,0.145,0.197,0.636,1.9e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
svc,k_center,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,4.868,0.002,0.467,0.167,0.109,0.175,0.648,4e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
logreg,k_center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,6.15,0.005,0.481,0.142,0.062,0.158,0.3,1e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
mlp,k_center,0.55,0.527,0.527,0.55,0.292,0.31,0.31,0.292,5.784,0.867,0.483,0.242,0.234,0.242,0.41,1.5e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
xgb,craig,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,4.18,0.031,0.5,0.134,0.042,0.155,0.521,2e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
rf,craig,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,15.475,0.294,0.5,0.458,0.774,0.845,0.5,1.8e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
svc,craig,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,6.841,0.001,0.623,0.46,0.548,0.49,0.282,1e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
logreg,craig,0.4,0.333,0.333,0.4,0.374,0.365,0.365,0.374,6.829,0.006,0.694,0.632,0.772,0.744,0.772,0.0,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
mlp,craig,0.3,0.2,0.2,0.3,0.245,0.163,0.163,0.245,6.218,0.019,0.656,0.601,0.75,0.719,0.733,3.5e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.302,0.037,0.387,0.38,0.553,0.481,0.337,4e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0015721321105957031
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.064,0.291,0.281,0.275,0.4,0.32,0.201,1.8e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0015721321105957031
