Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4.0191035,76.90358,0.0059792777,0.5122661,9.6862545,206.16219,0.0002505031,0.018131373,0.044121943,0.4011898,May,3,2,1,1,Returning_Visitor,False,False
18.322266,2528.627,24.314512,2201.6633,688.37085,43472.008,-0.0002732187,0.007900297,9.50576,0.053003054,May,2,2,1,14,Returning_Visitor,True,False
18.765535,262.1148,7.0645895,298.0364,717.8846,23264.129,0.009124995,0.025300747,-0.57320863,-0.003963211,Aug,2,2,1,1,Returning_Visitor,False,False
9.34595,2423.6228,3.022589,427.41754,521.2357,23147.652,-0.001633624,0.012237041,-1.2176812,-0.0010430081,Jul,2,2,1,3,Returning_Visitor,False,False
14.889238,2535.736,12.928832,2031.185,345.86404,29964.928,0.003047548,0.028811708,-1.3820775,-0.008008965,Dec,2,2,1,2,Returning_Visitor,False,False
25.840166,1549.689,9.0870495,504.59872,186.20013,9952.596,0.010629132,0.013565806,20.746752,-0.0042367666,Nov,3,2,2,13,Returning_Visitor,False,True
4.937562,40.11706,0.94464,114.24524,394.0786,14266.923,0.0063636336,0.021042416,3.2362208,-9.702643e-05,Nov,2,2,4,1,Returning_Visitor,False,True
7.609417,187.77126,-0.11166587,-3.1270428,526.3994,11959.693,-0.0011468347,0.0017865289,-0.7435387,-0.00022444999,Oct,4,2,9,2,Returning_Visitor,False,False
1.9947895,81.288414,9.9215145,732.2836,53.9449,2055.6248,0.0045549474,0.018044658,26.952684,-0.004845531,Dec,1,1,2,2,Returning_Visitor,False,False
14.425326,164.0986,1.97435,1522.0992,21.755074,2200.438,0.0049393713,0.02190524,16.648474,-0.001130463,Oct,2,2,2,20,Returning_Visitor,False,False
