Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.023577817,-3.8109517,-0.01001104,0.060430452,15.570236,474.38446,0.012421094,0.049412925,-0.059691705,-0.00024228668,May,1,1,1,6,Returning_Visitor,False,False
17.97798,2700.0198,23.371435,2053.4148,695.2912,42001.07,0.005077136,0.01568771,2.3542109,-0.0055132224,May,2,2,1,14,Returning_Visitor,True,False
4.42172,160.08022,-0.07744803,-1.2446576,57.67202,5132.3716,0.003759615,-0.0043025846,238.70744,-0.005188362,Oct,4,1,8,2,New_Visitor,False,False
7.093103,2641.639,2.6519074,341.5426,65.031136,6040.8296,0.035140865,0.035087783,0.86175936,-0.0020536568,Jul,3,2,1,13,Returning_Visitor,False,False
3.7388024,359.5387,4.9943595,2207.0422,59.17423,8408.952,0.0035489385,0.04263605,0.35515758,-0.0034976092,Dec,2,2,1,8,Returning_Visitor,False,False
10.132516,587.1703,0.81924164,19.297825,39.73513,1024.54,0.0059498786,0.01000107,116.27844,-0.0002462504,Sep,4,2,7,2,Returning_Visitor,False,False
25.511051,853.36884,2.2026057,133.56305,580.2456,24743.912,0.0015625224,0.008610315,5.7920895,0.001388176,Nov,2,4,3,8,Returning_Visitor,False,False
6.0450363,1555.0519,0.026239403,2.0387135,5.477471,-106.16789,0.0007284075,0.014960273,0.12702723,-0.0016516385,May,3,2,5,4,New_Visitor,True,False
4.86533,1649.2485,0.023360826,3.1306343,12.213837,116.363846,0.0004073881,0.0060481383,0.05594655,-0.002191269,Dec,8,13,9,20,Other,False,False
8.000421,338.96964,2.8854785,744.1762,36.40156,2149.5266,0.0060705016,0.010179757,27.628603,-0.0002636475,Dec,1,1,3,2,New_Visitor,False,False
-0.036286466,1.6571727,-0.005156956,0.24304001,1.2730432,-19.254566,0.19903557,0.19934683,-0.09436206,-0.0006127295,June,2,4,3,4,New_Visitor,False,False
5.951754,389.6887,2.8760846,539.9573,64.060036,1621.9357,0.01589201,0.0347616,13.549422,0.9973997,May,2,10,2,1,Returning_Visitor,True,False
0.982679,6.091018,-0.018686138,-2.1820583,14.584925,303.5033,0.0009344701,0.0008149732,68.96259,9.095914e-06,Nov,8,13,9,20,Other,False,False
0.033635028,-1.1755757,4.101782,225.90219,223.1762,9753.585,0.054881,0.06619654,0.17460318,0.00031983727,June,8,13,9,5,Other,False,False
10.858648,78.840576,0.038218863,-1.5446264,445.78983,9852.994,0.0011184249,0.010181761,2.073579,0.9916738,May,2,2,1,20,Returning_Visitor,True,False
1.8861848,703.00507,0.009215958,0.66477007,40.563847,985.9556,0.0031018218,0.014355282,0.033132277,-0.00048609948,Nov,2,5,6,1,Returning_Visitor,True,False
2.0563738,61.080116,-0.08010586,-3.4878826,14.640055,343.6162,0.0027433333,0.003905258,161.34154,-0.0015645189,June,1,1,1,5,New_Visitor,True,False
8.081978,293.9713,-0.01832559,0.47235292,19.921476,471.43372,0.00019567613,0.012452238,0.019169532,-0.00081394735,Oct,2,2,9,20,New_Visitor,False,False
0.95201766,19.90421,-0.009023927,-1.928259,24.308407,3227.943,0.009738683,0.016306588,62.965527,0.0006292301,May,2,2,9,3,New_Visitor,False,False
2.9262948,116.74214,-0.021349333,0.9631366,5.841065,146.8962,0.021665124,0.022676423,-0.14376621,1.000824,May,6,2,3,2,New_Visitor,True,False
4.9063077,222.35953,-0.010254823,0.64462084,5.2139707,2.5432856,0.00027825093,0.0200645,10.7379265,-0.00036670393,Oct,2,4,7,2,New_Visitor,False,True
-0.41871727,15.93875,0.039023347,1.1922473,32.178288,478.1198,0.0055189165,-0.0027367931,355.53284,-0.012417586,Dec,8,13,9,20,Other,False,True
3.1684582,95.602394,-0.087801,-4.2629566,56.820324,1754.8163,0.0038160195,0.0025258611,200.20862,-0.0019145174,Nov,2,2,1,4,Returning_Visitor,True,True
