Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
5.044086,135.2216,0.8273439,21.606081,167.79999,7298.3774,0.0051212697,0.019566916,1.4275615,0.002163584,Nov,2,2,3,1,Returning_Visitor,False,False
0.60181093,22.06121,0.041265912,0.995779,18.764118,405.26562,0.0092447875,0.037655305,0.12839575,0.00050102425,Mar,2,2,4,1,Returning_Visitor,False,False
0.23718941,6.9217067,0.039632745,1.1119708,23.225403,478.06293,0.009684916,0.036241166,0.31140634,0.61755055,Jul,2,2,3,3,Returning_Visitor,False,False
4.6897783,156.81442,0.5072456,14.086811,28.405,750.0643,0.0064153685,0.021957563,1.4111679,0.002662162,Sep,1,1,3,1,Returning_Visitor,False,False
1.9858326,75.73884,0.07882018,6.585272,12.319941,336.1659,0.0019381043,0.019465093,0.2913935,0.003215416,Dec,1,1,3,18,New_Visitor,False,False
0.728459,27.903767,0.03347791,1.5876902,16.915874,377.97925,0.008077157,0.034066495,0.16086407,0.008194554,Jul,1,1,3,1,Returning_Visitor,False,False
1.384165,55.26368,0.062091596,4.1316833,20.366592,441.3341,0.0068164333,0.025981754,1.9022391,0.002439807,Mar,1,1,3,4,Returning_Visitor,False,False
3.2984788,101.21043,3.7937858,1268.128,47.872456,2839.6135,0.008750333,0.025761964,3.6627886,0.0102738505,Dec,2,2,3,1,Returning_Visitor,False,False
1.1000557,43.93153,0.06063143,3.2604694,25.872934,572.4285,0.007400694,0.028231999,0.5028593,-0.00017236298,Nov,1,1,3,2,Returning_Visitor,False,False
0.066622384,0.68926185,0.025859244,0.21378128,5.54489,100.11055,0.11022029,0.14394,-0.011441983,0.00015777597,Nov,1,1,3,1,Returning_Visitor,False,False
1.0431877,39.407383,0.04625184,1.3922557,24.63555,479.73828,0.0053686625,0.0313553,0.749942,0.0007991443,Dec,2,4,3,1,Returning_Visitor,False,False
0.7233268,22.829887,0.062130608,3.27071,19.077116,424.48846,0.0057236864,0.03176285,0.048855506,0.0005394059,Mar,2,2,1,1,Returning_Visitor,False,False
8.155885,259.39493,4.279925,436.94214,118.95217,4955.1865,0.006900585,0.019953638,4.5871496,0.003399248,Nov,2,2,3,1,Returning_Visitor,False,False
8.191715,212.11543,0.5267472,14.30143,52.00593,1602.904,0.006836982,0.0213041,2.2333136,0.007901466,Sep,2,2,3,1,Returning_Visitor,False,False
0.47342145,19.943474,0.061821826,2.8782368,18.680065,414.60974,0.009784048,0.03635135,0.116819106,0.00032868484,Dec,1,1,3,1,Returning_Visitor,False,False
0.13513863,7.177215,0.030835219,0.61521333,10.426119,209.08192,0.043593273,0.09504133,-0.03146962,0.0014863523,Mar,3,2,3,1,Returning_Visitor,False,False
1.6317554,48.321434,0.25649902,9.942909,24.449505,499.51868,0.0068456368,0.02673006,1.4078629,0.002195223,May,3,2,3,4,Returning_Visitor,False,False
3.08151,92.418915,0.38294172,10.377207,76.46999,3470.5476,0.007543542,0.022700293,1.2097213,0.5063811,May,2,2,3,4,Returning_Visitor,False,False
1.8290877,65.48889,0.36826906,12.829477,65.13881,3454.8179,0.0071357,0.023649866,1.7892044,0.000647186,Dec,2,2,3,1,Returning_Visitor,False,False
-0.0019472765,-0.27970174,0.007266738,0.55691713,2.469296,46.429394,0.19276787,0.19738385,-0.08896617,0.0024074602,Mar,3,2,3,1,Returning_Visitor,False,False
0.9540262,34.57549,0.05792556,1.602537,19.03763,410.54596,0.010064853,0.03641143,0.15013619,0.001847128,May,2,2,7,1,Returning_Visitor,False,False
6.524788,276.5223,1.0590446,9.689644,66.53726,2574.5667,0.009737253,0.016230466,145.25433,-0.00092882785,Dec,2,3,3,1,Returning_Visitor,True,False
1.1253688,36.618,0.050086416,1.378496,25.919567,560.5704,0.009342433,0.031389445,0.5778701,0.009401812,Dec,2,2,2,1,Returning_Visitor,False,False
1.4264828,44.465584,0.043373562,3.1458797,21.852507,455.64856,0.0016868148,0.018794015,0.22969504,-0.0002480795,Nov,2,2,3,2,New_Visitor,False,False
1.9039125,68.71482,0.107394256,5.16189,25.212322,541.7147,0.0067543644,0.023509137,0.77948016,0.00031890222,Dec,3,2,1,1,Returning_Visitor,True,False
3.7673132,124.44686,2.877327,309.00687,33.019127,1047.3556,0.0056401505,0.021091491,3.5436141,0.004251717,Dec,2,2,3,1,Returning_Visitor,False,False
6.5700183,228.82803,3.5631247,162.71777,327.64252,14186.956,0.005863154,0.018906474,1.1188056,6.737808e-05,Nov,2,2,3,2,Returning_Visitor,False,False
0.010474093,-0.94046074,0.025431015,0.6054248,4.871079,87.73445,0.15440768,0.17705606,-0.024755277,0.030071879,Mar,2,13,3,3,Returning_Visitor,False,False
0.69870114,20.855038,0.035607643,1.2533969,18.004148,426.4892,0.005834413,0.028964022,0.23638745,0.0003155271,Dec,1,1,1,1,Returning_Visitor,True,False
0.08205903,2.8524013,0.032527037,0.8181247,10.412817,149.86739,0.103062466,0.1319638,0.008059703,0.6301999,May,3,2,3,1,Returning_Visitor,False,False
7.8047705,197.59102,0.84130245,31.147285,51.390423,1931.2318,0.006374111,0.022514446,3.0271075,-0.00011787688,Nov,2,2,3,1,Returning_Visitor,False,False
1.4891205,61.023426,0.048293896,0.84082216,10.884497,343.26013,-0.00040142456,0.023493003,0.82532185,6.785492e-05,Dec,8,13,9,20,Other,False,False
-0.0044988324,-1.8013387,0.00030771678,0.27029222,2.4546037,36.56782,0.1908053,0.19646989,-0.025186338,4.5052417e-05,Nov,3,2,3,1,Returning_Visitor,False,False
13.747556,1916.4272,10.414019,1617.9196,443.05835,28711.27,0.008589558,0.02474726,3.2374263,-0.003694148,Dec,2,2,1,2,Returning_Visitor,False,False
0.84507895,32.96817,0.042159595,1.309759,26.262438,553.13586,0.006705807,0.031460226,0.5315463,-0.00019107884,Nov,2,13,3,1,Returning_Visitor,False,False
0.23438847,5.474113,0.0434616,0.9768962,15.199202,356.02808,0.01564787,0.048958298,0.21678896,0.69642365,May,1,1,3,3,Returning_Visitor,False,False
0.86830974,33.815033,0.05333609,1.9415683,25.77737,601.21375,0.006828913,0.0283,0.795808,0.0016566465,May,2,2,1,1,Returning_Visitor,False,False
2.1261694,63.154636,0.057716854,4.674759,20.202093,426.3601,0.00082983414,0.015308562,0.33612415,0.00016988689,Dec,2,2,3,2,New_Visitor,False,False
3.6330974,92.97613,0.261165,3.0224323,31.642395,953.7573,0.0077850404,0.022915797,48.74819,-0.00021131462,Nov,2,2,1,1,Returning_Visitor,False,False
4.4901156,145.63475,1.5178865,88.97128,99.35888,4218.2964,0.0068082907,0.019282753,1.7231333,-0.0002827098,Nov,1,3,3,2,Returning_Visitor,False,False
0.37216353,15.111548,0.061653055,2.273096,19.281967,452.08728,0.013892253,0.03959781,0.1772892,8.932377e-05,Nov,2,2,1,1,Returning_Visitor,False,False
1.0362676,37.646236,0.052211322,2.1634922,20.209766,547.497,0.005804341,0.025799967,0.9773881,-0.00012395656,Nov,3,2,3,4,Returning_Visitor,False,False
2.3370035,76.20893,0.070351996,5.102545,14.422703,328.56238,0.0014676094,0.019594083,0.17453213,0.0011465723,Dec,3,2,3,5,New_Visitor,False,False
