Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.320829,55.68697,-0.03171035,0.5684108,24.209038,801.49786,0.004693936,0.016695453,0.6081087,0.0005527238,Mar,1,1,4,6,Returning_Visitor,True,False
0.16072261,1.7912745,-0.044517837,2.9668922,10.525192,368.39032,0.013521722,0.039736502,0.025520049,0.50045794,Feb,1,2,4,3,Returning_Visitor,False,False
0.06389154,-2.1739812,-0.0020806412,-0.70694166,2.088471,6.235668,0.19267349,0.19611299,-0.17684107,4.4784196e-05,June,1,2,4,11,Returning_Visitor,False,False
1.532971,40.465393,-0.08038654,10.9269085,86.67428,3699.1453,0.0068013133,0.019897856,2.3404424,3.238643e-05,Jul,2,2,2,1,Returning_Visitor,False,False
2.138062,74.75314,-0.050179265,1.8075656,14.752293,370.42908,0.0007695049,0.017071268,0.0052086934,0.00016076738,Sep,1,2,4,3,New_Visitor,False,False
0.9164479,25.662773,-0.013565265,0.115705416,20.384312,798.1697,0.004537945,0.022652082,0.7528617,7.447476e-05,Dec,2,2,3,1,Returning_Visitor,False,False
2.849012,131.86972,-0.058304213,1.8890055,23.987803,726.7044,0.0042424942,0.016738294,0.98160905,-5.674859e-05,Feb,1,1,5,14,Returning_Visitor,False,False
3.2918355,110.92437,3.0330925,1132.9818,64.93429,3018.6292,0.009802265,0.025529057,3.7443337,0.0016238043,Mar,2,2,4,2,Returning_Visitor,False,False
1.065304,39.390705,-0.011909328,0.19597046,21.86833,771.834,0.004768656,0.02009043,0.5399491,8.4570296e-05,Feb,1,2,5,2,Returning_Visitor,True,False
1.4039505,50.132034,-0.07442065,4.5522594,46.407597,1643.3403,0.0074384767,0.022640266,1.1314709,0.56153786,May,1,2,5,19,Returning_Visitor,False,False
2.4443984,91.018776,3.339959,248.54929,16.754675,583.01776,0.0045509,0.019108174,1.0226638,0.0014048765,Feb,1,2,4,2,Returning_Visitor,False,False
1.7302109,79.05316,-0.042329274,0.8633327,12.118652,347.90314,0.0027788577,0.020804666,0.39451954,7.381538e-05,Feb,1,1,4,2,New_Visitor,False,False
1.1949295,45.630104,-0.04244574,0.6454486,25.095087,856.33826,0.0050749662,0.021618955,0.60690945,3.227467e-05,Feb,1,1,4,3,Returning_Visitor,False,False
0.3011483,9.962668,-0.03877946,0.38751024,9.448729,250.65596,0.050292976,0.092114456,0.104830466,9.721766e-05,May,1,2,4,3,Returning_Visitor,False,False
0.5436306,21.914024,-0.03136935,0.5129604,17.15231,550.0323,0.0038935465,0.022940258,0.6118242,0.0005771319,May,1,2,4,2,Returning_Visitor,False,False
0.40232205,13.265166,-0.045437895,1.3139514,18.04093,585.08435,0.0059350017,0.030801436,0.3315842,3.6875404e-05,Feb,1,1,4,14,Returning_Visitor,False,False
0.7496886,21.299793,-0.03675785,0.8456859,17.306433,562.39746,0.006435705,0.028806865,0.2788746,0.00012511635,May,2,2,4,13,Returning_Visitor,False,False
0.849875,31.018055,3.052539e-05,0.037710115,18.347103,618.42633,0.0025122704,0.018421536,0.34203312,9.761254e-05,Feb,2,2,1,2,Returning_Visitor,False,False
3.435115,110.46933,2.2912362,90.77393,88.65289,3548.1428,0.005775537,0.018468382,3.0698903,0.0006518426,Mar,1,2,5,2,Returning_Visitor,True,False
0.27535212,6.6028438,-0.030341946,0.71906084,15.757152,436.62164,0.02577923,0.05566968,0.15471669,0.54125434,May,1,2,4,13,Returning_Visitor,False,False
11.873781,549.56726,5.681872,404.4036,380.38913,15380.779,0.006759357,0.019741425,3.5425587,-0.0009099928,Dec,2,2,4,3,Returning_Visitor,False,False
6.1360297,153.16913,1.7184385,41.524208,237.93585,8691.334,0.006416231,0.018977985,1.9009624,0.0012816029,Feb,2,2,4,20,Returning_Visitor,False,False
0.4905026,13.692229,-0.020331644,0.47244447,16.086378,580.5457,0.009774109,0.033065706,0.42036316,3.9222337e-05,Mar,1,2,1,10,Returning_Visitor,False,False
15.884877,2635.7593,20.21767,1980.872,558.342,36858.543,0.0078022904,0.025384378,3.2759097,-0.005149053,May,2,2,1,2,Returning_Visitor,False,False
0.2112571,8.50714,-0.017502986,-0.031473234,9.278343,284.32544,0.01885012,0.06343676,0.073897086,0.00010191897,May,1,1,4,1,Returning_Visitor,True,False
1.6656972,68.69522,-0.0402632,1.3867053,17.92562,571.0899,0.0021277906,0.017929731,0.21082325,0.00010338674,Dec,2,2,3,2,New_Visitor,False,False
0.65080225,19.63836,-0.0065223197,-0.03470047,16.315899,555.0112,0.0094000725,0.02995082,0.2522671,8.034582e-05,Nov,3,2,5,3,Returning_Visitor,False,False
1.7464637,65.22864,1.8646393,52.000965,37.9531,1490.1332,0.006597253,0.02353094,0.98991793,2.1184455e-06,Feb,1,2,4,2,Returning_Visitor,False,False
5.719141,314.04617,-0.04581394,22.589302,65.45285,2522.7954,0.005916906,0.012444264,177.75185,-0.0010881437,Dec,1,2,3,20,Returning_Visitor,False,False
0.3896885,11.378997,-0.033358775,-0.05372818,8.5921955,281.41284,0.010863027,0.056140043,0.10094043,0.0001048694,Feb,2,2,1,2,Returning_Visitor,False,False
1.016349,37.67945,-0.020300828,0.049753115,19.263737,671.43384,0.0066982755,0.027358033,0.6482608,0.00010121117,May,1,2,5,13,Returning_Visitor,True,False
1.3603077,49.120544,0.00013563818,0.030141756,21.217129,661.48096,0.005542373,0.021551773,0.42201826,9.609262e-05,Mar,1,2,5,3,Returning_Visitor,True,False
0.47815502,19.304405,-0.037560962,0.8799915,17.472364,630.51276,0.037398722,0.06498306,0.032612525,6.05757e-05,Dec,1,2,5,13,Returning_Visitor,False,False
7.492358,1184.3623,-0.037144326,24.784803,40.877026,2320.4224,0.0057433764,0.019827476,2.8564248,0.0016688766,May,1,2,4,2,Returning_Visitor,False,False
0.5657605,23.593761,-0.03852179,0.5903377,13.31608,409.1729,0.012437365,0.040196184,0.19755478,0.0012138622,May,1,1,4,3,Returning_Visitor,False,False
0.34263635,9.862311,-0.025116168,0.4316768,16.764187,561.3549,0.010867797,0.04168617,0.2263815,0.00013093525,May,2,4,3,3,Returning_Visitor,False,False
3.9035125,149.83347,2.4925895,115.79234,38.649345,1505.2417,0.009028294,0.022202399,3.2693841,0.011207371,May,1,2,4,11,Returning_Visitor,False,False
2.746609,108.82547,-0.05490484,13.360609,32.504448,1326.754,0.005956802,0.017921176,49.758476,0.0005997072,May,1,2,4,2,Returning_Visitor,False,False
0.5790094,21.19791,-0.06803205,4.169731,25.019962,839.0817,0.020599425,0.045116816,0.57754725,0.9990259,May,1,2,5,11,Returning_Visitor,True,False
2.0746517,74.0025,-0.0005557459,0.23043625,87.78661,3435.4114,0.004500169,0.018962076,2.1053553,4.085373e-07,Feb,2,2,1,2,Returning_Visitor,True,False
0.2182604,4.8045497,-0.027060412,0.22400849,11.244396,362.15033,0.019121097,0.0662967,-0.030413426,6.776924e-05,May,2,2,3,1,Returning_Visitor,False,False
7.515044,351.18597,-0.04594084,0.6360721,28.595806,968.66187,0.0098161,0.022666624,1.2214892,-5.979588e-05,Sep,1,2,5,1,Returning_Visitor,False,False
0.17338264,2.9397578,-0.032272838,0.91731066,16.82456,535.9138,0.022462893,0.053992547,0.3158023,0.5569488,May,1,2,4,3,Returning_Visitor,False,False
0.32403123,9.017531,-0.012563609,0.17400925,11.088905,343.56024,0.03246822,0.07357824,0.12002822,3.751243e-05,Feb,1,1,4,3,Returning_Visitor,False,False
2.1873305,82.19826,-0.07494875,4.351856,16.948019,563.96967,0.0008264311,0.014551801,0.18741341,0.005976441,May,1,2,1,20,New_Visitor,False,False
0.6682937,28.710052,-0.036149643,0.10870163,15.884133,473.3767,0.015006209,0.03842092,0.21752997,6.0300003e-06,Feb,1,1,3,2,Returning_Visitor,True,False
1.0303061,38.40034,-0.05183723,2.8711185,18.61387,710.8818,0.0024073215,0.022990748,0.9688632,0.00043118247,May,2,4,4,2,Returning_Visitor,False,False
9.0251,320.76102,4.0188837,230.6618,82.271706,3464.3264,0.0065894728,0.019381009,7.0651555,0.0006371389,Feb,1,2,4,2,Returning_Visitor,False,False
0.06928361,-0.9309545,-0.012464248,-0.52870756,5.0930924,36.935986,0.16093838,0.18136409,-0.088146485,0.58162546,May,1,2,4,11,Returning_Visitor,False,False
2.0133157,73.67537,-0.0071327905,0.30538744,77.5417,2995.6152,0.0042728274,0.018381624,1.7311738,-1.0536366e-05,Feb,2,2,5,2,Returning_Visitor,False,False
2.145163,86.958496,-0.05413636,0.85669893,17.828829,529.5987,0.0012943704,0.014104382,0.46424124,0.00015181923,May,1,2,4,20,New_Visitor,True,False
5.7589526,241.69176,5.2885785,358.23077,43.833347,1780.7268,0.009757913,0.02281759,3.373115,0.0031277898,May,1,2,4,2,Returning_Visitor,True,False
0.28968203,6.39096,-0.025944434,-0.08357437,12.272615,393.2281,0.009044433,0.050756134,0.17043896,7.285798e-05,Mar,1,2,4,10,Returning_Visitor,True,False
0.5204437,15.278708,-0.04157623,0.89812654,16.784615,639.65625,0.013330744,0.038513243,0.5211155,0.00011281545,June,1,2,2,11,Returning_Visitor,False,False
0.054669984,-2.2442708,-0.0014509183,-0.74400145,1.9308438,0.5238764,0.19275805,0.19600014,-0.18829708,0.00014557937,May,1,1,4,3,Returning_Visitor,False,False
1.5094604,52.043808,-0.038843296,1.039461,16.889944,525.19904,0.0011333894,0.017788013,0.12001964,0.00016537556,Feb,2,2,1,2,New_Visitor,False,False
0.47013307,12.224677,-0.03999295,0.8243198,17.107075,590.95953,0.009259225,0.040092073,0.4618537,0.00010863567,May,2,5,4,1,Returning_Visitor,False,False
2.6429498,101.310135,2.0287514,56.746418,37.62986,1434.5582,0.010277105,0.026310788,1.5377629,0.000110397734,Feb,1,2,4,1,Returning_Visitor,False,False
4.9493403,234.73685,-0.025976144,1.0616626,48.834,1847.0056,0.006596466,0.01797533,3.6931863,0.0017036485,May,1,2,2,4,Returning_Visitor,False,False
1.6180986,50.842323,-0.00796058,0.24265091,79.51306,2979.0059,0.007946762,0.02264659,1.0297205,2.5155641e-05,Dec,2,2,4,1,Returning_Visitor,False,False
2.45564,124.42151,10.269842,1008.2217,66.64238,3483.808,0.00600112,0.019570423,3.0883985,0.009417619,May,1,2,4,2,Returning_Visitor,False,False
2.345524,70.63235,-0.07250174,2.1129627,53.601185,2116.8667,0.005503056,0.020047426,3.1879187,1.5298523e-05,May,2,2,3,11,Returning_Visitor,False,False
1.345868,51.30518,-0.019428156,0.1426677,15.48897,483.13165,0.0019146778,0.018621799,0.3124983,0.00014929721,Feb,1,2,4,2,New_Visitor,True,False
0.2737311,6.604362,-0.020486973,0.17170899,12.45508,387.89978,0.021497458,0.06818453,0.0010354146,0.00012575337,Feb,2,2,1,1,Returning_Visitor,False,False
0.12830865,-2.024384,-0.026764296,-0.7156697,1.4534268,-1.582813,0.1917688,0.19588037,-0.19394855,0.00047236183,Mar,1,2,5,14,Returning_Visitor,False,False
0.36664522,10.604438,-0.01109048,-0.058710173,13.090101,372.82172,0.03118683,0.0676903,0.20449896,9.0892114e-05,Feb,1,2,4,11,Returning_Visitor,True,False
1.8754259,71.88624,1.7782522,45.007286,38.535698,1489.0308,0.011812659,0.028064324,1.4462159,4.2824693e-05,May,1,2,4,11,Returning_Visitor,True,False
0.74761605,20.305576,-0.0058790664,0.009069368,19.780313,678.5429,0.0027407461,0.02162467,0.37744305,0.00014293069,Mar,2,2,4,3,Returning_Visitor,False,False
2.7302737,124.12636,1.9409461,61.037056,21.017134,752.91315,0.0038317477,0.017363314,1.2264259,3.734479e-05,Dec,1,2,5,2,Returning_Visitor,True,False
1.2715107,51.640457,-0.048814677,2.5727043,24.068756,863.40967,0.009822039,0.030125607,0.95112485,9.590263e-05,May,1,2,2,3,Returning_Visitor,True,False
1.2575469,39.103497,-0.06905516,7.932043,15.309616,565.7122,0.0028719397,0.01891596,0.8119971,0.00018313402,Dec,2,2,4,2,New_Visitor,False,True
1.3641837,73.170784,-0.069684826,4.1452656,21.550428,854.0268,0.0027673503,0.016204378,39.910477,0.0059622885,May,1,1,4,4,Returning_Visitor,False,True
2.2245686,93.30187,1.8927004,38.451195,75.330505,3636.7983,0.013222937,0.03337875,5.782156,0.0014862107,Oct,2,2,4,1,Returning_Visitor,False,True
2.3088298,95.60094,0.00091833656,0.49663728,22.143797,841.2787,0.0019210331,0.012668707,32.38619,-0.00012367344,Feb,1,2,5,2,Returning_Visitor,True,True
2.2239041,88.858894,-0.06363585,3.2267056,29.629993,1206.7035,0.0015824583,0.009659144,56.78062,-0.00020172572,Oct,2,2,1,2,New_Visitor,False,True
2.2346644,80.022865,-0.025626086,0.17212479,33.442364,1199.8634,0.0075280373,0.02426214,6.581394,-8.209174e-05,Nov,1,1,5,2,Returning_Visitor,False,True
1.68829,80.99881,-0.042153858,1.1250705,24.577782,1078.4481,0.0040331553,0.017076652,37.66507,-0.00012308484,Mar,2,2,5,3,Returning_Visitor,False,True
7.0034285,219.08295,1.7112429,41.431614,53.777134,1984.9426,0.0038467047,0.015538466,7.9923024,-0.00013905889,Mar,1,2,3,2,Returning_Visitor,False,True
0.30710876,82.24766,-0.007252715,15.79801,24.62891,1104.9717,0.004641214,0.010927527,284.85117,-0.0011997459,May,2,2,1,2,Returning_Visitor,False,True
3.4548945,82.930534,2.6270413,540.09766,25.515976,1218.1938,0.0028139593,0.012646771,28.946161,0.015805049,May,1,2,4,2,Returning_Visitor,False,True
12.030439,354.04562,3.340012,242.0317,121.713425,5048.847,0.005528874,0.015409405,7.1495,-0.00029816976,Feb,1,2,4,13,Returning_Visitor,False,True
0.58982265,20.019054,-0.028388225,0.7044582,16.326012,588.25305,0.0019524765,0.012923435,30.854975,3.7072845e-05,Oct,2,2,1,2,New_Visitor,False,True
0.9154918,29.614319,-0.05085703,23.207777,32.30981,1299.0282,0.009437629,0.023274234,14.518485,0.6399346,May,1,2,4,13,Returning_Visitor,False,True
3.8711178,98.5127,3.982434,116.58258,282.8194,9436.468,0.007277901,0.020885784,3.1921673,-0.00042305267,Nov,1,2,3,2,Returning_Visitor,False,True
5.3538656,122.55601,-0.048337482,9.860895,269.7468,9879.721,0.004390962,0.016312465,7.2873154,-0.00030164918,Nov,2,2,1,2,Returning_Visitor,False,True
4.8584814,186.76804,-0.021837316,0.53802294,39.865063,1584.1447,0.0028335133,0.014976106,21.001072,-0.00011032572,Mar,2,2,1,2,Returning_Visitor,False,True
3.829591,128.30975,3.7633245,191.84987,25.770515,931.0932,0.007093013,0.020264335,6.52304,-0.00013099363,Mar,1,2,4,14,Returning_Visitor,False,True
7.7244015,307.43835,5.029286,284.14056,77.679085,3369.7651,0.006201371,0.016946815,11.142948,-0.00035266703,Nov,1,2,1,14,Returning_Visitor,True,True
1.6354393,72.47351,-0.022159718,0.36145967,18.95595,696.7871,0.0012318414,0.014163102,12.79296,6.844724e-05,Oct,1,2,4,2,New_Visitor,True,True
1.8253478,89.258995,0.29340822,26.526817,29.15921,952.57275,0.0040394994,0.018926369,14.603192,1.880027e-06,Dec,2,2,5,1,Returning_Visitor,True,True
1.0015323,54.14706,-0.045229338,0.58965486,17.327787,599.7436,0.008765816,0.032356158,30.08059,-9.382268e-05,Sep,1,2,3,4,Returning_Visitor,False,True
0.6351216,24.790974,-0.00050234015,1.2458819,20.453613,855.25146,0.0020201688,0.010881546,82.31731,-0.00025235614,Aug,2,2,5,2,New_Visitor,False,True
1.9749268,62.30856,-0.049054824,0.9669551,13.52677,559.3246,0.0022564025,0.026460312,0.85612553,7.937724e-05,Oct,1,1,1,12,New_Visitor,False,True
0.6782129,39.87318,-0.0822958,10.542025,26.70007,1281.5784,0.004162138,0.014686274,79.735565,-0.00033468133,May,1,2,1,6,Returning_Visitor,True,True
