model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,19.633,0.07,0.769,0.795,0.898,0.903,0.93,5e-06,original,,,,,,
rf,Full-data,0.852,0.787,0.876,0.866,0.008,0.007,0.005,0.006,69.382,1.588,0.857,0.794,0.881,0.871,0.922,2.4e-05,original,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,371.278,16.695,0.771,0.795,0.897,0.902,0.884,0.000269,original,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,8.448,5.021,0.702,0.746,0.88,0.894,0.902,1e-06,original,,,,,,
mlp,Full-data,0.77,0.786,0.891,0.895,0.015,0.011,0.005,0.006,84.335,89.202,0.758,0.779,0.889,0.894,0.912,3.2e-05,original,,,,,,
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,14.605,0.055,0.755,0.679,0.802,0.778,0.824,2e-06,original,10,5,,,,
rf,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,17.259,0.447,0.733,0.633,0.756,0.719,0.819,2.7e-05,original,10,5,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.811,0.002,0.761,0.626,0.736,0.694,0.152,3e-06,original,10,5,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.409,0.006,0.716,0.633,0.763,0.73,0.796,1e-06,original,10,5,,,,
mlp,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,7.456,0.033,0.748,0.614,0.727,0.683,0.834,7.2e-05,original,10,5,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.641,0.038,0.828,0.8,0.89,0.886,0.871,3e-06,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,15.637,0.282,0.839,0.765,0.861,0.847,0.887,1.6e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
svc,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.994,0.002,0.668,0.613,0.761,0.732,0.754,2e-06,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
logreg,k-means,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,6.696,0.008,0.693,0.63,0.77,0.741,0.773,0.0,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
mlp,k-means,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,7.201,0.024,0.682,0.611,0.751,0.716,0.766,7.8e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.891,0.049,0.789,0.8,0.897,0.899,0.87,1.5e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
rf,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,16.021,0.249,0.793,0.714,0.826,0.805,0.86,1.6e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
svc,ag,0.65,0.607,0.607,0.65,0.3,0.335,0.335,0.3,6.286,0.002,0.669,0.567,0.695,0.646,0.267,8e-06,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
logreg,ag,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,7.058,0.005,0.665,0.581,0.718,0.676,0.734,0.0,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
mlp,ag,0.55,0.493,0.493,0.55,0.292,0.32,0.32,0.292,8.435,0.02,0.655,0.554,0.684,0.633,0.727,4.6e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
xgb,k_center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.301,0.041,0.593,0.436,0.523,0.464,0.664,1.7e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
rf,k_center,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,14.841,0.26,0.479,0.168,0.107,0.178,0.497,1.7e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
svc,k_center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.422,0.001,0.478,0.161,0.095,0.172,0.354,4e-06,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
logreg,k_center,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,6.532,0.006,0.523,0.215,0.172,0.22,0.413,0.0,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
mlp,k_center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,7.002,0.024,0.526,0.354,0.412,0.365,0.497,4.7e-05,original,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
xgb,k_means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.603,0.146,0.823,0.802,0.892,0.889,0.895,1.7e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
rf,k_means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,15.106,0.317,0.812,0.714,0.821,0.797,0.875,2.3e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
svc,k_means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,6.917,0.001,0.808,0.709,0.816,0.792,0.87,3e-06,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
logreg,k_means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.109,0.005,0.808,0.787,0.885,0.881,0.894,1e-06,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
mlp,k_means,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,7.976,0.051,0.789,0.711,0.823,0.803,0.864,0.000115,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018858909606933594
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.666,0.164,0.806,0.803,0.897,0.896,0.886,1.4e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
rf,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,15.414,0.248,0.75,0.654,0.775,0.743,0.817,1.7e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
svc,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.861,0.001,0.827,0.769,0.867,0.856,0.873,2e-06,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
logreg,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,3.963,0.006,0.792,0.787,0.887,0.886,0.891,1e-06,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
mlp,ag,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,7.883,0.03,0.788,0.714,0.827,0.808,0.853,7.7e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0018157958984375
xgb,k_center,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,3.743,0.032,0.699,0.628,0.764,0.733,0.711,2.2e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
rf,k_center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,16.703,0.346,0.478,0.175,0.119,0.182,0.534,2.1e-05,latent,10,5,526.7582879066467,0,5.717147328009893e-07,0.0015430450439453125
