Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.31646264,4.578262,0.029338159,2.988655,13.231171,513.96344,0.0056249998,0.04003339,0.12582798,-0.0009214294,May,2,4,3,3,Returning_Visitor,False,False
0.14140546,0.7028193,0.007115223,2.5655918,2.2840943,143.7181,0.1738637,0.17983289,0.098751746,0.017892314,May,3,2,3,6,Returning_Visitor,False,False
1.5319712,21.190895,2.6798387,90.49904,13.629635,762.5343,0.016432509,0.03699094,0.76961726,-0.00094089034,Nov,1,2,4,2,Returning_Visitor,False,False
4.99604,722.6665,0.017884351,2.8157864,30.74278,2188.4155,0.014176522,0.030663075,7.8231997,0.07714177,May,2,2,1,1,Returning_Visitor,False,False
0.11988462,0.88771766,0.010198571,1.9689921,5.2970433,159.99739,0.18426688,0.18520552,0.08897134,-0.0015616802,Jul,3,2,1,1,Returning_Visitor,False,False
3.8407753,134.25595,0.17321323,2.7053013,49.745007,1488.582,0.005926307,0.019734377,2.8062,0.53918135,May,2,2,7,4,Returning_Visitor,False,False
0.5055373,6.995277,0.054020204,2.8744335,20.134253,771.17346,0.0022242626,0.037230548,0.15602465,-0.0009484005,Mar,2,2,4,3,Returning_Visitor,True,False
2.363989,73.306,0.15856086,2.6701393,8.423267,333.94257,0.0003069841,0.030855369,0.18092747,-0.00070285174,May,3,2,1,3,New_Visitor,False,False
3.041051,928.29614,4.4844046,150.59676,22.311474,1755.6466,0.004085056,0.013481599,14.428701,-0.0010650543,Jul,1,11,6,13,Returning_Visitor,False,False
3.2120297,59.100082,2.4985034,381.8216,57.17161,1876.0093,0.0028221568,0.0228766,0.77777785,-0.0009816004,Nov,2,2,1,2,Returning_Visitor,False,False
0.27902663,1.1911006,0.42248482,11.051102,27.642807,752.89886,0.004785189,0.027874308,0.8377015,-0.00058747205,May,4,2,1,2,Returning_Visitor,True,False
2.8778725,149.52853,0.023944236,1.884859,21.692392,1212.3242,0.010304913,0.014243868,114.4404,-0.00030701733,Dec,1,1,6,5,Returning_Visitor,True,False
4.4563217,133.89139,0.0462564,2.8094482,15.3251,579.05334,0.005494905,0.018880678,0.7856776,-0.0010500563,Nov,1,1,3,2,New_Visitor,False,False
0.93316376,10.482718,0.030830987,2.9331455,15.328104,634.7814,0.0038776973,0.032093216,0.44836637,-0.00085762265,Nov,2,2,1,10,Returning_Visitor,False,False
2.1299243,44.25395,0.14314301,2.6016865,13.7416725,581.20886,0.00010720793,0.014583207,0.19012423,-0.0010443417,Mar,2,2,1,2,New_Visitor,True,False
1.8731949,94.601395,0.02017165,2.7558727,15.707183,673.9428,0.0003728938,0.01192296,0.19383307,-0.00058530393,May,3,2,1,4,New_Visitor,False,False
12.007006,366.69797,0.32508466,2.731388,45.346897,1701.0304,0.0036002377,0.01868792,3.3125675,-0.000864656,Nov,2,2,2,6,Returning_Visitor,True,False
0.5917133,6.3069377,0.05062688,3.016611,75.39344,3748.4797,0.01208356,0.027712636,0.5394599,-0.0006968317,Nov,2,4,7,1,Returning_Visitor,False,False
