Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.031558,65.96603,1.025344,68.62594,17.396599,387.5572,0.018474145,0.03628886,11.5191765,-0.0026707884,Nov,3,2,3,2,Returning_Visitor,False,False
16.704641,2823.2656,24.049019,2019.4846,705.58295,43154.914,0.028023694,-0.0011171673,1.6494935,0.010418872,May,2,2,1,14,Returning_Visitor,True,False
7.6559224,126.25529,9.427998,2222.6582,22.039902,927.23785,0.009397271,0.006708502,1.1243756,-0.0030127105,Jul,3,2,4,2,Returning_Visitor,True,False
10.384542,2436.012,2.9625845,452.7248,500.91125,24253.396,0.0011193227,0.008837855,0.82592696,-0.002306239,Jul,2,2,1,3,Returning_Visitor,False,False
4.2444053,166.09296,0.006073632,-4.2929745,63.947502,4341.8857,-0.000108428634,0.0005423192,250.41602,-0.002062836,Oct,4,1,8,2,New_Visitor,False,False
11.870296,428.57663,13.7385,631.18744,80.93965,3224.9248,0.0005532034,0.008692234,32.643528,-0.0021364924,Nov,3,2,1,2,Returning_Visitor,True,False
15.049446,2571.4636,14.1470995,1973.0847,369.28653,29893.432,0.010339795,0.02214999,1.4565322,0.0008646722,Dec,2,2,1,2,Returning_Visitor,False,False
21.631153,214.15736,6.881654,299.08112,653.1536,24034.492,0.014165861,0.020846726,-0.39926937,-0.0031584438,Aug,2,2,1,1,Returning_Visitor,False,False
3.9691951,1978.9487,0.008532144,-1.1340543,31.817783,666.1603,-0.00040178405,0.005758374,-0.18669395,-0.0021740657,Dec,2,2,4,2,New_Visitor,True,False
2.956738,274.9425,0.97826713,1739.0481,373.09106,14172.699,0.0025842802,0.0060345596,1.0190265,-0.0023417186,May,2,2,1,19,Returning_Visitor,True,False
22.4733,1192.0028,3.0654883,120.90588,213.70642,4125.1665,-0.0004435129,0.0097803315,177.8591,-0.002029301,Nov,2,5,3,3,Returning_Visitor,True,False
3.921436,190.09868,7.7675447,1168.6553,151.93417,8261.787,0.0005350333,0.009525984,0.41917774,-0.0021877673,Nov,2,4,4,2,Returning_Visitor,True,False
