Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.19488156,4.4956965,0.013435222,2.8246613,9.862829,385.22473,0.0154562965,0.043738052,0.11594983,0.004360127,May,3,2,1,3,Returning_Visitor,False,False
1.8538026,38.68361,0.015173323,2.9800491,17.125847,554.27,0.0015716903,0.01933472,0.4612629,-0.0008417827,Mar,1,1,3,2,Returning_Visitor,False,False
1.2752632,20.864605,2.82336,303.59766,127.29624,4574.057,0.0046594026,0.022159675,0.1515233,-0.0011809183,Nov,2,2,1,2,Returning_Visitor,False,False
0.30836642,4.360893,0.07112018,3.1335697,18.671803,787.76904,0.008466962,0.036150824,1.1326768,-0.0010708211,Dec,2,2,7,1,Returning_Visitor,False,False
0.7807175,9.616401,0.036163516,2.987856,13.054108,692.6157,0.0055398378,0.033479985,0.14010067,-0.0010130716,Nov,2,2,1,8,Returning_Visitor,False,False
0.110121615,0.58037513,0.005516269,2.631443,2.6903691,346.09186,0.17433667,0.18120888,0.08804151,-0.0016784532,Nov,3,2,6,1,Returning_Visitor,False,False
4.4025745,138.47107,0.099090286,2.4901314,35.512333,1268.2173,0.0048698294,0.016881095,0.8419058,-0.0006059495,Mar,2,2,1,2,Returning_Visitor,True,False
0.11896766,0.40412852,0.064719744,2.957632,10.028183,304.42322,0.026771745,0.071765475,0.133949,-0.000771181,May,2,4,3,1,Returning_Visitor,False,False
1.755327,45.789986,0.16889991,4.1268806,57.837215,3536.2878,0.007690431,0.025146393,1.8323576,-0.0008270082,Mar,2,2,6,1,Returning_Visitor,False,False
0.4368341,5.24221,0.066390105,2.8142529,23.78085,1011.3695,0.0038003845,0.030644437,0.41079256,-0.0012431456,Nov,2,2,7,2,Returning_Visitor,False,False
0.19578898,2.0884776,0.01174248,2.7766895,12.820608,558.58984,0.010686752,0.054091953,0.11231204,0.3598732,May,2,2,3,4,Returning_Visitor,False,False
9.160235,847.9097,0.019661136,2.7277184,31.176418,2118.0146,0.011098172,0.023405172,13.685552,0.06697013,May,2,2,1,4,Returning_Visitor,False,False
3.9050887,108.973465,0.054157503,3.0166779,20.016575,896.61896,0.0002642308,0.016866745,0.16572113,-0.0011439634,Nov,2,2,1,2,New_Visitor,False,False
0.11679209,0.9775309,0.032910235,2.9583645,17.271763,614.50183,0.018484559,0.053001102,0.09466716,0.59530675,May,2,2,1,3,Returning_Visitor,False,False
0.35552156,3.9935756,0.024044342,3.3034363,17.48632,731.16986,0.006493637,0.03634092,0.29579613,-0.001151183,Dec,2,2,1,2,Returning_Visitor,False,False
1.8256911,88.56329,0.1495005,3.6076736,21.347752,663.9543,0.017742923,0.04192592,0.18370266,-0.000667007,Dec,3,2,1,1,Returning_Visitor,True,False
1.1326487,89.04457,0.019621529,2.7027645,29.123209,955.4013,0.0003598236,0.008118591,0.14559336,-0.0006177959,May,1,1,1,7,Returning_Visitor,False,False
1.0375403,14.814635,1.614036,24.772577,47.536488,1690.35,0.009523891,0.028676612,0.93525237,-0.0010292617,Dec,3,2,1,2,Returning_Visitor,False,False
1.0657881,13.033881,0.045037575,2.769617,20.507196,829.04865,0.0035626476,0.02558409,2.4409163,-0.0010485066,May,2,2,1,2,Returning_Visitor,False,False
3.0865457,70.69807,0.07981912,2.8099823,15.159071,527.9095,0.017967707,0.04306897,0.13883515,-0.0010687349,Nov,3,2,3,3,Returning_Visitor,False,False
0.12324775,0.9196848,0.0018059689,2.5715294,1.7862687,122.86116,0.19456793,0.19332403,0.09961482,-0.0017797513,Dec,2,2,2,1,Returning_Visitor,False,False
0.09637273,1.1310344,0.00090924685,2.5955486,3.606152,101.58394,0.16883466,0.18189804,0.0630457,0.5362221,May,2,2,1,3,Returning_Visitor,False,False
6.3720717,80.68618,0.15977271,3.1167564,38.75058,1222.127,0.0034136248,0.01617518,2.2650821,0.009602069,May,2,2,4,4,Returning_Visitor,False,False
