Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0540853,19.29124,-0.02677264,-2.2138004,35.10418,843.58966,0.016175682,0.028319126,0.15880366,-0.00041107586,Oct,2,2,6,1,Returning_Visitor,True,False
12.968567,2595.9663,23.9399,1984.6385,770.8891,41876.242,-0.020432891,0.025338762,4.1107817,0.051432308,May,2,2,1,1,Returning_Visitor,True,False
19.207653,167.48793,7.443081,321.3468,624.1083,23098.889,-0.005974554,0.022335878,-0.66903573,0.008157249,Aug,2,2,1,1,Returning_Visitor,False,False
6.958994,2639.5063,2.8495846,490.84924,69.88823,6879.3,0.04252401,0.039747037,3.3968346,0.011859844,Jul,3,2,1,13,Returning_Visitor,False,False
3.5105183,386.6864,5.6061673,2197.852,73.65355,8983.7705,0.004853911,0.049853597,10.392432,0.024300197,Dec,2,2,1,8,Returning_Visitor,False,False
4.5296125,160.06862,0.016764112,8.916496,65.93543,5134.272,0.0025311743,-0.003522226,236.38622,0.00042297566,Oct,4,1,8,2,New_Visitor,False,False
12.710752,2586.3823,14.272973,1912.9087,349.09085,30305.055,-0.00016061809,0.035954773,5.305226,0.03765771,Dec,2,2,1,2,Returning_Visitor,False,False
5.13503,1688.8905,0.0022829254,10.994158,14.318096,467.6729,0.0029826516,0.004223327,0.42000696,0.0028605598,Dec,8,13,9,20,Other,False,False
13.438823,1270.9426,3.771534,1032.959,322.32477,17678.395,0.017020214,0.041292332,3.292526,0.011789321,Jul,2,2,1,3,Returning_Visitor,False,False
14.1869755,1359.8405,12.294309,972.5343,25.447044,1792.6683,0.004297649,0.025179062,1.05529,0.61054736,May,2,2,3,2,Returning_Visitor,False,False
10.900693,76.485435,0.059035487,-9.684217,417.6741,10096.829,-0.00028499248,0.0087283505,0.19516058,0.93503135,May,2,2,1,20,Returning_Visitor,True,False
3.1186478,288.57513,1.0966557,1783.3801,404.09167,13778.486,0.000972455,0.006307955,4.03366,0.014708846,May,2,2,1,19,Returning_Visitor,True,False
17.632591,304.8603,3.5835772,428.09055,133.85751,3956.6118,0.0023985,0.009893912,88.970436,0.0012567217,Dec,2,2,1,6,Returning_Visitor,False,False
-0.010552518,11.89054,3.7245028,229.71777,222.74756,9513.586,0.057136703,0.065074846,0.16162272,0.0012519012,June,8,13,9,5,Other,False,False
3.1330397,33.88508,5.1475987,806.1998,264.17667,7479.412,0.008500917,0.020722846,0.45808527,0.0045975395,Nov,1,1,1,2,Returning_Visitor,False,False
5.2968,2108.861,1.835415,128.65164,14.64679,434.66534,0.041765343,0.042882465,0.7436916,0.0055521973,May,1,2,4,4,Returning_Visitor,True,False
0.009032138,2.0467067,-0.017460667,-3.8804379,1.338839,34.919872,0.19816072,0.19759022,-0.034270562,-0.0005751488,Dec,1,13,9,20,Returning_Visitor,False,False
0.14640868,-2.8535848,15.03722,1199.7797,-1.3310695,-63.39226,0.0030055621,0.015684612,1.3114698,0.0061604665,Mar,2,2,1,8,Returning_Visitor,False,False
1.1841555,12.585639,0.08004535,-2.1338558,14.773489,375.92078,0.0009729058,0.0015200477,70.61443,0.0010865467,Nov,8,13,9,20,Other,False,False
21.598932,1267.6143,2.3573475,101.56292,172.37196,4718.4194,0.003168037,0.007527328,173.7149,0.0037371393,Nov,2,5,3,3,Returning_Visitor,True,False
7.7433386,320.2746,7.31954,196.29536,182.5051,15721.716,0.0061505227,0.02566386,0.7310516,0.003458007,June,2,2,1,5,Returning_Visitor,True,False
3.211075,1376.4185,0.031475164,11.55011,41.216534,2819.053,0.0021973585,0.009881887,2.562007,0.0017307611,Mar,2,6,2,3,Returning_Visitor,False,False
7.7862287,377.77383,2.028749,940.07684,11.447311,173.69716,-0.00011322122,0.006075657,0.6494114,0.004041011,Mar,3,2,7,9,Returning_Visitor,True,False
0.008293517,-0.41497853,0.013515361,1.1675814,0.6709637,3.5598872,0.20800985,0.20149408,0.11995097,0.00092143816,Sep,2,4,4,4,Returning_Visitor,False,False
-0.05644118,-6.44146,0.022926547,-1.7634488,7.2847524,245.35109,-0.0007385764,0.03226558,64.0939,-0.00022602206,Jul,1,1,4,4,Returning_Visitor,True,False
17.37778,97.1491,5.1346445,175.30428,78.36251,2594.2063,0.011654688,0.04820782,-0.09717683,0.00066015375,Jul,2,2,4,4,Returning_Visitor,False,False
0.93185294,96.158195,-0.034055553,-4.9797993,124.81271,13240.974,0.0063059363,0.040571358,-0.35469797,0.0014378937,May,2,6,4,4,Returning_Visitor,True,False
1.0907961,95.327805,0.0032679518,-5.355978,6.8562684,297.67517,0.00051127526,0.009173355,0.20082541,-8.387243e-05,Sep,5,11,8,14,Returning_Visitor,False,False
23.226849,760.4765,1.674984,132.54916,523.5286,22949.246,-0.007930525,0.011232848,0.9785883,0.008062213,Nov,2,4,3,8,Returning_Visitor,False,False
0.11613,0.47219035,2.0976167,1453.4749,109.22582,3382.115,0.008317256,0.014461639,1.3494241,0.0061442354,Nov,2,2,4,8,Returning_Visitor,True,False
-0.06660735,6.2758784,0.04552359,1.7594432,26.692354,1092.7006,0.03377701,0.062020708,120.1289,0.00031853342,Nov,3,2,1,13,Returning_Visitor,False,False
1.9573027,47.46824,5.994384,371.5543,20.103127,428.74548,0.03299234,0.03251029,21.886576,0.6073966,May,1,1,1,2,Returning_Visitor,False,False
-0.006434553,2.13446,1.9940933,325.49008,2.578362,-14.421925,0.00047791158,0.033691626,0.20326824,0.0003292548,Dec,3,3,2,8,New_Visitor,False,False
21.537548,248.7814,2.8078384,646.3779,406.74933,9648.087,0.0019324828,0.014825662,4.471069,0.0038155976,Jul,2,2,1,13,Returning_Visitor,True,False
7.7618265,1011.586,4.0632567,371.15424,92.52519,5080.97,0.046942405,0.0650752,0.51557463,0.002689353,Aug,2,2,3,13,Returning_Visitor,True,False
22.35592,207.52432,0.92569095,27.382172,114.68202,8794.057,0.019460853,0.047855962,1.0339978,0.0010876829,May,2,2,6,11,Returning_Visitor,True,False
3.198265,31.642902,5.875844,2133.5105,18.875713,366.08862,0.02930317,0.035743825,7.9718423,0.018659933,Jul,1,1,3,1,Returning_Visitor,False,False
0.015417464,-24.154999,5.971776,63.437817,418.23627,16922.275,0.00024717642,0.020520382,-0.05861596,0.0027004506,Nov,2,2,7,1,Returning_Visitor,True,False
7.9113092,755.5917,0.0498826,3.1953678,32.556515,1273.1215,0.005045907,0.013723324,12.1659975,0.81918347,May,3,3,3,2,Returning_Visitor,False,False
9.911932,173.70073,0.013519891,-6.894949,266.27173,4522.9253,0.0018890571,0.00961247,2.2871265,-0.0005252001,Sep,2,2,4,1,Returning_Visitor,False,False
6.039325,98.01748,1.025362,774.0302,35.944122,2339.2036,0.00034553712,0.03612109,26.478071,0.0034161608,Jul,2,10,1,2,Returning_Visitor,False,False
9.379165,1169.1781,7.101881,281.2787,407.58286,22313.697,0.0030879227,0.026567131,0.15304156,0.0093240915,Sep,2,2,4,13,Returning_Visitor,False,False
2.2019033,70.41569,0.053627945,4.0373096,20.381433,740.2841,0.00015132841,0.0035305906,157.75328,-0.00084214035,June,1,1,1,5,New_Visitor,True,False
0.054327138,3.4152293,0.027299143,3.0524216,0.775845,-11.314869,0.19667199,0.19626269,-0.1531394,0.59861815,May,1,1,7,3,New_Visitor,False,False
10.105048,581.16223,0.90075636,16.590956,40.37755,1268.9808,0.0039204056,0.010168708,113.91828,0.0016914482,Sep,4,2,7,2,Returning_Visitor,False,False
11.281249,161.05788,5.6227427,345.295,164.86821,4068.195,0.0011434719,0.008623953,0.16792078,0.38495395,May,2,7,7,3,Returning_Visitor,False,False
9.243478,2339.3276,2.5958223,520.6611,498.53522,23272.035,-0.0034872016,0.009680736,0.19820566,0.014734807,Jul,2,2,1,3,Returning_Visitor,False,False
2.1069798,41.421814,0.046265163,-1.9801999,76.8611,1314.2549,-0.0003991894,0.00079264754,80.671585,0.6423178,May,2,4,4,2,Returning_Visitor,False,False
11.690238,480.1338,12.928723,610.43726,88.461525,3560.2375,0.00032120166,0.011250312,34.78893,0.006271331,Nov,3,2,1,2,Returning_Visitor,True,False
10.999139,256.26422,3.9517303,1519.1348,476.90417,21582.543,-0.0033452197,0.0131279,8.100047,0.015545039,Sep,2,2,1,13,Returning_Visitor,False,False
8.015284,158.19377,0.0088605955,-1.1153585,9.087427,174.50862,0.018523632,0.026713174,-0.24932699,-0.0014033852,Dec,4,1,4,8,New_Visitor,False,False
-0.0022963213,-2.5249028,2.0247235,474.0396,2.759379,75.69234,0.060426716,0.104172505,0.2719905,0.00155416,Nov,3,2,1,13,Returning_Visitor,False,False
21.080976,1914.2266,0.8686967,128.8907,55.36101,3643.863,0.01959802,0.039319705,4.3170795,0.0050163628,May,2,2,3,1,Returning_Visitor,False,False
14.16583,611.73157,1.9525474,54.82941,46.38053,1792.6947,0.010057126,0.02579106,0.91579455,0.002206846,Sep,1,1,6,4,Returning_Visitor,True,False
6.0368543,644.8429,2.8877695,6.9049892,26.927498,2062.1567,0.0069029373,0.034259755,35.119984,0.00077113387,Nov,2,2,5,6,Returning_Visitor,False,False
17.043716,615.57904,3.9859865,1352.8092,151.15536,5649.9766,0.004494322,0.014544557,3.3654985,0.7795392,May,2,2,1,13,Returning_Visitor,False,False
7.5832734,39.560226,11.068745,1244.0118,190.90453,7537.658,0.0022013632,0.0141792195,4.3316536,0.38537765,May,2,2,1,4,Returning_Visitor,False,False
2.026069,18.352661,6.3676896,665.3532,12.191269,354.4939,-0.000690265,0.045747057,0.4461982,0.002945258,Nov,3,2,3,10,Returning_Visitor,True,False
0.3099414,8.897239,10.029812,1852.5747,9.356691,1894.1359,0.0069754575,0.02261393,4.50275,0.6130254,May,2,2,6,3,New_Visitor,False,False
-0.010908,-3.8369908,-0.0019312125,-1.5898305,22.721395,513.2886,0.007598867,0.018551089,0.03904506,0.6086017,Feb,1,1,4,2,Returning_Visitor,False,False
0.012619622,-9.107568,-0.034647726,-5.859537,1.9045529,80.5417,0.19912846,0.19990996,0.19143887,0.00029183054,May,3,2,2,19,Returning_Visitor,True,False
2.9951015,67.07607,3.758691,26.81255,1.5153451,70.96687,0.0010059938,0.024286926,-0.04557828,-0.0009248567,Dec,8,13,9,20,Other,False,False
5.996809,1028.7576,0.95303255,384.44812,6.7065167,104.669876,0.00047404473,0.022596428,14.148167,0.003937146,Sep,2,2,3,2,Returning_Visitor,True,False
4.8270574,91.47972,1.9254203,227.0334,243.13075,9371.854,0.0055264416,0.022204917,-0.21745329,0.00031461814,Oct,4,1,4,3,Returning_Visitor,True,False
8.933273,175.80661,1.9928806,494.0989,88.114334,2594.087,0.008729451,0.024347918,3.965907,0.61253566,May,4,2,8,4,Returning_Visitor,False,False
0.08403409,-6.576592,7.29681,1164.1066,8.478149,315.0141,0.03758598,0.043706883,0.940386,0.0046759644,May,1,2,3,2,Returning_Visitor,False,False
3.9767432,45.631454,0.011742778,-0.11052139,5.4538484,90.97456,0.017940603,0.07304137,0.19959946,0.0014943803,Jul,3,3,3,4,Returning_Visitor,False,False
2.9569724,628.3038,6.187861,90.03303,50.455666,2372.2034,0.018912487,0.03857944,0.28427574,0.99801093,May,1,1,3,15,Returning_Visitor,True,False
-0.026718013,-0.31560567,2.9787319,494.45898,160.10765,3238.4436,0.0060323323,0.012020568,5.2971754,0.0007545824,Dec,2,2,1,1,Returning_Visitor,False,False
1.7691718,49.736946,0.9936959,30.528551,215.81993,13470.635,0.017329767,0.049745362,-0.22257404,0.0024750184,Sep,2,4,7,1,Returning_Visitor,False,False
7.8320518,406.39575,1.0150338,937.5413,13.950054,1323.5742,0.020435562,0.035734143,0.5946657,0.003915629,Nov,1,1,4,3,Returning_Visitor,False,False
10.04591,160.21199,1.9671457,249.4286,50.762962,2687.4004,0.004343796,0.016528768,3.1074069,0.60959446,May,2,2,2,19,Returning_Visitor,False,False
5.3596497,143.98727,0.8986233,12.412851,168.58891,3791.5837,0.0001513638,-0.00018688776,136.23868,-0.0012810765,Oct,2,2,3,20,Returning_Visitor,False,False
3.1196842,59.354855,0.033205695,-4.536604,172.06647,6680.595,0.004149345,0.008744947,18.514204,0.0007048237,Aug,2,4,9,4,Returning_Visitor,False,False
5.891112,162.86862,9.277893,421.37698,11.613592,498.67114,0.006677506,0.0073812595,0.35929558,0.0017157035,Mar,3,2,8,8,New_Visitor,False,False
