Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.5212184,18.00396,-0.0007120889,-0.47596556,12.915417,362.3089,0.006689143,0.021902192,0.032238685,0.014684646,May,3,2,1,4,Returning_Visitor,False,False
2.6817644,100.55529,-0.003944061,-0.19341858,32.355125,1055.5304,0.0066233804,0.020166408,1.2553966,0.14171505,May,1,1,1,4,Returning_Visitor,False,False
3.893211,120.42177,0.00048539822,1.6395892,45.54742,1551.0743,0.0043965555,0.013044155,5.6907525,-0.00076573464,Mar,8,2,3,2,Returning_Visitor,False,False
6.299281,201.35632,0.0015392381,2.58222,24.762161,1301.9211,0.022724712,0.04596708,0.54855937,-0.0021543365,Nov,2,2,7,1,Returning_Visitor,False,False
11.643266,410.8238,1.9772362,166.25784,120.83758,4506.378,0.0042004115,0.007922019,3.1650822,-0.00044129541,Nov,1,1,1,11,Returning_Visitor,False,False
1.8743632,87.989975,0.0005659837,0.6540126,11.346041,394.08234,0.011796093,0.042063408,2.446933,-0.00040983534,Nov,2,2,4,2,Returning_Visitor,True,False
1.8653224,46.93439,1.6900395,230.88522,86.521286,2342.4756,0.0043307706,0.021663807,0.009247027,0.00092744705,Dec,2,2,1,2,Returning_Visitor,False,False
0.7323276,33.804497,0.0020376523,0.8089313,15.150871,467.70648,0.0048992164,0.021147406,0.28364298,-0.00035714483,Nov,2,4,1,2,Returning_Visitor,False,False
0.023327477,-5.554871,0.0010287244,0.87256426,1.297688,29.770458,0.19837081,0.19718555,0.32543918,-0.0016308887,Mar,2,2,1,1,Returning_Visitor,False,False
0.44221747,26.99936,-0.0028956751,0.52881426,40.337418,1617.6832,0.004765134,0.02429251,1.4736793,-0.00010800486,Nov,2,6,7,2,Returning_Visitor,True,False
7.1613755,219.22171,0.0059253057,1.3076228,14.788004,471.17206,0.0023994872,0.01378399,0.27602217,-1.1318677e-05,Dec,2,2,3,2,New_Visitor,False,False
