age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45.05201,Federal-gov,360094.47,Assoc-acdm,12.00682,Never-married,Exec-managerial,Not-in-family,White,Male,7.6896796,-0.04067795,40.0104,United-States,<=50K
53.95741,Private,569166.06,Some-college,9.996965,Married-civ-spouse,Sales,Husband,White,Male,-17.887224,-0.827444,97.758484,United-States,<=50K
51.01585,State-gov,70228.96,Assoc-voc,11.004415,Divorced,Tech-support,Not-in-family,White,Male,2.2507148,2446.0652,39.163643,United-States,>50K
66.993706,State-gov,241291.6,Doctorate,15.988377,Married-civ-spouse,Prof-specialty,Husband,Black,Male,2.6142402,-0.012250825,12.102771,?,<=50K
61.020123,Private,81663.27,5th-6th,3.0134642,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,7313.8843,1.1579763,40.00083,Philippines,>50K
30.083487,?,34473.17,Bachelors,12.996846,Married-civ-spouse,?,Wife,Other,Female,10.198957,-0.3136882,40.043518,Taiwan,>50K
44.093838,Private,892345.4,HS-grad,9.006286,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,3108.8838,-0.7859706,30.012909,United-States,<=50K
28.148487,Local-gov,175382.44,Assoc-acdm,11.993087,Married-civ-spouse,Protective-serv,Husband,White,Male,1.9583565,1999.4764,40.02247,England,<=50K
34.25738,Self-emp-inc,174642.05,Masters,13.989057,Never-married,Exec-managerial,Not-in-family,White,Female,4780.5864,1.1135885,44.9683,France,>50K
26.788204,Private,212702.56,Preschool,1.227619,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,38917.51,-0.66897386,24.048649,Mexico,<=50K
59.951294,Self-emp-not-inc,123108.75,9th,4.989341,Married-civ-spouse,Exec-managerial,Husband,White,Male,8.602156,1885.7052,67.0741,United-States,>50K
35.125046,Private,356796.44,Prof-school,14.995649,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,13.848738,0.74530226,35.03903,China,<=50K
60.962673,Private,149399.31,7th-8th,3.9951122,Married-civ-spouse,Prof-specialty,Husband,White,Male,3.8688788,2055.105,69.91185,United-States,<=50K
