age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
38.172363,Private,199332.95,7th-8th,5.121304,Divorced,Prof-specialty,Not-in-family,White,Female,-4.3574395,0.8944035,37.50358,United-States,<=50K
37.351097,Private,180688.42,HS-grad,8.980066,Divorced,Other-service,Unmarried,White,Female,8.379377,1.1073247,37.802414,United-States,<=50K
32.711018,Private,185505.81,Some-college,10.071263,Never-married,Other-service,Not-in-family,White,Female,-2.5894952,1.3078252,39.837196,United-States,<=50K
43.931988,Private,194203.83,7th-8th,5.0543633,Married-civ-spouse,Craft-repair,Husband,White,Male,5.376447,-0.10233872,40.98247,United-States,<=50K
37.431545,Private,170218.22,Bachelors,11.964288,Never-married,Other-service,Not-in-family,White,Female,3.8438544,1.5046865,38.027554,United-States,<=50K
40.60947,Private,166063.39,9th,12.118945,Married-civ-spouse,Prof-specialty,Husband,White,Male,7.3315253,0.63083845,41.93989,United-States,<=50K
40.12579,Private,182073.45,HS-grad,8.994051,Married-civ-spouse,Craft-repair,Husband,White,Male,7.372419,0.04540451,42.209435,United-States,<=50K
24.965864,Private,188592.12,HS-grad,8.995613,Never-married,Other-service,Own-child,White,Male,-1.5934013,0.28546342,36.441246,United-States,<=50K
22.064491,Private,190083.8,Some-college,9.990942,Never-married,Other-service,Own-child,White,Female,-3.2702813,-0.060674593,31.119272,United-States,<=50K
36.311245,Private,168758.92,HS-grad,9.833093,Married-civ-spouse,Other-service,Wife,White,Female,6.02696,0.14479263,36.09021,United-States,<=50K
25.908888,Private,183408.12,12th,7.2605553,Never-married,Prof-specialty,Own-child,White,Male,0.14597856,0.5832463,33.965656,United-States,<=50K
35.80815,Private,180350.05,Bachelors,9.802679,Divorced,Prof-specialty,Own-child,White,Male,9.473616,1852.1979,40.2588,United-States,<=50K
35.93632,Private,198838.75,Bachelors,8.82389,Divorced,Prof-specialty,Own-child,White,Male,-2.1422296,6.583803,39.52976,Nicaragua,<=50K
32.579155,Private,203111.61,HS-grad,9.0059595,Never-married,Transport-moving,Not-in-family,White,Male,-2.6839776,0.82560164,43.20449,United-States,<=50K
28.165037,Private,180246.19,Prof-school,10.76744,Never-married,Tech-support,Own-child,White,Male,1.7624336,0.17384537,38.062984,United-States,<=50K
20.00639,Private,185380.39,11th,6.9724927,Never-married,Other-service,Own-child,White,Male,-4.3628106,0.22506149,26.137394,United-States,<=50K
39.042698,Local-gov,176613.61,Prof-school,11.8260765,Divorced,Prof-specialty,Not-in-family,White,Female,2.004743,1.8185216,41.303143,United-States,<=50K
27.059359,Private,183220.22,Bachelors,12.239535,Never-married,Other-service,Own-child,White,Female,4.2805,0.8106938,34.08507,United-States,<=50K
34.247684,Private,198009.8,Bachelors,13.002891,Never-married,Other-service,Not-in-family,White,Male,5.1092353,1.622614,44.62783,United-States,<=50K
38.091152,Private,189145.97,Some-college,10.080404,Married-civ-spouse,?,Husband,White,Male,6.5206122,-0.29748335,44.16159,United-States,<=50K
42.586483,Private,180478.89,Bachelors,13.192934,Married-civ-spouse,Exec-managerial,Husband,White,Male,994.8354,0.101595,47.867043,United-States,>50K
43.83398,Private,172826.08,HS-grad,8.942549,Married-civ-spouse,Other-service,Not-in-family,White,Female,1315.3488,1.6812917,40.817017,United-States,>50K
41.941833,Private,194764.27,Some-college,9.920518,Married-civ-spouse,Craft-repair,Husband,White,Male,393.79208,-0.4524974,44.052242,United-States,>50K
