age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.899597,Private,169289.45,HS-grad,8.990715,Married-spouse-absent,Other-service,Unmarried,Black,Female,-4.754412,-1.0016154,19.959988,United-States,<=50K
26.78559,Private,1468517.2,Some-college,10.098733,Married-civ-spouse,Exec-managerial,Husband,White,Male,7.598371,-0.049161837,39.84637,United-States,<=50K
50.91851,Private,159789.48,Doctorate,16.037851,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-5.6712823,-0.03159897,98.87391,South,<=50K
40.93824,State-gov,520816.8,Bachelors,13.018556,Never-married,Protective-serv,Not-in-family,Black,Male,-6.278582,1589.2535,39.977097,Puerto-Rico,<=50K
73.04953,?,89610.04,1st-4th,1.9931163,Married-civ-spouse,?,Husband,White,Male,2.8824286,0.5434895,40.03688,Portugal,<=50K
65.01651,Private,108218.234,7th-8th,3.9948313,Widowed,Priv-house-serv,Not-in-family,White,Female,-1.2132744,3179.2107,59.994297,Puerto-Rico,<=50K
62.993797,Self-emp-not-inc,288801.62,Masters,14.001076,Married-civ-spouse,Farming-fishing,Husband,White,Male,41877.383,0.38358507,49.903435,United-States,<=50K
26.941605,Private,34838.625,Assoc-voc,11.040512,Never-married,Prof-specialty,Not-in-family,White,Female,-5.8332696,1878.0225,35.91059,Canada,<=50K
21.8341,Private,462255.34,1st-4th,1.984496,Never-married,Craft-repair,Not-in-family,White,Male,1.1168038,0.5048085,40.006054,Guatemala,<=50K
25.985392,Self-emp-inc,65384.484,12th,8.0223255,Married-civ-spouse,Sales,Husband,Other,Male,-9.610613,-0.2616023,98.03772,Dominican-Republic,<=50K
26.922037,State-gov,55786.61,Masters,13.999879,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-12.669207,-0.50923723,20.113392,China,<=50K
62.885067,Self-emp-not-inc,796831.2,1st-4th,1.9471406,Widowed,Other-service,Unmarried,White,Female,-2.535174,0.36683854,29.96806,El-Salvador,<=50K
