age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
27.568096,Private,176504.52,Bachelors,12.764655,Never-married,Adm-clerical,Own-child,White,Male,-15.852922,-1.2512339,38.779633,United-States,<=50K
39.307037,Private,159522.75,HS-grad,8.977771,Married-civ-spouse,Sales,Husband,White,Male,-8.886248,-0.72427934,43.952526,United-States,<=50K
45.263336,Local-gov,167508.84,HS-grad,9.376607,Divorced,Adm-clerical,Not-in-family,White,Female,-17.365007,0.049608305,39.351704,United-States,<=50K
22.060463,Private,173405.88,Some-college,10.00603,Never-married,Other-service,Own-child,White,Female,-12.904436,-1.1078852,28.004278,United-States,<=50K
28.291683,Private,170968.8,HS-grad,9.362722,Never-married,Sales,Not-in-family,White,Male,-29.851458,-0.5249309,42.45967,United-States,<=50K
47.406754,Self-emp-not-inc,150901.53,HS-grad,9.135899,Married-civ-spouse,Farming-fishing,Husband,White,Male,-9.969744,-0.39304915,47.229862,United-States,<=50K
38.199657,Private,162363.84,HS-grad,9.198443,Married-civ-spouse,Adm-clerical,Wife,White,Female,-4.0428643,-1.0763453,35.852337,United-States,<=50K
36.937515,Private,168019.94,HS-grad,9.207161,Never-married,Adm-clerical,Unmarried,White,Female,-22.309587,-1.0430888,38.291447,United-States,<=50K
37.997284,Private,166345.55,Bachelors,13.106696,Married-civ-spouse,Prof-specialty,Husband,White,Male,-17.017107,-1.2294444,43.597366,United-States,<=50K
35.621113,Private,170653.48,Some-college,10.032938,Married-civ-spouse,Craft-repair,Husband,White,Male,-10.801531,-1.1657923,41.96881,United-States,<=50K
22.023252,?,177923.05,Some-college,9.207209,Never-married,?,Own-child,White,Male,-26.18471,-0.98785204,35.420017,United-States,<=50K
25.699793,Private,211097.08,HS-grad,9.22233,Never-married,Handlers-cleaners,Own-child,Black,Male,-25.75258,-0.637701,37.595005,United-States,<=50K
44.49354,Private,175793.98,HS-grad,8.965807,Divorced,Machine-op-inspct,Not-in-family,White,Female,-28.620867,-0.3880824,39.48401,United-States,<=50K
21.950233,Private,179375.34,Some-college,10.01987,Never-married,Sales,Own-child,White,Female,-28.0132,-0.5748195,28.708994,United-States,<=50K
31.256989,Private,175822.02,Bachelors,13.042642,Never-married,Prof-specialty,Not-in-family,White,Male,-14.299822,-1.2269572,41.92723,United-States,<=50K
29.952034,Private,185423.83,Bachelors,12.722057,Never-married,Sales,Not-in-family,White,Male,-24.343401,-0.40566817,41.82928,United-States,<=50K
18.241047,Private,166361.67,11th,7.2180347,Never-married,Other-service,Own-child,White,Female,-21.075457,-1.0180491,20.795614,United-States,<=50K
30.705309,Private,180914.27,Bachelors,12.562134,Never-married,Adm-clerical,Not-in-family,White,Male,-18.232073,-1.1134242,41.101044,United-States,<=50K
20.62012,Private,172761.7,HS-grad,8.131256,Never-married,Sales,Own-child,White,Female,-31.093645,-0.43720046,26.610685,United-States,<=50K
40.110508,Private,172125.05,HS-grad,9.166983,Divorced,Craft-repair,Not-in-family,White,Male,-13.543718,-0.682043,41.865974,United-States,<=50K
57.678898,?,168896.62,HS-grad,8.727437,Married-civ-spouse,?,Husband,White,Male,4.055036,-1.3588389,30.772316,United-States,<=50K
35.251724,Private,198254.34,HS-grad,8.450773,Never-married,Other-service,Wife,White,Male,-31.900042,-0.8936214,38.2342,Puerto-Rico,<=50K
41.892773,Private,166820.16,Bachelors,12.638094,Divorced,Prof-specialty,Not-in-family,White,Female,-18.105486,-0.70001024,39.04726,United-States,<=50K
41.968227,Private,168609.95,7th-8th,10.349696,Divorced,Adm-clerical,Not-in-family,White,Female,-14.151018,-0.8422145,40.11555,United-States,<=50K
51.99658,Private,171810.52,HS-grad,9.02099,Married-civ-spouse,Craft-repair,Husband,White,Male,2.4302802,-1.2842997,41.05522,United-States,<=50K
39.345463,Private,179291.75,11th,7.1715584,Married-civ-spouse,Craft-repair,Husband,White,Male,-18.443254,-1.1151484,40.876934,United-States,<=50K
43.220222,Private,167960.61,HS-grad,8.996246,Divorced,Farming-fishing,Not-in-family,White,Male,-16.774797,-0.30188552,44.135986,United-States,<=50K
44.125023,Private,170476.73,HS-grad,8.89714,Divorced,Adm-clerical,Not-in-family,White,Female,-25.488787,-0.76939195,39.79628,United-States,<=50K
24.139027,Private,176689.81,HS-grad,9.028095,Never-married,Transport-moving,Own-child,White,Male,-9.304949,-1.1419047,39.334087,United-States,<=50K
40.675266,Private,164844.66,HS-grad,9.313289,Divorced,Adm-clerical,Unmarried,White,Female,-23.459856,-0.3863658,39.21851,United-States,<=50K
31.963009,Private,176586.45,HS-grad,9.004607,Married-civ-spouse,Craft-repair,Husband,White,Male,-11.380754,-1.0056285,42.684334,United-States,<=50K
38.312634,Private,163616.39,Bachelors,12.15405,Married-civ-spouse,Transport-moving,Husband,White,Male,-16.670061,-0.9557399,43.388485,United-States,<=50K
25.058075,Private,174104.22,HS-grad,9.020253,Never-married,Craft-repair,Own-child,White,Male,-2.432757,-1.2367076,38.551464,United-States,<=50K
25.975508,Private,214545.97,10th,4.3800693,Never-married,Craft-repair,Not-in-family,White,Male,-12.394793,-1.2420558,38.91489,United-States,<=50K
62.83978,Private,168703.67,Bachelors,13.115923,Married-civ-spouse,Exec-managerial,Husband,White,Male,13.060041,-1.3792857,31.580236,United-States,<=50K
46.721832,Private,164121.28,HS-grad,8.972834,Divorced,Handlers-cleaners,Not-in-family,White,Male,-24.252947,1874.2444,39.879635,United-States,<=50K
35.215446,Private,199919.19,HS-grad,9.174403,Never-married,Other-service,Unmarried,Black,Female,-35.51418,-0.3232936,38.473015,United-States,<=50K
26.381418,Private,179407.9,Some-college,10.029667,Never-married,Sales,Not-in-family,White,Female,-34.298725,-0.35577956,36.418335,United-States,<=50K
42.845634,Private,169504.39,HS-grad,8.916828,Married-civ-spouse,Transport-moving,Husband,White,Male,-18.04677,1870.7968,42.87622,United-States,<=50K
29.64629,Private,179231.56,HS-grad,8.974515,Never-married,Craft-repair,Not-in-family,White,Male,-9.897112,-1.1071223,41.687477,United-States,<=50K
23.942581,Private,173775.28,HS-grad,9.0011425,Never-married,Adm-clerical,Own-child,White,Female,-10.096697,-1.1287135,33.448036,United-States,<=50K
45.014565,Private,172939.12,HS-grad,9.496055,Divorced,Sales,Not-in-family,White,Female,-21.735735,-0.056089327,38.009216,United-States,<=50K
45.453674,Federal-gov,155176.92,HS-grad,9.582863,Divorced,Adm-clerical,Not-in-family,White,Female,-3.8343682,-0.6872005,40.16356,United-States,<=50K
64.13269,?,160525.25,HS-grad,8.792845,Widowed,?,Not-in-family,White,Female,-12.588152,-1.3303584,26.572077,United-States,<=50K
30.94304,Private,167013.64,Bachelors,12.819678,Never-married,Prof-specialty,Not-in-family,White,Female,-23.520525,-1.0492076,39.777733,United-States,<=50K
44.933563,Private,166747.45,Bachelors,12.939701,Divorced,Prof-specialty,Wife,White,Male,-27.108782,1816.6333,40.833435,United-States,<=50K
33.754856,Private,198331.28,1st-4th,7.4465847,Never-married,Craft-repair,Husband,White,Male,-12.900896,-1.5711879,39.832996,Guatemala,<=50K
18.687181,Private,158729.94,10th,5.7971187,Never-married,Other-service,Own-child,White,Male,-18.60451,-1.105398,21.55833,United-States,<=50K
