age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
62.536263,Self-emp-not-inc,285481.0,Masters,14.048028,Married-civ-spouse,Farming-fishing,Husband,White,Male,42647.76,-0.67709917,50.165012,United-States,<=50K
36.189117,Self-emp-not-inc,240891.2,HS-grad,8.762091,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41392.81,-0.21320908,88.55853,South,<=50K
54.88421,Self-emp-not-inc,148152.89,HS-grad,8.771628,Divorced,Exec-managerial,Not-in-family,White,Male,33316.105,1.3843557,59.808014,United-States,<=50K
63.749542,Private,291023.25,Some-college,9.992131,Married-civ-spouse,Exec-managerial,Wife,White,Female,10721.378,0.6394368,35.065746,United-States,<=50K
69.85629,Self-emp-inc,378309.25,Some-college,9.959815,Married-civ-spouse,Sales,Husband,White,Male,10723.782,0.42877397,40.023876,United-States,<=50K
89.262505,Self-emp-not-inc,155034.28,Bachelors,12.975878,Married-civ-spouse,Prof-specialty,Husband,White,Male,10704.512,0.39977464,49.948845,United-States,<=50K
28.065798,Private,213165.95,Preschool,1.4368867,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41908.008,1.1148549,25.316288,Mexico,<=50K
63.7977,Private,159568.9,HS-grad,8.961761,Married-civ-spouse,Transport-moving,Husband,White,Male,10705.615,0.5253697,40.076702,United-States,<=50K
54.991444,Self-emp-inc,298696.8,Doctorate,15.984638,Married-civ-spouse,Prof-specialty,Husband,White,Male,7.268171,2174.5513,59.981827,United-States,<=50K
41.225964,Private,179010.33,Doctorate,15.990679,Married-civ-spouse,Prof-specialty,Husband,White,Male,3.4695868,2047.4065,60.015,United-States,<=50K
62.015842,Self-emp-not-inc,82535.24,HS-grad,8.953594,Married-civ-spouse,Craft-repair,Husband,White,Male,10679.53,0.38099107,39.9712,United-States,<=50K
67.135445,Private,227140.28,Masters,13.992879,Married-civ-spouse,Prof-specialty,Husband,White,Male,42.374126,2458.6584,39.997963,United-States,<=50K
54.954365,Local-gov,177259.47,Masters,14.000737,Married-civ-spouse,Prof-specialty,Wife,White,Female,-15.3165455,2266.1926,40.0249,United-States,<=50K
50.882584,Federal-gov,164553.28,Bachelors,13.001994,Married-civ-spouse,Exec-managerial,Husband,White,Male,-20.116594,1897.0353,40.00344,United-States,<=50K
44.668186,Private,358325.1,Bachelors,13.00318,Married-civ-spouse,Sales,Husband,White,Male,12.019392,1997.9791,55.169212,United-States,<=50K
43.032166,Federal-gov,189901.39,Prof-school,15.003564,Married-civ-spouse,Exec-managerial,Husband,White,Male,-11.678362,-0.1723079,59.94774,United-States,<=50K
34.676117,Federal-gov,208616.02,Doctorate,16.04076,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.08445511,-0.12258713,54.949898,Canada,<=50K
59.08334,Private,170937.69,Bachelors,13.005571,Married-civ-spouse,Exec-managerial,Husband,White,Male,5.567243,1993.4164,50.09271,United-States,<=50K
44.237453,State-gov,107087.49,Doctorate,15.997062,Married-civ-spouse,Prof-specialty,Husband,White,Male,4797.4507,0.3090535,59.89104,United-States,<=50K
43.103943,Self-emp-inc,188275.38,Masters,14.002374,Married-civ-spouse,Exec-managerial,Husband,White,Male,5038.086,0.43132982,44.822613,United-States,<=50K
51.99227,Federal-gov,192046.84,Masters,14.005564,Married-civ-spouse,Exec-managerial,Husband,White,Male,4995.549,0.3683568,39.95861,United-States,<=50K
35.69484,Private,357406.4,Doctorate,16.05702,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.38657913,-0.02014725,50.054848,Canada,<=50K
66.86027,Private,257371.53,7th-8th,4.0477085,Married-civ-spouse,Transport-moving,Husband,Black,Male,10643.811,0.3816472,40.056667,United-States,<=50K
50.74737,Private,155141.4,Some-college,9.989149,Married-civ-spouse,Transport-moving,Husband,White,Male,-2.6750665,2607.3147,39.99447,United-States,<=50K
46.982822,Self-emp-inc,85673.71,Doctorate,16.01185,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.27964553,-0.04696457,49.983875,United-States,<=50K
47.992245,Private,248207.02,Bachelors,13.004191,Married-civ-spouse,Exec-managerial,Husband,White,Male,5045.758,0.48573503,44.929916,United-States,<=50K
67.05723,Private,72180.93,Some-college,9.967439,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,10652.971,0.5190831,15.188113,United-States,<=50K
53.823338,Federal-gov,149367.55,Bachelors,13.008589,Married-civ-spouse,Exec-managerial,Wife,White,Female,-3.6695733,0.44011125,45.021736,United-States,<=50K
54.922695,Self-emp-inc,305003.2,Prof-school,15.0134115,Married-civ-spouse,Prof-specialty,Husband,White,Male,-5.4409356,0.044687346,54.984936,United-States,<=50K
58.864418,Private,384922.25,Doctorate,16.037992,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.7330147,-0.12944596,50.02974,United-States,<=50K
20.056385,Private,325044.4,12th,7.998634,Never-married,Other-service,Own-child,Black,Male,0.7536446,0.6076985,34.93054,United-States,>50K
18.869665,Private,323791.34,7th-8th,3.973018,Never-married,Other-service,Not-in-family,White,Male,-7.2791924,0.5555821,59.68789,United-States,>50K
22.026691,Private,127743.23,Some-college,9.994724,Never-married,Other-service,Own-child,White,Male,0.48728713,0.1492482,32.106678,United-States,>50K
22.02026,Private,52446.484,Some-college,10.005289,Never-married,Prof-specialty,Own-child,White,Male,-0.36012498,0.1802922,14.9906,United-States,>50K
61.202003,State-gov,160429.39,11th,6.9932976,Widowed,Other-service,Unmarried,White,Female,6.9599433,-0.103872225,31.987047,United-States,>50K
23.901897,Private,83304.96,HS-grad,9.012266,Separated,Other-service,Unmarried,White,Female,1.119001,0.07437332,49.968147,Portugal,>50K
76.65091,Self-emp-not-inc,72926.836,7th-8th,4.043909,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,-49.95461,-0.23077957,19.98926,Italy,>50K
22.000566,Private,185915.22,Some-college,10.006325,Never-married,Sales,Not-in-family,White,Male,-0.39760056,0.26202592,24.95662,United-States,>50K
66.19563,Self-emp-not-inc,59044.617,11th,7.00032,Divorced,Other-service,Not-in-family,White,Female,5.143049,-0.088857576,39.88999,United-States,>50K
33.101284,Private,223548.53,7th-8th,4.0238986,Never-married,Farming-fishing,Not-in-family,White,Male,-8.464251,-0.16612045,40.04744,Mexico,>50K
26.23499,Private,153329.27,HS-grad,9.02759,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,-2.0050225,0.12507828,79.98513,?,>50K
27.17651,State-gov,24940.531,HS-grad,8.977143,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,-6.396136,-0.12843125,37.9999,United-States,>50K
60.8112,Private,174180.48,9th,5.0089636,Divorced,Handlers-cleaners,Not-in-family,White,Male,-3.075213,-0.016164705,40.06772,Puerto-Rico,>50K
24.039225,Self-emp-not-inc,84017.46,Some-college,10.017525,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,-1.1246513,0.05961807,29.985489,United-States,>50K
28.04438,Private,149959.52,9th,5.0195355,Never-married,Craft-repair,Not-in-family,White,Male,-0.8430351,0.058435515,50.08052,?,>50K
23.070496,Local-gov,197894.69,Some-college,10.006012,Never-married,Protective-serv,Own-child,White,Male,-1.0846123,0.30294237,40.036015,United-States,>50K
57.12063,Self-emp-not-inc,63539.22,11th,7.0112386,Widowed,Other-service,Unmarried,White,Female,-22.430681,-0.2811717,64.57231,Greece,>50K
65.06246,Local-gov,200270.0,HS-grad,9.001653,Divorced,Adm-clerical,Not-in-family,White,Female,4.558454,-0.09897415,15.909574,United-States,>50K
72.7734,?,138939.44,HS-grad,8.996856,Widowed,?,Not-in-family,White,Female,-3.575091,-0.03978531,22.083887,United-States,>50K
21.914967,State-gov,187057.62,12th,8.017411,Never-married,Exec-managerial,Not-in-family,White,Male,-4.9178643,0.45575914,49.878044,United-States,>50K
26.192978,Self-emp-not-inc,69040.12,HS-grad,9.001787,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,-2.1582208,-0.04758255,50.010643,United-States,>50K
28.004774,State-gov,74048.016,Bachelors,12.980151,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,-2.1137872,-0.045148775,39.968384,United-States,>50K
27.248755,Local-gov,229197.7,Some-college,9.995621,Never-married,Protective-serv,Own-child,White,Female,0.11301956,-0.037198946,39.985104,United-States,>50K
27.107449,Private,147387.19,HS-grad,8.9951105,Never-married,Other-service,Not-in-family,White,Female,1.5743233,0.007196502,49.89908,United-States,>50K
26.06182,Private,177365.33,Bachelors,12.99032,Never-married,Adm-clerical,Own-child,White,Female,-0.09193649,0.06771286,40.01388,United-States,>50K
38.95664,Private,192364.89,HS-grad,9.001169,Never-married,Adm-clerical,Own-child,White,Female,-3.4957452,0.022096708,40.000217,United-States,>50K
52.06226,Private,111443.48,Some-college,9.997586,Divorced,Sales,Other-relative,White,Female,-1.9712089,0.085886076,19.979347,United-States,>50K
56.126022,Private,92728.35,9th,4.993341,Divorced,Craft-repair,Not-in-family,White,Female,0.21287309,0.0492955,39.96295,United-States,>50K
28.039574,Private,103740.375,HS-grad,9.0135,Never-married,Transport-moving,Own-child,White,Male,-4.165789,0.17482193,45.04545,Portugal,>50K
29.798996,Private,236496.62,9th,4.9915233,Married-civ-spouse,Other-service,Husband,White,Male,2.7292304,0.10930069,32.04257,El-Salvador,>50K
