age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45.007183,Federal-gov,360123.72,Assoc-acdm,12.01194,Never-married,Exec-managerial,Not-in-family,White,Male,-5.344744,0.2396489,40.00167,United-States,<=50K
65.84104,?,186618.38,Some-college,10.019525,Widowed,?,Unmarried,Black,Female,51.425518,4305.572,39.713203,United-States,<=50K
46.830875,Federal-gov,218709.34,Assoc-acdm,12.027134,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0.36875686,-0.03624527,39.9894,Philippines,>50K
38.664192,Private,152579.84,10th,5.9707494,Separated,Adm-clerical,Unmarried,White,Male,41.42161,3767.5593,39.717613,United-States,<=50K
43.021423,Private,144558.36,5th-6th,3.0807202,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,-7.450213,2138.009,71.93785,?,<=50K
26.211224,Private,105398.266,HS-grad,9.043839,Married-AF-spouse,Prof-specialty,Wife,White,Female,-3.7185235,1652.0764,42.24133,United-States,<=50K
53.944027,Self-emp-not-inc,99444.6,Some-college,10.013287,Married-civ-spouse,Craft-repair,Husband,White,Male,0.3990303,-0.20930283,39.97267,Ireland,>50K
59.80481,Self-emp-inc,122935.33,7th-8th,3.9658391,Married-civ-spouse,Exec-managerial,Husband,White,Male,-0.2683281,0.20613296,54.899967,Ireland,<=50K
60.867336,Private,194165.2,Preschool,1.2029866,Separated,Transport-moving,Not-in-family,Black,Male,14203.389,-0.1212291,39.886543,United-States,>50K
56.272755,Self-emp-not-inc,346835.78,Masters,13.94255,Divorced,Sales,Unmarried,White,Female,26.43846,2352.9746,59.84732,United-States,<=50K
65.8122,Local-gov,146190.6,Masters,13.991778,Married-civ-spouse,Prof-specialty,Husband,White,Male,15.337629,1644.1492,3.4600341,Greece,<=50K
30.99409,Local-gov,378817.8,Prof-school,14.996068,Married-civ-spouse,Prof-specialty,Husband,White,Male,-10.328386,0.0010090627,99.255424,Columbia,<=50K
34.8471,Private,962610.9,HS-grad,9.017887,Married-civ-spouse,Exec-managerial,Wife,White,Female,-5.2546563,0.41238603,40.091133,United-States,>50K
49.95013,Self-emp-inc,195348.38,Doctorate,15.991305,Separated,Prof-specialty,Not-in-family,White,Male,-3.0296807,0.2327214,39.953533,United-States,>50K
28.774948,Private,125338.1,Some-college,9.980506,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,11.084578,2435.8647,40.054775,Puerto-Rico,>50K
42.70139,Self-emp-not-inc,155722.62,Bachelors,13.024766,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,-6.5432305,0.49697313,80.12039,Thailand,<=50K
42.963104,Private,214145.16,HS-grad,9.052134,Married-AF-spouse,Craft-repair,Wife,Black,Female,4.2742743,0.36889085,42.00476,United-States,>50K
40.350643,Private,287690.5,Bachelors,13.002492,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,4.382917,2255.7803,48.06106,Philippines,<=50K
51.009415,Self-emp-not-inc,136017.12,HS-grad,8.998111,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,3054.4375,0.18626602,83.823296,Vietnam,<=50K
28.842104,Private,162812.61,Masters,14.038431,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15.409773,0.46175584,40.15215,Hong,>50K
30.07961,Local-gov,18838.5,HS-grad,8.987089,Married-civ-spouse,Craft-repair,Husband,White,Male,4308.3955,0.25871477,69.82181,Germany,>50K
71.11175,?,99879.86,HS-grad,9.045009,Married-civ-spouse,?,Husband,White,Male,59.56529,2505.0752,14.253036,United-States,<=50K
87.612495,Self-emp-not-inc,262965.9,11th,6.989605,Married-civ-spouse,Farming-fishing,Husband,White,Male,6488.798,0.3039342,39.99854,United-States,>50K
48.983616,Self-emp-not-inc,111398.96,Bachelors,13.004574,Married-civ-spouse,Exec-managerial,Husband,White,Male,-2.0638604,0.3104802,59.97243,Scotland,>50K
22.127838,Private,234198.12,Bachelors,13.008057,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,14342.136,0.3297597,40.253666,United-States,>50K
51.985374,Private,594351.25,5th-6th,3.018891,Married-civ-spouse,Craft-repair,Husband,White,Male,-3.8370538,2005.4513,45.201725,United-States,<=50K
48.75892,Local-gov,199656.1,HS-grad,9.000267,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-8.066912,2180.094,39.9753,United-States,<=50K
29.88616,?,33199.86,Bachelors,13.016065,Married-civ-spouse,?,Wife,Other,Female,4.7830634,0.53835493,40.152386,Taiwan,>50K
27.133093,Private,1468421.1,Some-college,9.999914,Married-civ-spouse,Exec-managerial,Husband,White,Male,-1.8170341,0.1814061,40.024605,United-States,<=50K
48.946835,Self-emp-not-inc,42993.297,Doctorate,15.982613,Divorced,Prof-specialty,Unmarried,White,Male,-9.419451,0.2562047,62.879467,Canada,>50K
69.03855,?,199878.02,Prof-school,15.020305,Married-civ-spouse,?,Wife,White,Female,-1.2324394,0.4799367,25.3835,?,<=50K
44.69653,Self-emp-not-inc,182210.97,Doctorate,15.961334,Separated,Prof-specialty,Not-in-family,White,Male,-2.3766046,1406.2067,39.979805,United-States,<=50K
49.03441,Private,123142.484,5th-6th,3.0462487,Married-civ-spouse,Other-service,Husband,White,Male,-5.325091,2599.109,39.83853,Greece,<=50K
31.06468,Self-emp-inc,83463.4,Some-college,10.038728,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,-15.100847,0.43827257,69.93045,South,<=50K
58.4674,Private,120692.19,HS-grad,9.027801,Married-civ-spouse,Sales,Wife,White,Female,0.63255084,0.27981004,40.0867,Greece,<=50K
62.92562,Private,180859.75,11th,7.002357,Married-civ-spouse,Protective-serv,Husband,White,Male,4401.0947,0.40584764,37.08264,United-States,>50K
32.894604,Private,247857.58,Bachelors,13.016163,Married-civ-spouse,Protective-serv,Husband,Black,Male,-3.5376153,0.30468187,40.028015,England,<=50K
29.759443,Private,342051.4,Prof-school,15.000612,Never-married,Prof-specialty,Not-in-family,White,Male,-15.537493,1580.2986,80.10237,United-States,<=50K
34.90615,?,99107.55,Prof-school,15.076873,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,4718.4727,-5.252348,44.339153,Japan,>50K
33.897606,Federal-gov,67477.836,Bachelors,13.0591,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,1356.218,0.28022966,39.770096,Cambodia,<=50K
