model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.658,0.682,0.798,0.819,0.002,0.003,0.002,0.001,74.778,78.454,0.659,0.683,0.798,0.817,0.781,4.1e-05,original,,,,,,
rf,Full-data,0.713,0.695,0.781,0.772,0.004,0.005,0.005,0.006,518.528,18.543,0.711,0.692,0.778,0.769,0.786,3.9e-05,original,,,,,,
svc,Full-data,0.649,0.674,0.796,0.82,0.003,0.003,0.002,0.001,23294.991,921.262,0.648,0.674,0.796,0.821,0.723,0.001709,original,,,,,,
logreg,Full-data,0.654,0.68,0.798,0.821,0.002,0.002,0.001,0.001,49.375,9.408,0.656,0.682,0.799,0.82,0.77,0.0,original,,,,,,
mlp,Full-data,0.654,0.678,0.796,0.817,0.004,0.004,0.002,0.001,304.977,8.221,0.673,0.698,0.807,0.824,0.785,2.3e-05,original,,,,,,
xgb,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,21.68,18.928,0.583,0.501,0.562,0.525,0.613,8e-06,original,10,5,,,,
rf,random,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,15.278,0.307,0.58,0.529,0.612,0.576,0.608,1.4e-05,original,10,5,,,,
svc,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,3.752,0.002,0.564,0.424,0.446,0.427,0.415,3e-06,original,10,5,,,,
logreg,random,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,5.844,0.111,0.605,0.556,0.64,0.608,0.645,2e-06,original,10,5,,,,
mlp,random,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,7.09,0.063,0.603,0.535,0.606,0.57,0.643,5e-05,original,10,5,,,,
xgb,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,8.592,7.817,0.565,0.431,0.457,0.435,0.6,1.2e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
rf,k-means,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,18.926,0.43,0.592,0.474,0.514,0.484,0.642,1.4e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
svc,k-means,0.4,0.28,0.28,0.4,0.122,0.065,0.065,0.122,3.895,0.002,0.545,0.342,0.321,0.344,0.33,4e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
logreg,k-means,0.5,0.48,0.48,0.5,0.274,0.293,0.293,0.274,9.156,0.01,0.605,0.499,0.548,0.515,0.679,0.0,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
mlp,k-means,0.25,0.24,0.24,0.25,0.224,0.224,0.224,0.224,10.532,0.062,0.619,0.496,0.537,0.507,0.704,2.7e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
xgb,k-means,0.75,0.74,0.74,0.75,0.316,0.332,0.332,0.316,8.249,0.673,0.654,0.6,0.681,0.653,0.711,7e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
rf,k-means,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,19.863,0.351,0.669,0.609,0.686,0.658,0.726,2.2e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
svc,k-means,0.45,0.373,0.373,0.45,0.1,0.114,0.114,0.1,7.975,0.002,0.58,0.425,0.44,0.426,0.499,7e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
logreg,k-means,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,9.4,0.124,0.685,0.631,0.71,0.685,0.745,1.2e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
mlp,k-means,0.4,0.367,0.367,0.4,0.2,0.217,0.217,0.2,10.103,0.065,0.688,0.633,0.71,0.685,0.759,6.8e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0031480789184570312
xgb,k-center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,4.686,17.351,0.526,0.465,0.536,0.495,0.529,1.3e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
rf,k-center,0.65,0.64,0.64,0.65,0.339,0.336,0.336,0.339,20.917,0.272,0.492,0.448,0.528,0.486,0.506,6e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
svc,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,3.822,0.002,0.5,0.182,0.081,0.222,0.497,3e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
logreg,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.704,0.007,0.5,0.181,0.08,0.221,0.587,0.0,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
mlp,k-center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,5.125,0.044,0.524,0.379,0.391,0.38,0.567,2.8e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
xgb,k-center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.622,0.625,0.501,0.215,0.133,0.242,0.526,1e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
rf,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,17.433,0.291,0.494,0.292,0.261,0.296,0.512,1.1e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
svc,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.147,0.002,0.5,0.182,0.081,0.222,0.535,7e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
logreg,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.031,0.11,0.5,0.181,0.08,0.221,0.557,2.5e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
mlp,k-center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,7.896,0.151,0.5,0.233,0.163,0.253,0.527,2.9e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002424955368041992
xgb,ag,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,5.149,4.35,0.582,0.468,0.509,0.478,0.605,9e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
rf,ag,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,26.439,0.394,0.582,0.475,0.52,0.488,0.627,1.6e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
svc,ag,0.45,0.34,0.34,0.45,0.1,0.095,0.095,0.1,5.601,0.001,0.65,0.631,0.73,0.717,0.5,3e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
logreg,ag,0.5,0.367,0.367,0.5,0.0,0.067,0.067,0.0,8.52,0.006,0.649,0.611,0.701,0.678,0.718,1e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
mlp,ag,0.35,0.273,0.273,0.35,0.2,0.167,0.167,0.2,8.358,0.075,0.618,0.526,0.583,0.548,0.673,4.5e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
xgb,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,5.59,4.402,0.634,0.605,0.701,0.68,0.701,8e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
rf,ag,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,20.655,0.434,0.657,0.64,0.739,0.727,0.723,1.5e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
svc,ag,0.5,0.447,0.447,0.5,0.274,0.298,0.298,0.274,8.723,0.002,0.658,0.644,0.744,0.734,0.282,7e-06,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
logreg,ag,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,3.595,0.111,0.662,0.627,0.716,0.696,0.723,1e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
mlp,ag,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,15.331,3.944,0.668,0.615,0.695,0.669,0.73,5.6e-05,latent,10,5,482.8932909965515,0,1.2813762382224754e-06,0.002869129180908203
xgb,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.115,0.281,0.466,0.453,0.65,0.682,0.404,1.3e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,19.01,0.326,0.431,0.434,0.581,0.558,0.39,1e-05,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
svc,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,2.987,0.002,0.414,0.419,0.571,0.546,0.313,3e-06,original,10,5,482.8932909965515,0,1.2813762382224754e-06,0.0019631385803222656
