X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
15911.848,1,2,2,27.374218,1,6,4,4,4,3,30453.312,27238.855,21941.535,18865.953,8087.701,18108.277,-366.96262,524.75684,122.56013,-264.88037,910.69025,-1794.686,0
20114.176,1,2,2,24.091896,2,2,3,3,3,3,11591.293,-3432.6614,-1260.2759,-341.102,-1363.3867,2710.4329,520.4891,-1297.5566,241.55818,832.8342,1255.0978,-1322.0771,0
25027.254,2,2,2,23.842402,2,2,7,7,7,7,-5612.379,-2600.7434,-665.0259,888.8746,-3506.5312,3198.0657,-281.9841,-1213.5522,628.26373,1718.2803,-944.6535,-312.84427,0
403696.4,2,2,2,25.36781,2,2,2,2,2,2,311046.2,281207.4,298668.66,307466.44,315037.66,236573.53,8588.009,967.7119,9849.829,145.49416,4037.563,138892.42,0
92022.46,2,1,2,29.495285,2,2,3,3,3,3,10675.0,2777.2527,-1398.7407,2002.7692,3251.2148,5831.8076,39.371372,433.53024,-182.63274,1954.936,1213.2274,-798.2627,0
21822.832,1,2,2,24.720718,2,2,2,2,2,2,-121.99599,-2620.6497,3672.0522,3018.5308,-5681.0625,3789.8977,-318.7053,-1102.5303,1650.0697,1472.7351,-109.1408,-1718.209,0
55808.754,2,3,1,33.360584,2,2,2,4,3,3,11439.871,8237.55,11965.049,9168.184,9380.064,8620.64,-595.15643,3854.9697,-479.19867,-440.06152,344.93195,-927.9287,0
27711.41,1,3,1,59.665806,2,3,2,2,2,2,23395.258,21453.291,25122.875,22550.617,22982.14,16385.777,-1366.4417,2740.9365,-106.697685,1167.3374,421.24884,-620.1216,0
15353.785,1,2,2,26.061905,2,2,2,2,2,3,45320.94,34854.69,32594.521,20795.725,26297.979,19715.725,-808.0656,2648.2737,768.4815,6411.7227,436.43292,-1344.3057,0
16124.379,2,3,1,50.282246,2,2,2,2,2,2,820.5587,-3611.7551,9817.205,9740.754,38.535194,2718.675,-793.3835,-1676.1626,1238.4723,737.78125,-227.17206,-958.2876,0
404505.0,2,2,2,36.040836,0,0,0,0,0,0,109568.03,205660.4,243106.58,191282.83,177064.45,196522.66,120470.15,12711.797,7788.927,11416.718,6715.577,2953.3318,1
361132.03,2,2,1,35.04042,0,-1,-1,-1,-1,-1,116924.72,35288.492,8470.541,38120.633,32132.824,12648.212,27015.855,6415.4595,22723.172,23332.371,8232.643,14855.284,1
373600.1,2,1,1,33.343792,0,-1,-1,-1,-1,-1,99295.9,77182.12,10971.752,40541.754,44074.312,44129.996,72867.57,14669.817,17660.45,36316.59,27819.355,86036.63,1
612854.94,2,1,2,30.530577,0,0,-1,-1,-1,0,25992.0,4994.1235,1234.4194,46483.938,18748.268,179116.86,-9.4806795,18562.066,26670.809,13490.392,108942.48,9174.006,1
451433.25,1,1,1,44.266674,-2,-2,-2,-2,-1,0,41324.406,57223.543,-16001.373,132033.47,281223.2,376978.28,4729.0176,18617.006,20504.562,103627.96,10696.254,11441.54,1
250370.64,2,2,2,25.82067,0,-1,0,0,-1,-1,27601.291,61392.223,69086.09,75195.43,23734.428,31353.354,49277.516,26551.98,11352.118,16331.415,21464.096,10629.737,1
512457.8,1,1,2,38.972496,-1,-1,-1,-1,-1,-1,22568.418,126380.414,15779.055,172333.12,32996.316,57643.277,56910.28,36285.875,147872.58,109468.36,22368.26,38792.074,1
240465.22,2,2,2,35.249092,0,-1,-1,0,0,0,7032.7734,40878.336,4028.646,35870.36,13871.902,6997.8154,28759.012,3012.0073,29935.488,1944.4949,1725.4982,2739.8599,1
300816.56,2,1,1,33.34545,0,-1,0,0,0,0,14064.641,57222.457,803.5991,10225.082,105964.12,15230.472,28099.945,3358.813,5277.14,84389.0,2411.6443,6194.312,1
546011.2,2,1,1,39.815052,0,0,0,-1,0,-2,246012.92,62547.14,334224.3,79839.06,67540.73,126490.984,12176.579,230914.03,64087.03,18031.723,9985.967,-5961.984,1
