X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
229818.64,2,2,2,35.04744,0,0,0,0,0,0,129762.55,94587.83,126622.67,87073.45,124094.664,127379.984,5308.4536,6638.7637,953.37164,5101.0024,5655.698,2230.5847,0
74124.15,2,2,2,32.883804,1,2,2,0,0,0,33049.816,27652.377,-40421.137,12641.273,12158.592,34382.168,5098.976,2324.4917,-1992.5609,1889.5396,3642.2432,1499.356,0
153317.28,2,2,2,35.78663,0,0,0,0,0,2,69626.45,52970.58,12803.631,14301.352,15331.049,18096.723,3712.1047,4477.2964,-832.2089,2793.1646,4481.578,20566.049,0
92041.21,2,2,1,39.918587,0,0,0,0,0,0,51019.906,30404.277,-5984.1704,22053.768,29154.139,55058.324,4526.667,4678.9688,-978.6484,3143.219,3005.434,2614.509,0
176523.31,2,2,2,37.469986,-1,-1,-1,-1,-1,-1,5481.742,-2398.4778,-12581.947,7725.7026,-12760.77,-8691.7,3740.0955,3067.5508,-1168.266,1779.531,3989.4277,3079.272,0
150299.45,2,2,2,34.169502,-1,0,0,0,0,0,24245.803,12401.675,-20266.932,16011.432,12736.615,36157.367,5130.7925,6355.2207,-1102.8514,2816.8357,4398.2676,4999.7275,0
115287.08,2,2,2,34.630463,0,0,0,-2,-1,-1,33822.125,25749.174,-9909.635,8783.195,-12662.281,2854.2805,4078.144,3371.005,-918.8881,2888.8088,4776.9067,2119.0442,0
261160.55,2,2,1,37.12597,-2,-2,-2,-2,-2,-2,12323.953,-12200.5205,-18092.959,12849.266,-13298.367,8655.167,5026.08,3242.5942,-502.53656,4356.0093,5984.596,4801.5493,0
252155.19,2,2,1,32.112194,0,0,0,0,0,0,46650.03,26440.904,-14178.865,30380.16,46441.453,68059.01,9101.91,6481.14,11589.698,6566.8184,7415.1777,8505.26,0
272571.6,2,2,1,37.038834,-1,-1,-1,-1,-1,-1,11049.59,22056.803,-14473.904,10812.896,-1700.7695,14450.173,13956.65,6125.917,963.4688,6016.9463,7570.589,11263.765,0
260493.81,2,2,2,37.601246,0,0,0,0,-1,0,41963.73,25223.25,37640.414,22297.756,100549.08,107756.73,6205.6855,6827.268,835.0816,66994.555,5922.5996,7325.505,0
240125.97,2,2,2,31.02878,0,0,0,0,0,0,39788.74,94457.016,16161.494,37039.633,43044.37,69457.695,58748.023,5630.1504,310.66656,6670.019,8467.572,5163.1475,0
72970.93,1,2,2,32.553856,0,0,0,0,0,0,44689.777,34685.145,-8046.0767,19760.92,19707.832,48151.055,4201.8804,4237.9497,-1200.1805,4043.003,4002.443,3179.1091,0
226277.05,2,2,1,34.068672,1,-2,-2,-2,-2,-2,7050.1875,-19272.186,-31733.783,9522.535,-19017.098,-978.8484,4945.798,2197.6204,-1699.6517,3509.5754,5333.84,1461.4819,0
63374.3,2,2,1,25.042824,-1,0,-2,6,-1,0,11200.559,-109682.125,-128858.61,-15367.8125,-57697.93,80354.664,38304.168,123369.45,86910.29,94394.586,-2672.471,106105.17,0
192383.31,2,2,2,35.036346,-1,-1,0,2,0,-1,5032.2734,-2452.6692,-28440.025,8437.285,-16632.5,-1712.0515,4917.473,2717.006,-1175.3578,1443.1973,4449.1694,1831.4307,0
93042.5,2,2,2,29.284628,0,0,0,0,0,0,48191.312,34995.68,-12082.381,19184.81,22573.977,46831.855,3845.8555,3879.2312,-1209.2723,3139.9292,3539.9375,1804.5691,0
201382.6,2,2,2,33.501534,1,0,0,2,0,0,118586.28,97415.734,65829.15,70845.04,113273.78,109606.89,6075.483,4614.487,-424.2558,3250.6753,5006.2744,1105.6697,0
50237.137,2,2,2,33.522743,0,0,0,2,2,0,24707.047,26527.959,-18222.146,17072.295,14545.197,35354.992,4560.239,4227.535,-1147.4574,2229.0535,3042.168,3062.164,0
