X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
266193.4,2,1,1,58.788544,1,-2,-1,-1,-1,-1,1003.8634,-4011.548,25383.812,12088.51,10085.947,3020.6047,-47.00607,20080.379,-1577.0751,717.88477,846.1812,2172.3687,0
418552.7,2,2,2,31.698935,-2,4,4,3,2,0,352682.22,571975.56,465940.7,382556.62,229370.92,273618.44,11098.604,990.3467,3296.6924,-7086.6284,14156.423,255085.9,1
129212.53,2,1,1,47.324547,-1,-1,3,2,0,0,4180.0586,-1520.8099,-1776.7095,-2012.9183,5588.0,4140.62,1465.367,-2899.4668,1576.6696,-922.3369,524.1976,1793.592,1
667494.5,1,1,1,31.86563,-2,-1,-1,0,0,-1,-21726.832,32781.54,159442.8,261699.19,25439.412,49403.65,88568.16,203461.52,151280.0,-1076.5093,32502.008,305875.62,0
307223.88,1,2,1,34.78433,1,2,2,7,6,-1,355819.2,315834.47,363852.03,319573.0,339973.34,360588.2,17233.953,108667.1,3950.057,-7247.6772,6598.1987,-25571.826,0
626387.5,2,1,1,47.044163,-2,-1,0,0,0,-1,28855.293,326940.94,198904.52,175658.3,97410.41,525536.06,366385.03,1726.5796,-11883.309,4734.0005,173117.73,214546.08,0
428070.38,1,2,2,30.562267,0,0,0,0,0,0,481153.66,528231.75,287641.44,525661.2,391276.84,360046.4,19436.879,19855.186,22152.984,319748.2,18751.275,15645.204,1
504758.94,2,1,2,33.6086,0,0,0,0,-1,0,507821.88,537526.4,395419.66,404062.0,374693.2,354917.03,22628.252,19419.95,16757.137,316385.22,17243.488,2865.6516,0
471317.72,1,1,1,35.50997,2,0,0,-1,0,0,-5430.289,474537.4,154308.66,487739.47,28743.988,94039.95,21677.262,2895.5945,316147.22,8721.855,16476.584,23846.887,1
105048.81,2,2,2,25.470928,1,2,3,4,4,3,45359.8,56714.996,57292.164,55722.34,52387.742,49220.188,3738.463,6411.3867,1627.8549,-2368.207,2001.0858,-660.5239,1
231560.31,1,5,1,30.915424,2,0,0,0,0,-1,213667.11,169521.05,127124.93,130328.45,83735.555,1517.761,11456.346,14943.409,765.7974,-93.61376,24095.248,157399.98,0
204521.44,2,1,2,24.515783,1,2,3,2,3,2,122056.89,150792.84,142053.75,148097.83,149029.36,143863.22,12467.641,-93.79007,10093.464,-2235.2222,1584.3231,7141.0327,1
10627.441,1,2,2,23.606213,-1,5,4,3,2,-1,404.754,14804.78,807.42725,5858.304,18820.318,10384.054,1547.3318,2168.6113,-982.71136,219.8882,1000.325,1367.8862,0
135058.25,2,2,2,25.268904,2,0,0,-1,-1,0,141067.66,138163.67,105596.13,3800.8823,70229.51,85529.336,9039.593,2884.4995,2561.2898,88680.4,4882.942,1586.677,0
43866.746,1,2,1,50.993443,0,0,0,2,2,6,12587.617,11230.815,25388.764,30877.738,33032.21,40745.2,8499.973,12466.91,-2238.0845,10511.58,-1056.6207,8484.407,1
149483.42,2,2,2,34.489918,3,3,4,4,5,-1,108830.69,113496.414,119580.99,113684.195,129768.77,145073.19,6949.2715,11482.379,6846.447,8420.518,12496.386,4475.449,0
23620.91,2,2,1,29.810446,0,0,2,3,3,2,14248.988,21587.676,19318.629,19060.46,26645.14,17982.129,2002.3066,2297.5332,1202.526,308.0874,1316.007,26.883759,0
180268.48,1,1,2,32.184612,1,2,2,2,2,2,167101.69,158738.25,181991.22,357602.84,178979.94,171239.5,2199.297,18437.514,5863.0913,-840.1509,14530.591,8706.496,0
76126.97,2,2,1,32.373062,3,3,4,4,5,6,32392.537,34032.01,46517.293,36099.133,47008.97,44752.14,3143.404,4446.017,1285.556,2878.359,4741.6587,2307.6606,1
82341.17,2,2,1,43.61457,-2,-2,-2,-1,4,3,-1488.2264,608.1549,-1442.1704,3809.1792,3701.9336,6753.206,65.59793,-635.69824,-996.518,-701.95654,226.87238,1566.1133,0
502628.2,1,1,2,44.57243,0,0,0,-1,-1,-1,462259.56,487856.8,-8369.49,-2804.9497,15601.602,6471.2256,22132.299,-3203.663,3566.9717,-4008.5776,12418.439,-13373.677,1
204135.7,1,1,1,44.965008,-1,2,2,-2,-2,-2,2231.8516,-3281.3606,2939.81,-6103.3364,4857.8047,1581.8704,-511.17502,-833.98047,316.16754,-1065.1489,345.09357,-299.8184,1
22958.004,1,2,2,24.934397,1,4,3,2,3,2,11930.699,23377.19,18469.916,17688.252,15862.588,9844.919,1059.5876,-2461.6904,1429.7709,1025.9766,-226.10126,5316.1714,0
203081.23,1,2,2,28.808277,2,0,0,-1,0,0,205560.02,201167.7,-6554.9634,177362.1,163968.1,156632.56,10342.811,4187.928,196185.81,3545.155,7237.059,5631.562,1
76892.016,2,3,0,34.07804,1,2,2,2,2,2,18496.707,17771.758,13548.412,20910.293,14374.631,17533.662,2347.6592,2472.309,1360.9733,607.5386,2341.3477,437.3071,0
239379.52,1,1,1,31.726088,-1,2,-1,2,-1,-1,-20420.762,-11115.567,10653.877,-14938.965,20678.0,6810.343,5997.499,8034.995,-2488.3638,-1368.4629,-581.36884,161055.67,0
333079.6,2,2,2,47.10822,1,2,0,0,0,0,377369.1,342444.94,287443.8,279672.94,285596.16,289042.44,-1349.013,10779.645,10003.626,6051.087,16085.374,10383.016,0
565177.3,1,2,2,30.926922,0,0,-2,-2,-2,-2,324919.7,359957.6,-42384.27,-28928.625,24605.965,-2390.9773,13668.692,8435.213,-1408.9178,-5370.3755,4958.5215,208739.9,0
48999.957,1,2,2,26.634108,-1,2,2,-2,-2,-2,1146.9845,4552.19,3348.6577,-4189.5435,3132.8945,-1164.7664,-670.3879,-518.4878,566.80817,-415.47314,498.61847,-1259.8232,1
169044.69,1,1,1,28.30807,1,2,0,0,0,0,203320.53,170417.34,171797.95,144599.88,230997.84,172283.78,-8545.849,15198.98,694.23883,181782.78,202878.67,5749.7515,0
13026.598,2,2,1,47.55824,1,-2,-2,-2,-2,-2,-695.1327,2698.0261,5318.056,2883.0425,6772.883,-990.3015,-726.01337,-1429.4136,200.65974,-1194.8628,329.2874,-291.36575,1
200968.67,2,6,2,53.725616,2,0,0,0,0,0,390130.47,441570.1,377501.34,403722.97,366392.03,98472.68,9467.798,12771.291,10352.027,2262.3208,99829.02,163353.88,0
43195.48,1,1,2,28.601221,1,2,0,0,0,-1,44329.03,47389.734,38439.77,-1273.0316,-1938.8008,42364.305,297.17703,1399.3447,1106.1173,-584.0381,52120.598,2059.7883,0
72668.23,2,2,1,31.985796,2,2,-1,0,0,0,87922.625,53453.06,65648.016,22414.56,41598.484,37092.203,3564.9712,61469.863,1038.2902,1427.1006,1897.5219,1294.2927,1
383014.5,1,1,2,32.17254,-2,-1,-1,0,-1,-1,-26644.848,10180.679,-36594.23,-2749.7974,22294.625,-63553.316,11731.978,511.21677,-537.68695,-503.9995,-8420.608,273807.78,1
51420.16,1,2,2,24.241049,1,4,3,2,2,0,43971.633,57720.203,51819.777,48342.3,39056.344,44384.617,1401.8127,-1262.8765,1871.7257,66.2295,2954.8813,2771.3787,0
107076.41,1,6,2,52.91461,2,0,0,0,0,0,104633.07,90171.26,100430.414,98777.266,89097.81,94925.164,5465.5435,4579.087,3133.0461,1394.4788,4045.2715,3046.4485,0
522103.72,1,1,1,45.21704,1,1,0,0,0,0,12335.215,-22948.17,193267.9,174409.31,161711.34,150637.69,5717.2515,162760.58,343.47516,4273.1133,14537.072,98095.9,0
652287.8,2,1,2,33.329514,0,2,0,0,0,0,377652.75,555992.06,419906.06,468900.7,390715.97,379682.25,34617.133,16837.322,22807.535,14153.969,37183.895,237631.28,0
46160.176,1,2,2,26.72849,1,5,4,8,7,6,40040.09,46310.996,76739.83,50714.49,48537.895,52811.875,2127.5437,13203.391,-1232.0067,-831.65967,824.3643,-1147.313,0
421858.38,1,1,1,37.45854,1,2,0,0,0,0,431169.5,395566.0,375686.47,378590.5,368323.9,391702.56,1662.0215,12205.911,16634.43,8298.13,21406.885,14737.555,1
199312.77,2,1,2,30.650469,-1,-1,2,2,2,2,169657.31,179302.19,74681.39,91301.12,58609.887,37266.887,13496.916,-2384.4307,32654.63,-659.47754,4988.1,1719.3918,1
259860.89,1,1,1,55.26573,1,4,3,2,2,2,94792.69,104952.53,86432.2,106433.74,82358.09,99068.63,2556.7822,-2524.834,3689.3018,2180.9053,4051.121,5602.973,1
20689.8,2,3,1,45.65851,-1,0,0,0,-1,-1,9280.367,-1771.0717,5013.4624,-1960.5082,8613.441,394.25708,1155.5061,-1109.7861,-184.16936,-948.23145,1200.0365,-1032.2051,0
265948.0,2,2,1,25.783192,1,2,0,0,0,0,229905.06,223365.08,242121.39,182510.84,23466.025,4342.37,-921.2165,16946.975,9102.345,-1319.2188,3652.3174,1632.5083,1
130321.586,1,1,2,25.347084,1,-1,2,2,-1,-1,-4030.457,11680.526,5920.904,5125.695,7277.0195,-2606.985,6199.2373,-694.04834,352.7364,4827.093,3272.6497,3218.772,0
444928.8,2,2,1,45.428318,-1,-1,-1,3,2,2,12073.48,-1251.7592,142.54837,6914.2925,5660.5273,12429.485,174.8909,-842.9712,1601.2621,-1160.3359,9234.348,2679.4404,1
286074.62,1,2,2,40.898087,1,-1,-1,2,2,-2,-4598.8945,3991.4792,8559.756,13452.57,-164.23824,-1617.7156,81.786896,1096.3169,-1262.3534,-2320.604,-587.11395,1762.3259,0
356108.66,1,2,1,50.720966,1,3,2,0,0,0,4042.5664,3563.8972,11125.283,12953.652,2212.582,1531.5305,-689.8532,304.85056,-1230.1122,-853.70654,-2251.1248,2424.9375,1
499228.28,1,1,1,43.178223,2,-1,-1,-2,-1,-1,6030.746,5961.3774,6559.404,6739.351,3463.1719,1323.1165,3222.9058,-1271.8687,-200.11662,1635.9346,2848.1162,1625.8936,1
467399.47,1,1,2,49.82734,-2,-2,-2,-2,-2,-2,450461.88,412344.06,298997.56,293505.97,150086.44,103418.24,-903.08466,8698.282,10516.8125,504.13965,7464.6934,860.2241,1
14742.988,1,3,1,48.853146,1,5,4,5,4,3,15469.824,18710.398,24269.012,20152.477,25632.006,18640.29,1324.4587,4489.087,-1994.4003,-587.4429,599.74347,688.813,0
