X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
250925.56,2,1,1,39.597122,-2,-2,-2,-2,-2,-2,5872.211,5017.436,7990.021,6136.277,7618.9766,7104.2217,3608.8354,6938.752,3666.495,4513.222,2209.9272,1100.4602,0
57170.49,2,3,2,37.543037,0,0,0,0,0,0,36211.074,34852.613,30982.031,28590.133,21544.635,20865.842,2632.336,4919.7363,2206.4976,2271.0464,1243.2255,998.61816,0
223089.78,2,1,1,39.022415,-1,-1,-1,-1,-1,-2,1869.7228,3152.319,7345.935,4411.7144,11737.182,3887.2415,3349.074,5280.341,1512.8431,2687.1365,709.346,1460.3174,0
254606.05,2,2,1,38.91873,0,0,0,0,0,0,214173.19,216178.77,204119.17,199467.31,182097.56,159911.81,9775.609,12554.753,9835.213,8431.342,8424.821,6721.5767,0
155942.42,2,2,1,36.19218,1,-2,-2,-2,-2,-2,133.95323,7812.9204,5896.4546,7945.5464,4837.8438,2532.5813,-130.405,-575.70996,513.43805,-27.982412,1324.9183,-713.1045,0
140832.39,2,1,1,37.821774,0,0,0,0,0,0,57891.105,60550.152,56992.453,56095.91,53186.16,46552.438,7444.966,5279.1523,3637.8723,2643.0127,2013.3788,3015.666,0
70732.46,2,2,1,38.728825,1,2,2,0,0,0,34048.89,31831.604,23254.877,27628.553,25292.94,22590.64,2487.761,2814.86,1126.0016,1851.042,1420.7316,1956.719,0
100525.15,2,2,2,31.836435,0,0,0,0,-1,0,34706.7,36102.59,18182.854,12941.549,5655.3125,5791.4834,3685.0818,4161.1587,1537.6144,2805.379,616.75616,691.59033,0
223979.75,2,2,1,36.918575,0,0,0,0,0,0,64035.707,67872.12,55649.566,61121.48,55033.12,52493.438,6895.996,6786.742,3303.829,4772.9,2262.5017,3117.2136,0
116938.83,2,2,2,31.631481,-1,-1,-1,-1,0,0,3581.0977,9228.444,4724.5522,13343.654,13131.742,10074.216,3219.1753,10292.366,7962.938,2319.7283,926.11456,1581.5681,0
117160.8,2,1,2,31.102453,1,-1,-1,0,0,0,6091.2734,13372.257,5816.021,19195.969,11324.547,10804.601,6113.54,12300.692,5115.4614,3037.361,859.857,1484.7065,0
70041.07,2,2,2,32.545067,0,0,0,2,2,2,35137.043,42550.57,35691.72,42246.848,29237.43,31876.164,4592.783,6172.1387,1018.20514,749.8037,1121.8956,1640.6267,0
37875.613,2,2,2,29.518145,0,0,0,0,0,0,17432.379,22158.814,11955.1,19949.113,11372.734,9443.155,2601.397,2955.164,2011.485,1316.6577,1057.3148,1048.0703,0
88605.78,2,2,1,37.96364,0,0,0,0,0,0,63880.56,62971.97,59166.516,54178.008,48978.383,40442.957,4251.2036,3747.0405,2373.4263,1677.7029,1973.5397,1754.6145,0
171093.02,2,1,2,31.638365,-1,-1,-1,-1,-1,-1,2918.211,7621.7056,5432.689,2928.687,8917.219,4558.468,4413.197,6736.915,3585.1865,4514.201,2787.0508,2103.4875,0
69355.27,2,2,2,30.424726,0,0,0,0,0,0,40938.254,50968.016,42140.65,37060.02,27952.145,28354.783,3777.0142,5423.1885,2142.0173,1832.5264,1263.9835,1529.405,0
80193.34,2,1,2,29.569866,0,0,0,2,2,2,34357.883,38444.89,36875.906,38087.44,29506.467,31507.184,5646.9453,4512.4106,1749.9296,1687.0203,1387.6571,1883.7766,0
63796.7,2,2,1,39.434464,-1,-1,-1,-1,-1,-1,1383.465,5541.483,3708.0562,4928.597,12254.961,2067.3625,3500.3152,4363.3467,1402.2301,2044.936,1874.819,874.58105,0
169441.12,2,1,2,30.35589,1,-1,-1,-1,-1,-1,2995.3281,12225.14,7463.681,10875.461,8495.672,3624.8352,3991.6987,11756.032,2919.476,1588.5215,1252.484,1155.2004,0
255137.97,2,1,2,31.728325,0,0,0,0,0,0,187391.69,193639.27,184271.9,178650.75,167148.22,157918.52,10565.596,10927.962,9657.511,9375.011,9194.791,7630.273,0
55200.137,2,3,1,42.73111,0,0,0,0,0,0,32154.238,30453.2,23666.246,26054.926,19788.133,17319.41,2815.6284,4525.197,1157.5951,1420.1797,1608.3192,775.01953,0
248864.34,2,2,2,33.541473,0,0,0,0,0,0,208100.44,212644.97,200735.56,191267.17,183559.03,161871.97,9313.235,11129.199,8599.489,8257.481,9989.802,7437.588,0
173352.42,2,1,2,30.648842,0,0,0,0,-1,-1,39101.195,31925.13,7565.0405,14072.521,9583.898,7566.0557,5355.3506,8856.888,3652.9565,4852.135,1730.7916,1951.2625,0
148553.56,2,2,1,36.727203,-1,0,0,0,0,0,97959.5,86578.17,87449.1,73913.625,67542.96,65641.97,7710.7803,10286.06,4354.4785,2830.7747,4225.5107,3443.8394,0
169345.92,2,3,1,43.745644,-1,-1,-1,-1,-1,-1,5559.301,3491.3894,9786.65,5852.2065,10269.3125,4850.288,2769.4497,3296.6448,574.4327,2767.7,2382.1565,313.41013,0
235994.88,2,3,1,34.02563,0,0,0,0,0,0,52730.73,214257.69,143036.7,165906.64,140196.14,138517.08,168447.25,18344.58,5674.443,14252.345,5291.758,8226.669,0
347172.2,2,2,1,37.235893,0,0,0,0,0,0,323224.7,329901.44,300574.47,320779.72,298675.0,294249.28,11554.699,19692.586,15705.858,10378.87,12812.264,11782.412,0
73144.664,2,1,2,27.771925,0,0,0,0,0,0,18923.547,22450.152,15191.83,19386.066,15621.754,11400.819,3397.2378,3384.391,2440.3494,1327.8838,1438.2552,1593.7463,0
176111.64,2,1,1,34.047543,-1,-1,-2,-2,-2,-2,8623.445,5576.311,211.63821,-267.76215,8611.982,1429.2336,301.81473,-1362.8696,1561.901,-1828.2373,1295.6144,1040.023,0
122324.1,2,3,2,33.46333,0,0,-2,-2,-2,-2,39508.05,8433.077,2691.6304,6565.6636,7829.383,2256.7727,614.80646,-478.4351,553.21246,-424.30664,745.1187,-636.23975,0
217421.3,2,1,1,38.275753,1,-1,-1,-1,-2,0,11885.344,9589.144,7082.099,15851.098,14619.734,4704.948,4022.8271,9887.304,5545.0767,2861.1975,1319.6417,1021.7534,0
74387.38,2,2,2,29.991327,-2,-2,-2,-2,-2,-2,3879.7305,8825.272,6060.779,2934.7183,3783.418,1452.6594,805.60284,146.00583,2145.3748,1873.6135,1537.7894,-385.9302,0
79009.516,2,2,2,31.234425,-1,-1,-1,-1,-1,-1,866.96497,8111.6353,4226.146,2539.1128,6978.0547,740.24146,2143.029,2374.486,1691.3629,1937.0232,2093.3413,431.0908,0
279940.7,2,1,1,34.487568,-2,-1,-1,-1,0,0,50806.004,20153.145,2032.8687,246064.56,187432.12,176333.33,8480.498,24949.57,191870.55,12643.189,12026.349,9328.838,0
258769.2,2,2,1,39.91743,-1,-1,-1,-1,-1,-1,21375.63,12593.065,19051.1,24939.568,26681.305,20155.975,14112.706,24363.1,11285.895,16204.436,11344.1455,12385.539,0
233695.4,2,2,1,35.50801,0,0,0,0,0,0,34272.953,23247.756,14346.053,26948.98,15169.047,18222.672,3547.9988,4315.932,3643.004,2436.9734,1202.5599,1341.0586,0
298878.56,2,1,1,40.749336,-1,-1,-1,-1,-2,-1,32767.926,11633.421,63339.336,33925.273,28825.055,22118.646,19975.656,49104.836,13671.66,12963.043,8233.858,3164.4429,0
207839.73,2,1,2,31.941292,-2,-2,-2,-2,-2,-2,4849.7383,7726.233,6983.3374,2900.6714,1958.4531,4534.991,2998.2925,5612.1533,2855.5068,2218.8594,1460.4972,1696.4448,0
213112.83,2,1,1,39.893772,0,0,0,0,0,0,135960.64,122668.19,112040.99,103047.92,85920.54,84577.42,8665.379,7938.547,5232.3535,6081.3833,3591.636,4805.8135,0
148916.39,2,2,1,37.02071,-1,-1,-2,-1,-2,0,12292.055,9361.331,5494.1577,11216.744,16248.377,11874.333,1354.8606,998.20557,4827.184,4981.9385,1667.287,826.0547,0
130198.33,2,2,2,34.33367,1,-1,-1,-1,-2,-2,2235.1719,10467.679,9075.467,14443.32,6921.832,-179.15309,2053.945,9978.786,902.7818,-413.41162,-351.29755,-318.44778,0
222715.53,2,1,1,38.57801,-1,-1,-1,-1,0,0,3553.5508,5025.1743,4079.5288,14105.6875,17262.443,10712.046,4925.688,13556.294,7898.2993,2486.4924,1380.6593,2106.2896,0
279479.56,2,1,2,31.114763,0,0,0,0,0,0,41005.363,40619.746,26422.95,34763.22,24302.678,29003.574,6780.461,8352.907,4192.372,4334.8076,1646.4484,4304.8594,0
110458.4,2,2,1,34.677654,-1,-1,0,0,0,0,13650.555,27369.316,16299.348,26082.828,16324.617,17615.637,13917.819,6724.1387,3527.348,2575.0784,1473.6183,2377.808,0
150109.08,2,2,1,37.761383,-1,-1,-1,-1,0,0,805.629,6912.397,6944.517,15835.488,17850.035,12314.866,3646.4966,15141.687,6545.904,2099.5083,949.53204,1371.4512,0
131045.23,2,1,2,31.842772,0,0,0,-2,-2,-2,61325.207,46728.223,1920.8218,5336.734,7299.785,975.18677,4819.6626,-865.0737,520.1812,-920.9453,-73.40447,2006.2021,0
290581.88,2,2,1,40.658405,-2,-2,-2,-2,-2,-2,22704.943,11980.296,13231.111,15893.758,12574.73,15353.083,7235.7563,12798.404,6753.1,12808.931,7446.2056,7657.3716,0
47364.004,2,2,1,36.170013,0,0,0,0,0,0,25667.146,28853.793,17629.672,24547.99,19021.783,16001.112,2883.2744,3059.1614,1771.326,784.78125,1287.6451,1404.5078,0
184617.88,2,1,2,31.47093,0,0,0,0,0,0,130263.65,124394.14,110349.805,101518.46,92538.54,88043.27,8245.506,6831.662,6006.5557,3911.8228,3541.9045,5613.545,0
210452.19,2,2,1,37.951656,-1,-1,-1,-1,-1,-1,6159.504,6709.807,6089.2983,8052.273,10518.184,3886.1594,2894.3958,3385.3743,1436.7694,1702.522,2215.3691,1816.7366,0
281200.25,2,1,2,32.557987,-1,0,0,0,0,0,31539.838,21945.988,16201.053,25630.549,20551.664,23616.834,10756.091,13294.786,3829.9268,5386.8096,4149.9136,4831.9883,0
186002.75,2,1,2,34.400032,-2,-1,-1,0,0,0,32688.504,11025.929,77005.48,70116.92,73172.7,49558.516,11074.75,60566.39,10741.529,10382.613,4560.0845,5215.429,0
82487.516,2,2,2,32.297913,-1,0,0,0,0,0,24118.043,26595.615,19871.396,23175.5,20571.367,18422.97,3312.2393,3781.2827,1872.5966,421.3994,1532.3365,1996.209,0
159147.75,2,2,1,33.685997,1,2,2,2,0,0,146432.67,142780.31,139753.14,129647.69,126656.8,129879.35,4776.836,9768.417,3090.6626,5073.3486,4571.679,5039.3286,0
107592.1,2,1,2,29.736069,0,0,0,0,0,0,53560.17,62360.55,58458.56,52880.594,47728.33,41048.35,5275.9966,4416.273,3082.6318,2334.9473,1755.559,2474.8308,0
192892.1,2,1,2,31.19533,-1,-1,-1,-1,0,0,2327.2773,10309.022,3149.2085,13513.393,13123.914,9844.317,6157.666,11160.692,10036.483,2620.6235,1967.7284,3009.1997,0
185508.22,2,1,1,35.161385,-1,-1,-1,-2,-2,-2,5393.2188,10141.976,3057.767,4033.4487,6037.629,3514.597,3631.3774,716.0762,557.2115,769.61426,573.86456,116.14499,0
