model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.658,0.682,0.798,0.819,0.002,0.003,0.002,0.001,75.65,73.504,0.659,0.683,0.798,0.817,0.781,2.3e-05,original,,,,,,
rf,Full-data,0.711,0.701,0.789,0.784,0.004,0.003,0.003,0.003,418.102,10.96,0.713,0.702,0.789,0.784,0.795,2.3e-05,original,,,,,,
svc,Full-data,0.649,0.674,0.796,0.82,0.003,0.003,0.002,0.001,23423.652,928.909,0.648,0.674,0.796,0.821,0.723,0.001437,original,,,,,,
logreg,Full-data,0.654,0.68,0.798,0.821,0.002,0.002,0.001,0.001,49.701,10.808,0.656,0.682,0.799,0.82,0.77,0.0,original,,,,,,
mlp,Full-data,0.653,0.675,0.793,0.813,0.002,0.002,0.001,0.001,298.745,712.153,0.646,0.671,0.793,0.817,0.78,2e-05,original,,,,,,
xgb,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,18.285,0.76,0.583,0.501,0.562,0.525,0.613,9e-06,original,10,5,,,,
rf,random,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,21.642,0.267,0.575,0.515,0.591,0.553,0.605,1e-05,original,10,5,,,,
svc,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,8.208,0.001,0.564,0.424,0.446,0.427,0.454,3e-06,original,10,5,,,,
logreg,random,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,6.486,0.032,0.605,0.556,0.64,0.608,0.645,0.0,original,10,5,,,,
mlp,random,0.5,0.46,0.46,0.5,0.274,0.275,0.275,0.274,6.017,0.041,0.61,0.554,0.635,0.601,0.647,2.6e-05,original,10,5,,,,
xgb,k-means,0.8,0.767,0.767,0.8,0.245,0.291,0.291,0.245,4.021,1.61,0.564,0.425,0.447,0.427,0.586,7e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
