X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
72916.305,1,2,2,30.666124,0,0,0,0,0,0,66724.8,48856.62,38740.87,42650.69,37094.688,61103.98,2783.8154,3240.3726,2625.7703,2892.457,7781.626,2431.7207,0
188603.75,2,2,2,35.312004,-1,-1,-1,-1,-1,-1,396.8712,14378.358,3905.896,7140.7847,5502.203,1911.1204,1915.8572,4630.293,1823.4469,2060.35,3087.5361,4298.643,0
168884.69,2,2,2,32.59579,0,0,0,0,0,0,125008.67,109192.27,89183.12,64314.81,57394.504,86973.42,3597.9778,1539.541,3091.2737,3300.375,6699.624,3828.8486,0
45392.605,2,2,2,26.441483,-1,-2,-2,-2,-2,-2,1872.3048,-353.0912,6109.736,1942.5934,8558.025,-2711.86,3495.6887,1048.937,843.07184,569.7676,3182.3374,1907.487,0
346359.62,2,1,1,41.827152,0,0,0,0,0,0,250444.3,226271.81,199161.92,187883.33,217035.64,172150.31,15710.247,5747.924,9476.689,7965.792,7422.143,6885.574,0
63983.715,2,2,2,28.323519,0,0,0,-1,-2,-2,13698.875,12896.593,7442.5483,2896.019,6346.1914,-323.61792,3244.2412,5037.9087,1948.285,902.3071,57.62092,2977.6946,0
57221.707,2,1,2,23.511553,0,0,0,0,0,0,21679.707,16632.58,13595.002,18164.908,12954.59,11980.694,2760.3345,3328.5852,2723.784,1931.8218,3462.1658,2774.0757,0
55638.94,1,3,1,44.529743,0,0,0,0,0,0,36787.613,30027.955,19774.533,35405.16,18846.771,25766.8,2693.5354,4500.1084,2505.9038,2596.4634,3445.6763,2088.2192,0
307277.4,2,2,1,36.286125,-1,2,-1,0,0,0,24186.963,2128.1863,165542.78,160975.94,115132.97,123219.164,750.2889,64992.49,4827.124,5063.6143,11014.884,9320.213,0
291521.6,2,1,2,35.059814,-2,-2,-2,-2,-2,-2,2545.0352,36761.55,16389.543,9898.996,11878.492,6835.2725,28873.662,9491.655,13713.393,9735.147,11073.253,6333.1777,0
248501.89,2,1,1,41.1904,-2,-2,-2,-2,-2,-2,4378.91,8003.0923,6335.6265,-564.7934,7561.6953,856.24927,2913.347,3071.8533,3595.2268,1298.9875,3418.648,2134.4915,0
56115.91,2,2,1,26.216944,0,0,0,0,0,0,27489.117,23338.969,17919.572,31760.95,13760.84,12199.491,3160.2598,3138.0923,2704.0989,2146.6672,2406.4722,2359.4963,0
243103.02,2,1,1,41.226864,-1,-1,-1,-1,-1,-1,2234.1562,20568.111,6305.224,6949.3706,6003.7734,1125.4407,818.9012,5953.1353,2656.1895,1346.031,3137.4219,4848.0205,0
38978.27,1,2,2,23.75267,0,0,0,0,0,0,25378.238,21783.18,8315.881,28940.754,14459.391,13819.735,2588.9863,4285.2686,2558.0984,2630.8315,3249.7373,1533.7244,0
56784.598,2,3,1,44.731915,0,0,0,0,0,0,27693.275,25338.078,16328.588,27945.0,12889.393,13069.177,2868.053,3870.781,2573.7903,2929.6604,2000.3236,2436.715,0
57365.566,2,1,2,28.595694,-1,-1,-1,-1,-1,-1,-3380.129,6978.311,6018.9976,237.47614,3342.961,-6652.6455,2277.1113,4690.1704,1729.6063,1354.2695,1008.566,5045.688,0
161875.6,1,2,1,40.067066,-1,-1,-1,-1,-1,-1,4427.121,20670.547,2340.7007,17114.877,11372.891,8857.038,1052.3655,6332.425,1919.9579,1837.8962,2289.7283,3359.0117,0
170507.56,1,2,1,41.254364,0,0,0,0,0,0,124364.43,95282.69,89640.56,80767.64,60930.727,91285.31,2677.816,2736.8306,3682.0164,3229.4783,6844.9463,3459.2612,0
204976.5,2,2,2,33.036068,0,0,0,0,0,0,188743.55,177100.56,146575.14,154334.08,122668.11,139800.84,4915.677,2402.3774,7795.414,5353.234,6738.251,4896.194,0
238970.31,2,1,1,39.48727,0,0,0,0,0,0,34831.914,29970.14,17057.691,30969.73,15475.77,13543.839,2845.1882,4094.2036,4364.7485,1556.2922,7330.115,3130.0913,0
195506.66,1,2,1,41.736973,-1,-1,-1,2,0,0,13568.711,11016.194,7871.9585,31119.14,13791.99,6519.075,2698.9836,4041.2107,6929.8794,1265.2708,7659.9546,3406.778,0
225155.73,1,1,2,34.153465,-1,-1,-1,-1,-1,-1,7403.9688,19464.65,994.0249,10806.754,8760.23,8621.782,1352.7004,5390.5566,3301.3345,2045.5046,4254.5337,3992.492,0
270144.06,1,2,1,38.649853,0,0,0,0,0,0,41435.082,30376.346,15812.193,42200.777,21339.729,29219.648,2721.6016,4490.716,4352.714,1970.1316,8458.568,1798.5615,0
328025.75,1,2,2,35.151196,0,0,0,0,0,0,251532.56,224071.92,187433.44,188794.7,218417.55,177242.25,10878.191,6370.0293,11393.102,9618.735,7505.4214,5135.6265,0
51573.12,2,2,2,26.809326,0,0,0,0,0,0,20829.875,18479.02,11630.139,23886.797,11391.348,9379.866,3234.3867,3394.484,2519.0066,2934.167,3691.8975,2173.0405,0
