X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
365138.88,1,1,2,37.98905,-1,-1,2,-1,-1,2,21313.078,7354.475,-2579.5337,12044.197,20989.164,10422.335,2487.2012,631.70264,12752.72,-387.98975,2496.2078,-4216.1665,1
348380.1,2,1,2,24.73005,1,-1,2,2,2,2,11249.121,4087.1042,-2755.2485,-5566.8286,12844.996,10931.483,2010.3132,-6772.6484,-1737.2792,-1610.023,755.3416,-2127.331,0
460506.38,2,2,1,34.444145,2,0,0,0,0,7,211365.3,199962.7,317628.44,253083.73,370499.78,146792.97,53253.39,9662.245,117095.34,4331.1177,2324.838,42200.332,1
424869.66,2,1,1,52.489674,0,0,0,-1,0,7,177542.14,200618.39,351270.53,221155.28,369117.72,186742.61,53798.38,32095.861,137886.55,53145.383,11894.458,51747.973,0
284868.44,1,2,1,40.810043,2,-1,2,2,0,0,226619.64,223998.6,181224.66,206358.11,256163.61,198575.48,3471.8823,-1584.5776,-759.3515,3055.9941,12766.869,932.05566,1
347693.38,2,1,1,28.486935,0,2,2,-2,-1,-1,238912.05,258339.47,245698.1,199350.5,421788.7,179554.6,89938.74,16795.186,137195.23,84340.06,12317.927,33864.844,0
422913.5,1,2,2,40.19445,1,2,0,0,0,0,248891.58,236376.3,252618.38,233414.52,361673.34,202907.11,4959.9395,-622.3247,13923.472,12249.586,12361.907,4753.3354,1
54695.3,1,2,1,32.834644,2,0,0,-2,-2,-2,78907.03,80732.984,6751.646,2420.3667,9715.375,-256.8601,1560.5916,4594.36,1552.0948,-64.12304,-4287.0244,2105.893,1
272012.62,2,1,1,36.425583,-1,0,0,-1,0,-1,211420.05,227708.27,221812.88,235088.77,155779.67,138425.73,52120.07,19129.297,146373.05,53896.074,5603.443,6609.343,1
83149.4,2,3,1,36.294373,2,0,0,2,0,0,91181.87,104469.1,121362.64,125101.95,82912.266,148290.48,1484.7122,13107.194,-2571.317,-273.27246,6829.298,6002.226,1
242536.97,1,1,1,43.823166,1,0,2,2,2,-1,280376.56,237988.7,265938.34,220645.42,405240.2,194621.22,52264.88,-14802.011,16378.957,4039.4941,15463.652,21625.52,1
414698.0,2,2,0,32.287453,1,0,0,0,0,0,265125.44,242594.11,306000.94,241822.08,437422.16,217586.31,68880.61,-7775.1025,41994.953,20609.809,15231.381,-2419.2476,0
121742.14,2,3,2,56.097965,2,0,0,0,0,0,192283.19,178945.28,126235.164,112345.07,53306.023,80157.16,1584.3503,3144.0205,-549.93744,1369.4797,3075.55,4700.152,0
324264.47,2,1,1,39.348896,-1,2,-1,-1,-1,-1,-8784.633,-36087.652,101280.57,229287.45,3736.6133,-10695.438,42591.05,18881.402,143925.89,13001.252,-2229.8562,17847.393,0
23449.879,2,2,2,21.078644,2,2,0,0,2,2,22675.283,15047.308,14962.209,19578.615,27017.896,24596.854,2342.3596,951.7217,2035.4188,48.151863,5675.986,339.98532,0
255446.52,1,2,1,32.08633,1,2,2,0,0,2,227392.81,199265.39,153147.9,39903.066,53867.54,17665.16,10414.753,-10332.689,512.5562,2657.3103,7092.4805,39187.31,0
208062.25,1,1,2,34.25849,2,0,0,-1,0,0,263990.28,245878.05,11971.268,179648.72,334964.7,183815.44,17674.703,10044.83,123592.53,5273.442,-227.70282,6573.637,1
52672.176,1,3,2,52.81955,-1,-1,2,0,0,-1,17021.922,-5816.478,6195.4663,14979.984,16044.002,-559.9343,3982.7114,-1021.38916,1708.1307,2262.733,7965.7847,1058.9058,0
206750.88,1,2,1,39.694527,0,0,3,2,2,2,168720.67,212285.47,157149.11,182790.69,197901.03,191158.27,36116.31,-2511.079,-804.6396,7437.423,6164.9365,973.41895,1
56151.16,1,2,1,35.54637,1,2,0,0,0,-1,37130.426,35725.387,40153.855,27753.998,8272.691,20529.713,3340.2175,197.5693,1607.7731,1301.5,25195.701,2904.5037,1
