X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
126482.836,2,2,1,40.94661,0,0,0,0,0,0,39390.91,39137.65,54486.055,29804.57,21022.387,13153.329,790.20734,3957.0542,4517.9316,-21.66796,4467.2,-3482.0483,0
121628.53,2,2,1,32.75856,0,0,0,0,0,-2,19607.209,38932.637,46962.54,6776.1206,19945.799,35851.08,1492.2468,4792.82,4801.199,422.82812,3556.692,-3763.6733,0
138720.12,2,6,1,31.988922,0,0,0,0,0,0,83635.52,89259.21,91585.41,108915.36,53400.4,2296.2922,-2145.677,5692.076,3976.5586,773.8367,7645.4775,-5660.6714,0
136227.67,2,6,1,32.752743,0,0,0,0,0,0,62819.277,51108.73,75069.125,84875.31,37211.61,10030.7705,-2445.2952,5223.778,5676.104,-179.89256,6124.876,-5028.5854,0
125040.47,1,3,1,38.894802,0,0,0,0,0,0,40006.31,42747.26,57939.37,29833.469,20813.031,17826.684,-1139.8401,4077.0417,3829.397,-803.69824,4983.3843,-4834.636,0
140045.8,2,1,1,33.547283,0,2,-2,2,2,-1,81108.54,68841.09,87395.37,110688.21,45646.64,3677.4875,-4048.9495,4900.1577,2985.153,-1462.9761,5866.2417,-5752.197,0
203826.9,2,1,1,35.804302,0,0,0,0,8,0,73085.336,61964.277,69580.195,25632.201,50739.766,7923.659,-3554.4084,5686.2275,4185.643,13187.091,8851.452,-4013.5444,0
272167.56,1,1,1,36.409405,0,0,0,0,0,0,81793.72,84595.46,89623.44,102820.914,49075.367,6428.745,-1733.7693,5338.347,4208.432,1078.5674,7572.883,-5858.973,0
259011.25,1,6,1,38.425907,0,0,0,0,-1,-1,-984.2616,27276.053,36154.06,10824.102,19882.266,24250.059,5226.0835,3439.9585,5479.8315,1643.9998,4425.0737,-4490.807,0
121655.63,2,6,2,29.888947,0,0,0,0,-1,-1,-2801.4766,29596.154,38088.066,10896.385,19150.887,24261.145,4421.254,3316.3418,5816.0244,1325.3499,4605.5957,-4684.943,0
137945.86,2,3,1,37.78776,0,0,0,0,0,0,81725.57,82116.7,91828.414,110468.5,47940.656,4719.4014,-2471.5344,5308.8457,3684.5083,83.373055,7437.4883,-6590.526,0
126027.58,2,2,2,30.533693,0,2,0,0,0,0,32687.902,37669.344,54593.727,34037.5,20962.182,14806.167,-1263.3069,3341.2678,3586.362,-620.8213,4706.759,-4162.977,0
127329.375,2,1,1,39.26354,0,0,0,0,0,0,35946.887,44977.57,59433.5,25848.473,21849.348,16711.531,129.31961,4887.6177,4771.3257,615.499,4916.424,-3730.4624,0
127813.78,2,6,1,40.51185,0,2,0,0,-1,-1,723.6251,27791.348,36558.395,10180.035,19932.867,20156.111,6319.6504,3949.255,6519.3643,3094.7063,6190.2007,-4784.6997,0
126317.0,2,2,1,36.898766,0,2,0,0,0,-1,1405.629,29575.744,43809.848,17927.945,20358.38,19501.422,2492.8298,4032.9875,5531.7646,-150.97313,4319.8296,-3588.2837,0
265888.06,2,1,2,32.32939,-2,-2,-2,0,0,-2,-4079.9688,30205.523,45477.617,13722.818,21198.21,31096.916,1217.8059,4672.686,4539.3286,740.38306,4320.7197,-4461.098,0
265405.47,2,6,2,31.367392,0,0,0,0,0,-1,25734.588,41379.78,53518.723,22304.531,22002.164,17227.775,1908.645,4596.5347,5546.3296,1777.3225,6468.5547,-4574.0923,0
121510.82,2,3,1,41.655487,0,0,0,0,-1,-1,1333.7267,29699.963,37982.918,14736.715,19312.885,22595.604,3959.3467,2921.8936,5487.528,926.5867,4519.3696,-4322.8306,0
263514.5,2,6,1,36.07994,0,2,0,0,0,-1,-3562.9688,28372.982,42211.383,9193.734,20867.51,23720.96,4483.0024,4715.9404,5823.554,640.7959,4149.2383,-4109.6333,0
125325.36,2,3,1,39.754227,0,2,0,0,0,-1,14692.191,33327.945,50434.023,25399.383,20335.021,18830.13,464.84793,3783.1785,4080.349,-1019.20557,4073.683,-3858.481,0
258727.58,2,6,1,40.025784,0,2,0,0,-1,-1,1412.1837,25821.084,34650.79,8980.18,20540.086,20697.775,7567.113,3692.859,6681.5063,3051.2,4527.881,-4564.347,0
127010.625,1,6,1,34.084732,-2,-2,-2,0,0,6,-802.7499,30282.822,46772.51,14536.352,20886.574,31976.875,-35.112514,4478.0146,4074.3687,240.22804,4254.3574,-4248.3013,0
125637.59,2,3,1,38.150787,0,0,0,0,2,-1,34150.203,37401.387,55829.55,31339.863,20463.498,15255.456,-1246.9705,3738.427,3680.359,-1979.042,4443.876,-4603.0327,0
