model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,29.064,31.997,0.769,0.795,0.898,0.903,0.93,4.1e-05,original,,,,,,
rf,Full-data,0.852,0.783,0.873,0.862,0.008,0.006,0.004,0.005,173.474,4.188,0.86,0.792,0.879,0.869,0.919,6.6e-05,original,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,1369.129,53.238,0.771,0.795,0.897,0.902,0.884,0.000424,original,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,33.102,9.705,0.702,0.746,0.88,0.894,0.902,1e-06,original,,,,,,
mlp,Full-data,0.761,0.781,0.89,0.894,0.014,0.011,0.006,0.005,160.409,339.531,0.776,0.786,0.89,0.892,0.909,7.5e-05,original,,,,,,
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,24.261,17.351,0.755,0.679,0.802,0.778,0.824,3.3e-05,original,10,5,,,,
rf,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,22.626,0.335,0.719,0.636,0.766,0.734,0.806,1.8e-05,original,10,5,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,11.605,0.002,0.761,0.626,0.736,0.694,0.152,3e-06,original,10,5,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,12.339,0.006,0.716,0.633,0.763,0.73,0.796,1e-06,original,10,5,,,,
mlp,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,8.272,1.804,0.732,0.593,0.704,0.656,0.814,0.000106,original,10,5,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.383,3.318,0.84,0.791,0.882,0.873,0.882,5.2e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,23.355,0.248,0.727,0.696,0.829,0.818,0.832,1.4e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
svc,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,8.489,0.002,0.758,0.639,0.755,0.717,0.848,3e-06,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
logreg,k-means,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,8.792,0.207,0.785,0.698,0.812,0.788,0.868,1e-06,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
mlp,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,10.849,0.036,0.772,0.68,0.797,0.77,0.851,0.000108,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.806,7.63,0.825,0.799,0.89,0.886,0.877,3.3e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,23.256,0.303,0.793,0.794,0.892,0.892,0.903,1.9e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
svc,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.917,0.002,0.807,0.761,0.864,0.855,0.874,4e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
logreg,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,13.72,0.186,0.805,0.748,0.854,0.841,0.886,1e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
mlp,k-means,0.75,0.747,0.747,0.75,0.224,0.224,0.224,0.224,8.443,0.143,0.745,0.685,0.812,0.792,0.836,5.8e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.003220796585083008
xgb,k-center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,11.301,3.88,0.824,0.797,0.889,0.884,0.865,4.4e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019969940185546875
rf,k-center,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,30.779,0.473,0.55,0.268,0.254,0.268,0.818,2.2e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019969940185546875
