Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.9901836,29.399616,-0.0023733596,-0.52164274,36.80838,524.6729,9.30183e-05,0.015086801,0.12614222,0.00017282242,May,2,10,1,3,Returning_Visitor,False,False
17.072731,2620.2708,23.870863,2047.2114,708.5012,43095.305,0.005618188,0.012583368,0.7213618,-0.0006703076,May,2,2,1,14,Returning_Visitor,True,False
7.9954033,117.33608,8.925485,2238.788,20.549345,1083.7068,0.010304158,0.0108499145,-0.1270955,-0.0020322811,Jul,3,2,4,2,Returning_Visitor,True,False
3.9373205,156.91754,0.00033585017,-0.039594725,63.709637,4366.5996,-0.0013117254,0.001190326,245.84343,0.0016068058,Oct,4,1,8,2,New_Visitor,False,False
10.029746,2412.831,3.046479,430.82352,490.29474,23092.66,0.0013086159,0.009384627,0.30390474,0.000333144,Jul,2,2,1,3,Returning_Visitor,False,False
16.960423,591.3007,3.9916358,1347.7665,156.68,5645.649,0.00278577,0.012830441,2.3638666,0.79755753,May,2,2,1,13,Returning_Visitor,False,False
5.0159254,1641.938,-0.00029592926,-0.9989758,15.869824,446.1695,0.00018862229,0.0047957106,0.263252,1.2687094e-05,Dec,8,13,9,20,Other,False,False
-0.0077022244,0.044509374,0.0015295524,-0.81976134,1.4111123,-3.772144,0.1992015,0.19959693,0.1422803,1.0003656,May,3,2,7,6,Returning_Visitor,True,False
21.930567,1146.2539,3.0590386,110.69151,203.56654,4291.471,0.00057460146,0.007415469,178.39568,0.00060288486,Nov,2,5,3,3,Returning_Visitor,True,False
-0.07078444,2.3579402,4.000948,225.72337,222.15152,9767.439,0.053756442,0.065822534,0.2460968,0.0009280282,June,8,13,9,5,Other,False,False
2.9792836,607.0161,6.040492,74.40274,50.008427,2401.1213,0.018607624,0.03848126,0.20657654,1.01237,May,1,1,3,15,Returning_Visitor,True,False
0.9725752,94.12094,-0.004416011,-0.4308377,6.2540555,204.53401,-0.00068442186,0.0090226075,0.058359824,-0.00018410882,Sep,5,11,8,14,Returning_Visitor,False,False
-0.20795953,3.9465632,15.906066,1212.6057,6.3916287,291.75073,0.0036142746,0.011825214,0.024662696,-0.00093086186,Mar,2,2,1,8,Returning_Visitor,False,False
15.074971,1012.64966,2.0015047,168.49101,54.561436,1397.7103,-6.4030624e-05,0.0055411747,37.143185,-0.0003501562,Mar,3,2,3,2,New_Visitor,True,False
19.06519,344.52585,0.99921775,49.84063,426.575,9670.372,0.00320168,0.012155197,3.2026196,-0.0004602944,Sep,2,2,9,1,Returning_Visitor,False,False
-0.005395048,-0.49889424,-0.0019520741,-1.0326062,1.0174508,-17.59856,0.19974285,0.19948755,0.10117837,-0.00044022998,Dec,3,3,1,8,New_Visitor,False,False
4.015305,69.73804,3.0014226,1664.7355,26.937737,2260.4355,0.046764664,0.07649295,5.6919675,-0.001539485,Oct,1,1,2,3,Returning_Visitor,False,False
14.729709,2678.361,13.01414,1953.2234,340.33398,29993.15,0.0061019543,0.027361104,0.09116622,-0.0007256952,Dec,2,2,1,2,Returning_Visitor,False,False
2.0065417,120.426094,-0.0027326564,-1.094412,27.87233,1841.3851,0.015372627,0.016009001,111.58421,0.0004990759,Dec,1,1,6,2,Returning_Visitor,True,False
11.051768,83.73939,0.00083363836,-0.78132063,434.41678,9933.823,0.001926405,0.009720105,1.4267185,0.9984716,May,2,2,1,20,Returning_Visitor,True,False
5.020884,2161.6313,2.044144,90.35538,15.544258,472.49774,0.035878588,0.041603968,0.3063967,-7.0666276e-05,May,1,2,4,4,Returning_Visitor,True,False
1.9881883,83.23846,6.025292,316.88336,33.968513,1448.3329,0.00040948918,0.002714249,0.15535946,-0.00026139742,Oct,4,1,4,2,New_Visitor,True,False
0.021644242,-0.03292135,0.9805217,-0.51595503,0.5386128,3.0105708,0.19941548,0.19998284,0.1574504,-0.00096465024,Nov,1,1,1,15,Returning_Visitor,False,False
3.072214,271.6391,1.0186886,1784.878,361.8931,13331.091,0.0034967659,0.007897041,-0.09017352,-0.0016549913,May,2,2,1,19,Returning_Visitor,True,False
2.961433,118.37295,-0.0010810714,-2.0815067,5.852341,190.46242,0.02169189,0.022431286,0.23719998,1.0040057,May,6,2,3,2,New_Visitor,True,False
11.988378,218.50621,3.998751,1011.84924,38.652355,1603.962,0.021478668,0.031201916,5.24821,-0.0015125511,Sep,3,2,6,1,Returning_Visitor,True,False
-0.006728046,-0.4389501,-0.0014074069,0.006791994,2.8608136,-2.7814214,0.19969708,0.20011693,0.077352725,-0.0003743743,Nov,1,8,9,1,Returning_Visitor,True,False
5.0411506,110.79939,10.040777,503.1437,280.6023,15032.334,0.009107361,0.029362995,0.07815572,-0.00011861449,Dec,2,2,1,2,Returning_Visitor,False,False
4.9912047,1026.5465,0.00037575548,-0.9560414,45.67776,4681.463,0.007883181,0.024153983,0.21166392,0.7994078,May,2,2,7,13,Returning_Visitor,False,False
-0.0018972086,-0.19571736,0.00018645114,-0.82114226,1.2063775,-7.3644295,0.19978565,0.19965798,0.17770357,-0.0005869058,Nov,8,13,9,20,Other,False,False
-0.008618467,0.118087254,-0.0032819132,-0.45304686,9.294912,185.24507,0.007019824,0.04760064,0.07046052,1.0044687,May,1,8,7,4,Returning_Visitor,True,False
-0.02528774,0.059256993,-0.002289317,-0.40630156,2.1570153,67.56209,4.71339e-05,0.050052006,0.15783234,0.00027053306,Dec,3,2,7,2,Other,False,False
2.984442,666.4726,5.0058784,170.38576,27.351068,1586.9689,-0.00012577731,0.009923249,35.1192,-0.00023258975,Oct,3,6,3,20,Returning_Visitor,False,False
