Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.2655363,40.445286,0.060280867,2.042982,17.211834,691.4383,0.016269572,0.038094483,1.2177341,0.0012003096,Mar,3,2,3,1,Returning_Visitor,False,False
5.325869,143.13618,0.37812006,11.682762,48.769154,1555.179,0.0043468806,0.013534806,64.084,-0.00016638762,Nov,2,2,1,2,Returning_Visitor,False,False
0.9630829,29.872452,0.071470834,2.4882298,20.91317,702.4917,0.008729613,0.029150888,0.19861718,0.00187227,Nov,1,1,6,3,Returning_Visitor,False,False
0.8785813,19.013973,0.059578426,3.194601,18.138676,588.02075,0.012844524,0.045056958,0.76708096,0.0024724517,May,2,2,3,3,Returning_Visitor,False,False
1.4016138,33.380817,0.18378489,8.178469,28.096058,913.2187,0.005892658,0.030129129,1.7515051,-0.00042734048,Nov,2,2,3,2,Returning_Visitor,False,False
0.07415021,2.5061564,0.007927962,-0.33971602,4.8917336,83.264114,0.14775692,0.16698533,-0.16656284,0.24511965,May,3,2,4,3,Returning_Visitor,False,False
2.1331503,80.075005,0.08560551,3.1159554,11.732319,406.3109,0.0024831125,0.016973834,0.30836508,-1.052519e-05,Nov,3,2,1,2,New_Visitor,False,False
0.9769343,21.527012,0.050323762,1.0851992,22.148947,733.6187,0.0075194933,0.034100465,-0.007123269,-0.00047314292,Mar,2,2,1,3,Returning_Visitor,False,False
0.11472977,0.6118998,0.015763737,-0.41537672,2.8560166,59.56355,0.17264438,0.18351184,-0.13912372,0.018009918,May,1,1,1,3,Returning_Visitor,False,False
1.4540703,36.460114,0.07168353,2.9458714,22.851147,753.5956,0.008539805,0.03533168,1.0467613,0.0018058034,May,2,2,1,3,Returning_Visitor,False,False
1.7476088,51.15045,0.16037585,5.074423,25.277126,940.1031,0.0059745735,0.030745998,0.8645212,-0.0004288604,Dec,2,2,1,2,Returning_Visitor,False,False
1.0921775,26.204868,0.08533955,3.0707035,22.004126,815.2989,0.0031055266,0.027467225,0.6593296,-0.00040320805,Nov,2,2,1,2,Returning_Visitor,False,False
4.247566,110.937096,0.44276398,10.249741,137.30257,5625.2993,0.007267388,0.022359049,4.059103,0.010532732,May,2,2,3,1,Returning_Visitor,False,False
0.068022855,0.92825264,0.00789953,-0.4075871,5.1707807,93.338455,0.17006218,0.17881902,-0.10681609,0.00046687076,June,3,2,1,13,Returning_Visitor,False,False
6.688009,304.28024,0.39908367,11.098972,40.580986,1458.7972,0.006382461,0.018784212,3.821046,-1.7614417e-05,Nov,1,1,1,2,Returning_Visitor,False,False
1.8198279,43.861176,0.33674198,9.229692,100.13896,4218.991,0.00461949,0.019940615,1.2051475,-0.0005563659,Nov,2,2,1,2,Returning_Visitor,False,False
4.982093,151.12856,4.132428,258.05032,35.375385,1105.2898,0.011858337,0.02338658,4.0548806,0.00864848,May,3,2,4,4,Returning_Visitor,False,False
2.477316,60.932625,0.09809817,3.3536587,21.628464,668.17035,0.0010602098,0.017206268,0.10255357,-0.00010953968,Dec,2,2,1,2,New_Visitor,False,False
1.3214931,41.380997,0.05616174,1.5799044,14.918083,540.05255,0.012083393,0.041447796,0.29648182,0.0039475732,Nov,1,1,3,3,Returning_Visitor,False,False
1.80766,53.53529,0.08374465,3.0550919,20.451984,721.7959,0.012748503,0.03398206,0.82486266,0.001786458,May,3,2,1,4,Returning_Visitor,False,False
1.0563253,22.869083,0.067179985,1.9593486,24.225023,891.68555,0.005492903,0.030416759,0.92908305,-0.00042520216,Nov,2,2,2,2,Returning_Visitor,False,False
0.7602035,22.024174,0.13706471,5.9646854,17.971941,626.99866,0.022868223,0.05111902,-0.0124075785,0.6978658,May,1,1,1,2,Returning_Visitor,False,False
1.0379453,29.662106,0.09070287,2.9282913,22.097212,720.40173,0.016122842,0.038067363,0.10762521,0.00012074659,Nov,3,2,1,3,Returning_Visitor,False,False
2.833906,64.7358,2.9293375,353.55048,56.872135,2220.2551,0.00489472,0.023129245,2.7002096,-0.00012305504,Nov,2,2,1,2,Returning_Visitor,False,False
2.59695,71.82359,0.08328325,4.4601746,19.212145,700.31995,0.00094963016,0.015557568,0.76921004,0.00031717742,Nov,2,2,1,2,New_Visitor,False,False
0.00988663,0.15025279,0.008530237,-0.5979367,2.0658116,26.098461,0.18419097,0.19188538,-0.12928514,-0.00077025715,Dec,3,2,4,1,Returning_Visitor,False,False
0.89303493,19.642899,0.06573541,3.402279,29.272669,828.467,0.006858012,0.034168273,0.7652976,0.7201185,May,2,2,3,2,Returning_Visitor,False,False
