Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4.07586,163.90562,0.020159341,3.0156517,62.849583,4300.1587,-8.937564e-05,0.001689526,245.71138,-0.0015427632,Oct,4,1,8,2,New_Visitor,False,False
0.93064284,3.8390346,0.007906087,0.6053905,162.7845,5805.0664,0.002955578,0.009462061,52.204803,-0.0015942542,Nov,2,2,1,1,Returning_Visitor,False,False
1.9371514,21.36576,-0.0049247365,0.36813158,25.0891,252.22267,-8.460354e-05,0.007121968,76.70546,-0.00016074753,Nov,2,2,7,2,New_Visitor,False,False
0.93851376,6.322059,-0.0028527002,2.4141731,14.890524,380.14685,-0.00042078117,0.0033458646,69.49772,-7.8474484e-05,Nov,8,13,9,20,Other,False,False
3.9694078,44.525032,1.9923885,41.08663,30.237371,1029.3275,-0.00022561882,0.006067085,40.65482,-0.00015312558,Nov,2,2,4,2,New_Visitor,False,False
4.0120063,39.854713,0.0059633334,0.34873766,65.92724,2502.6543,0.00013166446,0.015355132,62.27525,-0.0011958344,Nov,4,1,2,2,Returning_Visitor,False,False
-0.07192957,2.0521464,-0.012923799,1.3343753,15.904206,703.0266,-5.9094615e-05,0.0052114045,28.873392,0.0002781699,Nov,3,2,3,2,New_Visitor,True,False
1.9865062,23.311989,-0.018480144,0.14620773,5.0200734,117.19795,-5.9360973e-05,0.009489375,32.879772,-0.000119873635,Nov,2,4,4,5,New_Visitor,False,False
1.9629909,17.74783,-0.013220511,0.39786333,3.3826146,269.21094,-0.00013672594,0.039864533,49.448227,-0.0007225064,Nov,2,2,5,5,New_Visitor,False,False
6.00254,185.87169,4.9950056,113.30191,181.11736,10449.565,0.0021758599,0.021760656,18.871265,-0.001248726,Nov,2,2,3,2,Returning_Visitor,True,False
3.0020669,1535.5697,1.9617164,95.45709,60.77605,1623.8881,0.005026424,0.025634993,23.772032,-0.0014495937,Nov,1,1,1,2,Returning_Visitor,True,False
-0.040697686,0.15624186,3.0329964,63.058174,24.548546,658.2417,0.014747788,0.039632164,71.86012,-0.0012462599,Nov,1,1,8,10,Returning_Visitor,False,False
5.9925437,199.85332,0.0029943367,0.6786632,83.640945,3659.2434,0.0056765242,0.016704964,66.19086,-0.0007735652,Nov,2,2,4,2,Returning_Visitor,False,False
3.9728675,100.71908,2.0133169,81.98947,133.37592,3739.4941,0.0029593369,0.016131733,28.047346,-0.0013227625,Nov,3,2,1,6,Returning_Visitor,True,False
0.9516059,44.30598,0.98520654,68.18832,8.142693,609.9291,0.01761651,0.034547426,26.622972,0.0003856408,Nov,1,1,2,7,Returning_Visitor,False,False
2.933732,30.612492,-0.004079662,-0.51712996,14.94932,249.7585,0.00027948213,0.0017835337,55.843605,-0.0008495984,Sep,2,4,1,2,New_Visitor,False,False
9.98467,298.90787,-0.0058746557,-0.35605437,80.22651,1803.3472,0.00021169674,0.0034652937,16.335869,-0.00026054805,Nov,1,1,1,8,New_Visitor,True,False
1.9615152,18.946556,0.0009469766,-0.005468443,83.92774,2872.1047,0.0042178254,0.013390918,37.624496,-0.0015067098,Nov,2,2,1,1,Returning_Visitor,True,False
1.9319483,35.34146,0.004848935,0.7348842,3.4531217,20.455883,0.00010546636,0.00174716,55.938553,-8.697932e-05,Sep,1,1,3,2,New_Visitor,False,False
4.9517217,74.18748,3.0093508,89.02406,51.132236,1979.1898,7.877838e-05,0.008638359,44.35709,-0.0006822956,Nov,2,2,7,2,Returning_Visitor,False,False
5.9511933,84.797195,1.9796735,162.01419,40.348392,1119.3226,0.00392631,0.011890964,27.12439,-0.0005850804,Nov,2,2,9,8,New_Visitor,True,False
2.001115,3.8628688,5.0140195,160.12993,64.33505,3757.2427,0.011440222,0.022934815,19.205324,-0.0011048255,Nov,1,2,6,2,Returning_Visitor,False,False
5.950658,141.25476,-0.0072527747,0.08463089,32.22882,2263.0076,0.000119913035,0.0019481468,61.83084,-0.00063966337,Nov,3,2,9,3,New_Visitor,True,False
-0.054283015,0.42036387,0.0031381329,0.17274277,67.30137,1190.1323,0.0023971477,0.014086186,64.35554,-0.0012613175,Nov,4,1,1,1,Returning_Visitor,False,False
1.9351932,63.39163,0.023293175,0.96481127,15.737914,366.88422,0.0002724823,0.005779083,166.49629,-0.0029571292,June,1,1,1,5,New_Visitor,True,False
-0.040696017,-0.48305562,-0.01745417,-0.39509398,31.922644,1692.5502,0.00011253696,0.014557238,19.674246,-0.00062961254,Nov,2,2,1,10,Returning_Visitor,False,False
4.958624,109.97104,-0.0010153573,-0.24665268,136.65848,4172.89,8.8577755e-05,0.008427999,17.85066,-0.0004944255,Nov,2,2,9,2,Returning_Visitor,False,False
5.0273204,148.026,1.0299556,21.420183,185.33998,3552.8384,-0.0003190882,0.004427134,137.68652,-0.0012626735,Oct,2,2,3,20,Returning_Visitor,False,False
0.9294667,21.3107,0.00017199702,0.7917537,91.636055,2735.4895,0.0056610866,0.03863305,23.631853,-0.00068305555,Nov,2,2,3,2,Returning_Visitor,True,False
2.9230072,101.82665,0.0016338903,-0.5254536,25.519733,801.6971,0.0062034386,0.0043063564,69.7204,-0.0010489611,Nov,2,2,1,2,Returning_Visitor,False,False
8.991623,239.19783,-0.005553923,-0.012983397,25.28341,683.31085,0.0017994657,0.005116514,27.53291,0.00078208995,Nov,1,1,3,2,New_Visitor,False,False
5.965475,81.10628,1.9998384,213.6973,161.87328,6121.6387,0.00016963635,0.0049466593,22.804058,-0.0016909031,Sep,2,2,1,6,Returning_Visitor,False,False
0.9488857,33.37346,-0.00068213756,-0.49198347,7.2482553,1145.6528,0.0002064478,0.029592404,76.147964,-0.0010384409,Nov,2,4,9,2,Returning_Visitor,False,False
2.9408162,342.5091,1.0109276,13.754765,30.18378,1064.06,0.0052982788,0.0060467077,69.4102,-0.0006860209,Nov,2,2,5,2,Returning_Visitor,False,False
10.038277,135.6906,0.97580314,108.34163,102.01929,3662.4941,-0.0006805252,0.008187327,14.859058,0.00040290752,Nov,2,10,7,2,Returning_Visitor,False,False
1.98919,47.55484,0.9970276,0.255598,63.680313,1992.9412,0.014625276,0.02295623,21.584341,-0.0010054497,Nov,1,1,1,2,Returning_Visitor,True,False
6.9526496,315.89453,4.0205336,219.88329,35.619614,895.0743,0.0005069204,0.009813986,41.040825,-0.00079649064,Sep,2,4,3,5,New_Visitor,False,False
0.9440007,0.3994517,-0.006684385,0.073305055,76.7389,4329.204,0.011991145,0.024426453,14.5214815,-0.0009252665,Nov,2,2,1,2,Returning_Visitor,False,False
2.9915383,154.15355,0.99262834,-1.113928,61.167336,2033.1533,0.0063890847,0.025890324,17.671165,-0.00071525696,Nov,2,4,1,10,Returning_Visitor,True,False
6.9555697,220.52394,0.9953309,-0.72847944,22.134552,1035.7317,0.00022363816,0.019207839,16.988253,-0.00047228983,Nov,2,2,2,10,Returning_Visitor,True,False
7.907938,200.24643,-0.011211179,-0.48993498,14.845236,370.307,0.0001233701,0.012004786,17.678116,0.00046872222,Nov,1,1,1,2,New_Visitor,False,False
1.9753348,11.507026,-0.005948625,1.7043666,26.16426,651.1479,-0.00035698185,0.009133133,36.47171,-0.00031999624,Nov,2,2,4,20,Returning_Visitor,False,False
13.010533,399.02963,3.0081122,45.398956,60.320377,1455.8784,0.0015965808,0.016827138,17.625305,0.00016211966,Nov,1,1,1,2,New_Visitor,False,False
7.0377297,245.1524,0.9716493,1059.3799,33.233624,4883.861,0.017089533,0.028151112,24.165869,0.0038193788,Nov,3,2,2,2,Returning_Visitor,False,False
2.9209979,50.113335,-0.0048941593,-0.18370254,8.116827,273.09784,0.00017273393,0.009692862,25.980406,-0.00044366842,Jul,1,1,1,2,New_Visitor,False,False
0.9207443,51.059082,-0.000477187,0.11486237,26.583267,524.0698,0.0065328176,0.023460785,44.89613,-0.00031147277,Nov,2,2,3,2,Returning_Visitor,False,False
