Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.50626826,9.721908,-0.0012283545,2.0418644,25.221664,774.5624,0.04227776,0.062451217,0.61032265,0.63819885,May,2,2,1,13,Returning_Visitor,False,False
3.5721173,146.54117,4.33669,1397.0557,50.528023,3566.56,0.0109528955,0.029885424,2.4137614,0.003477088,Nov,2,2,1,2,Returning_Visitor,False,False
0.9109812,16.966133,0.0011630136,7.232975,26.46503,847.88257,0.014341556,0.040295415,0.43205902,0.64509237,May,2,2,1,4,Returning_Visitor,False,False
2.4145288,68.143585,-0.0021359543,9.954784,18.502518,602.3788,0.0017285511,0.019845465,0.4978821,7.099534e-05,Dec,2,2,1,2,New_Visitor,False,False
1.369234,35.751156,0.00081036275,4.1827526,22.627136,894.46844,0.009419736,0.035465207,0.92142886,0.0026841525,Nov,2,2,7,1,Returning_Visitor,False,False
1.4126686,30.835068,-0.00062679464,13.097324,26.447441,897.88885,0.007878413,0.02993552,1.4422438,0.0059050643,May,2,2,1,4,Returning_Visitor,False,False
4.88883,178.28584,3.6187253,352.7557,47.45994,1847.794,0.0064526773,0.021098984,5.0291123,0.00077393156,Nov,3,2,1,2,Returning_Visitor,True,False
0.07001341,-0.26587728,0.0011170286,-0.25050932,2.5682492,23.695385,0.18599412,0.19016203,0.15327711,0.018839447,May,3,2,1,13,Returning_Visitor,False,False
1.8804305,55.001884,-0.0010605078,3.1908932,15.381918,490.17938,0.00283231,0.020008318,0.51807946,4.720936e-05,Nov,3,2,1,2,New_Visitor,True,False
1.4883082,38.23348,-0.00048314745,7.3071823,33.529613,1141.4932,0.008831038,0.03344754,1.1576512,0.00075637427,Nov,2,2,1,1,Returning_Visitor,False,False
7.336656,475.497,0.15922438,28.292059,61.998493,2617.861,0.0047235633,0.01902196,3.647935,0.00045456612,Nov,2,2,1,2,Returning_Visitor,False,False
0.7943994,12.566199,-2.2552545e-05,4.119404,26.866138,918.9168,0.0073886593,0.033826858,0.69728297,0.00071621937,Nov,2,2,1,3,Returning_Visitor,False,False
7.671811,229.83946,2.7736354,219.87274,183.73697,7147.8364,0.0054145246,0.01860085,2.2029335,0.0015373441,Nov,2,2,1,2,Returning_Visitor,False,False
