Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
-0.0028132128,0.34105632,0.0054301997,-0.7192479,5.380244,27.94514,0.0001686864,0.080154516,0.03957387,0.5998855,May,2,2,1,3,Returning_Visitor,False,False
10.885464,639.42145,4.9580903,1043.9805,501.53152,21929.355,0.004884483,0.013786404,8.998746,0.005267019,Nov,2,2,1,2,Returning_Visitor,False,True
20.2845,1298.5797,2.9660258,128.2467,511.10956,26387.445,0.005812095,0.014128794,8.378354,0.006790804,Nov,1,1,1,2,Returning_Visitor,False,True
1.0132319,42.895847,2.0387568,1400.8201,56.440327,1530.6055,0.006502352,0.022022577,27.879148,0.00015827516,Nov,2,2,1,8,Returning_Visitor,True,False
7.9820375,2092.9395,1.0131156,49.1972,81.17049,5593.1655,0.002666842,0.014614548,15.448267,0.0015871028,Nov,2,2,1,2,Returning_Visitor,False,True
2.0247302,86.45353,10.018752,720.1979,54.40246,1978.0928,0.0047055106,0.01976529,25.836191,0.00044577816,Dec,1,1,2,2,Returning_Visitor,False,False
7.960706,110.14239,-0.008236848,1.2948626,374.88315,12559.229,0.0022813135,0.010662812,6.347555,0.0020648043,Nov,2,2,2,2,Returning_Visitor,True,False
13.987016,1091.0764,1.0066255,288.03342,68.072365,4094.3193,0.0076626777,0.025590165,18.384981,0.001713148,Aug,1,1,3,3,Returning_Visitor,False,False
1.982673,167.88283,7.0298157,115.06954,231.84367,7950.2393,0.0020099168,0.018625624,8.887149,0.0023524265,Nov,2,2,1,2,Returning_Visitor,False,True
11.020455,333.20544,0.0037907143,-0.1030484,20.272137,606.63196,0.00017280284,0.0074390424,26.416235,0.1961037,May,2,10,1,5,New_Visitor,False,True
26.706131,860.8127,1.9534566,125.1027,592.6481,24722.291,0.003943074,0.00897207,4.7100735,0.007372985,Nov,2,4,3,8,Returning_Visitor,False,False
6.960755,67.310616,2.013163,730.0243,100.288055,4744.219,0.00915058,0.010758813,20.486897,0.0010580296,May,1,1,6,3,Returning_Visitor,True,True
