Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.872921,93.98127,0.21804483,1.954378,13.071381,385.6364,0.0010600105,0.017774628,1.1968648,-0.00056858483,Oct,2,2,3,2,New_Visitor,False,False
0.96574545,31.078941,0.11811901,0.9686069,17.868309,770.24457,0.011841291,0.04237046,0.8531119,-0.0005443183,Dec,2,2,1,1,Returning_Visitor,False,False
1.7212797,57.70135,0.21907373,1.6570147,20.883753,844.6828,0.005517117,0.02900992,1.2990577,-0.00057088706,Dec,2,2,1,2,Returning_Visitor,False,False
1.3223649,39.939888,0.16319092,1.6588496,16.907574,658.0674,0.01259731,0.039102435,0.69178504,0.015619415,May,1,1,1,3,Returning_Visitor,False,False
1.4454185,48.94248,0.1950279,1.776842,20.842962,897.8201,0.011403902,0.038916346,0.8758022,0.034386583,May,2,2,1,6,Returning_Visitor,False,False
4.997836,166.64888,5.2697253,761.405,56.817783,2384.6626,0.007401033,0.02404886,4.280134,0.00034350032,Dec,2,2,1,2,Returning_Visitor,False,False
1.4837959,55.92025,0.1475331,1.0554751,19.880856,812.2123,0.0060356758,0.031594783,1.4658325,0.009337219,May,2,4,1,2,Returning_Visitor,False,False
2.5086968,86.486305,0.26586986,2.3245354,26.572258,977.054,0.011452096,0.035419285,1.1500347,-0.0008240727,Aug,2,2,1,1,Returning_Visitor,False,False
0.026679642,0.29671428,0.011778392,-0.353159,2.185164,46.991894,0.18479346,0.18917458,0.072828494,0.054816417,May,2,2,3,3,Returning_Visitor,False,False
1.8001631,73.20741,0.22213979,2.44553,19.725166,752.9862,0.007684218,0.031308524,1.0061071,-0.0006596756,Nov,1,1,1,2,Returning_Visitor,False,False
9.175213,368.61694,1.9472204,67.73098,91.695694,3721.6038,0.006772136,0.021215556,4.511517,-0.0008481902,Dec,2,2,1,1,Returning_Visitor,False,False
1.5177053,54.530518,0.2077799,1.7674998,19.104296,789.3218,0.008213156,0.033786863,1.0373638,-0.00043751797,Dec,2,2,1,1,Returning_Visitor,True,False
1.6927915,43.59918,0.20988311,1.483343,23.153965,826.892,0.013299394,0.03699375,1.0220397,0.08329094,May,2,2,7,4,Returning_Visitor,False,False
1.4034239,44.281742,0.14274924,0.9932918,22.561981,881.7201,0.009014183,0.033817537,1.0504038,-0.0005552967,Nov,2,2,1,2,Returning_Visitor,False,False
1.3612782,51.381504,0.0958649,0.99849886,17.584013,663.45605,0.01149186,0.03838876,0.38688967,0.006021852,Nov,2,2,3,11,Returning_Visitor,False,False
1.1702267,38.402725,0.13529287,1.3116435,21.027317,843.87384,0.0089023905,0.03482969,0.717591,-0.00072142604,Dec,2,2,7,1,Returning_Visitor,False,False
1.7013062,64.59645,0.21214898,2.18466,17.62111,699.9367,0.0071482933,0.031896554,0.8675925,-0.0004968171,Dec,1,1,1,2,Returning_Visitor,False,False
