Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.9582375,21.0654,0.008557685,-0.61041456,34.079597,812.126,0.016287416,0.028761756,-0.12751369,-0.0004976441,Oct,2,2,6,1,Returning_Visitor,True,False
17.055845,2625.8523,23.91562,2045.9756,703.7695,42896.04,0.003713844,0.012325636,2.3483026,0.0028183262,May,2,2,1,14,Returning_Visitor,True,False
21.272669,188.06317,6.8198347,293.75528,675.47437,23661.16,0.0101617705,0.021289751,0.45457575,-0.001704791,Aug,2,2,1,1,Returning_Visitor,False,False
7.879735,146.91884,5.95778,2143.1953,14.197613,1796.8127,8.004498e-05,0.031231426,11.135097,0.0003341722,Dec,4,5,1,2,Returning_Visitor,False,False
7.2164545,2646.7156,2.934294,343.31946,77.78747,5747.4297,0.029494045,0.03742035,0.04543134,-0.0031190154,Jul,3,2,1,13,Returning_Visitor,False,False
3.9429698,162.42244,0.013399072,-0.75168806,59.94608,4392.48,-0.0025122392,0.00043190905,247.4693,-0.00089471164,Oct,4,1,8,2,New_Visitor,False,False
-0.05025398,-15.970651,4.069452,219.40286,224.25383,9706.613,0.053981606,0.06775304,0.6493847,-4.8660986e-05,June,8,13,9,5,Other,False,False
3.0715678,271.00504,0.9583993,1792.223,362.49387,13873.538,0.0027934776,0.008292831,0.2741401,-0.0011147273,May,2,2,1,19,Returning_Visitor,True,False
11.898475,430.43872,13.838272,621.82025,85.5224,3653.9954,0.0021159851,0.011326141,35.35201,-0.0014684362,Nov,3,2,1,2,Returning_Visitor,True,False
4.9551773,1647.6644,-0.017999433,-1.4613477,15.23262,389.05267,0.00010011498,0.006215385,0.26317856,0.00042991215,Dec,8,13,9,20,Other,False,False
11.356811,69.932945,-0.004757784,-0.5310002,441.83078,10078.546,0.001961216,0.009401149,1.5386293,0.99412966,May,2,2,1,20,Returning_Visitor,True,False
14.777763,2606.9844,13.182845,1937.186,339.88828,29609.703,0.0066409805,0.029147722,0.74421376,-0.006161609,Dec,2,2,1,2,Returning_Visitor,False,False
-0.02490341,-4.024628,-0.010344051,-0.7071133,0.69315,-17.938404,0.20099115,0.20263359,-0.060074605,0.00069618475,June,2,4,3,4,New_Visitor,False,False
21.408968,1137.241,2.9143271,105.20026,209.80965,4223.1523,-0.00053574925,0.0077878414,174.90851,-0.0007950303,Nov,2,5,3,3,Returning_Visitor,True,False
12.850011,312.29492,3.996819,511.13745,132.07748,3091.0974,0.0010690034,0.009340077,9.077467,0.0004942889,May,2,5,3,4,Returning_Visitor,False,False
1.9494183,64.35127,-0.0067715864,0.057851717,15.53389,448.54236,-0.0010765627,0.0055386303,164.32947,0.00011139984,June,1,1,1,5,New_Visitor,True,False
9.841886,2479.5703,2.8693624,417.08878,488.7836,22843.318,0.0012335439,0.010802525,0.24450894,-0.0035449576,Jul,2,2,1,3,Returning_Visitor,False,False
10.606188,379.26233,2.0002098,249.09521,188.69681,15235.015,0.0074178413,0.019865118,0.2986128,-0.0017840354,Aug,2,10,2,1,Returning_Visitor,False,False
-0.086826436,-1.2027287,-0.0025924663,1.3249682,0.8403515,22.584179,0.20193511,0.20115872,0.17306013,0.00022592643,Nov,8,6,1,6,Returning_Visitor,False,False
0.919433,42.84125,1.9735647,1410.9946,57.168438,1549.6552,0.006497446,0.020925768,29.307678,-0.0005460133,Nov,2,2,1,8,Returning_Visitor,True,False
2.9487793,328.2494,-0.000510357,0.582262,6.4422154,1602.757,0.00037059342,0.016248902,0.060954295,0.8033207,May,3,3,1,4,Returning_Visitor,False,False
7.099042,1465.0386,0.0041188677,-1.3337461,28.994143,1376.6989,0.0048834677,0.010359599,-0.12042836,-0.0008207125,Nov,1,1,4,2,New_Visitor,False,False
6.008159,237.76048,3.002376,353.10986,22.101728,757.1863,0.0074127796,0.019420082,87.89782,-0.00014662868,Dec,3,2,1,2,Returning_Visitor,False,False
5.952272,163.16325,10.124592,406.66968,14.170233,673.7799,0.007831167,0.005930419,0.13673182,-0.00045656538,Mar,3,2,8,8,New_Visitor,False,False
0.06453384,-3.3829732,-0.014784418,-0.14014633,1.0826421,-12.66338,0.1984216,0.20057268,0.08460971,0.00083380815,Dec,2,13,9,20,Returning_Visitor,False,False
0.8328271,97.43451,-0.010900877,0.7948169,115.45894,13247.779,0.008024592,0.040816456,0.36823294,-0.001228602,May,2,6,4,4,Returning_Visitor,True,False
3.9383838,45.640404,-0.004984222,0.050214693,2.1487775,14.908154,0.00027579968,0.007933388,0.05319854,-0.00022277361,Mar,2,6,6,7,New_Visitor,False,False
1.9445689,10.969893,-0.013638221,0.6217174,36.41965,451.71332,0.00037065675,0.015531939,47.045216,0.00010742123,June,4,1,2,4,Returning_Visitor,False,False
6.940039,314.48206,4.0414214,214.09248,35.50486,910.6447,8.3788895e-05,0.009795084,40.849792,5.1430114e-05,Sep,2,4,3,5,New_Visitor,False,False
-0.03288304,-0.337441,-0.0051775197,0.08143799,1.5161958,5.5263176,0.202377,0.20259629,0.020541392,-1.1024379e-05,Dec,3,3,1,8,New_Visitor,False,False
4.869872,105.65356,10.158121,498.4844,280.5726,15548.198,0.009204675,0.02972451,0.49932835,-0.0017135007,Dec,2,2,1,2,Returning_Visitor,False,False
-0.056888454,5.234504,-0.0026703696,0.54163927,63.81779,6155.673,0.010080457,0.045400754,-0.08382682,0.8011471,May,2,5,2,6,Returning_Visitor,False,False
-0.08135902,2.0854335,9.009109,1771.2844,12.266947,1873.5764,0.007252972,0.019131389,0.22231646,0.6477371,May,2,2,6,3,New_Visitor,False,False
-0.005769365,2.304031,-0.003652535,-0.2917958,1.2921491,17.52412,0.19743842,0.1984444,-0.47446087,0.8021866,Feb,1,1,1,2,Returning_Visitor,True,False
-0.03321349,2.5595393,6.9168754,264.99423,23.288551,508.65723,0.019446347,0.02590276,0.22058173,-0.0002711316,Jul,1,1,6,2,Returning_Visitor,False,False
