Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.645271,40.70416,-0.0060551385,6.279598,18.237026,592.07544,0.008779419,0.032648064,0.34115145,0.0020244743,May,1,1,1,2,Returning_Visitor,True,False
1.6567476,33.512524,-0.011550449,5.7318535,24.68359,790.4549,0.005184296,0.03121216,0.4498646,0.005837834,May,2,4,1,2,Returning_Visitor,False,False
1.6454524,38.330334,-0.002369545,6.5792847,19.04539,647.80505,0.009099864,0.03444905,0.154103,0.0041336142,May,1,1,1,6,Returning_Visitor,False,False
1.6162924,32.30426,0.006834217,10.57296,23.978539,805.08246,0.008534416,0.0368752,0.29411766,0.0012584614,Mar,2,2,1,1,Returning_Visitor,False,False
0.09205378,2.6455607,-0.006802998,0.34889024,3.6537595,70.95491,0.16498019,0.18071042,-0.035884656,0.34022048,May,2,2,1,6,Returning_Visitor,False,False
3.253308,76.836174,0.01726184,12.564686,27.655893,858.62775,0.010358457,0.030198712,0.73590773,0.000968347,Sep,2,2,1,2,Returning_Visitor,False,False
2.9714062,68.11089,0.05672086,21.05255,19.613838,599.69116,0.00053667056,0.014905018,0.040616237,0.0018203618,Nov,2,2,1,2,New_Visitor,False,False
7.7218704,209.32648,2.1997185,113.81795,134.09492,5188.3657,0.0051904074,0.020065432,2.1294067,0.000559176,Nov,2,2,1,2,Returning_Visitor,False,False
1.4224415,41.573875,-0.00831183,4.675577,23.584492,737.7231,0.010390937,0.035221428,0.32478973,0.00045772517,Nov,1,1,1,2,Returning_Visitor,False,False
2.2084012,45.144966,0.042833187,10.900717,24.879528,786.8861,0.005471363,0.025775922,0.3398268,0.0014098609,May,2,2,1,4,Returning_Visitor,True,False
2.304103,34.826748,0.12647952,15.170944,46.535282,1269.5793,0.01346574,0.03783078,0.34949037,0.92028636,May,3,2,4,6,Returning_Visitor,True,False
2.0757818,53.768097,0.0015757162,2.802126,17.938744,584.82635,0.009181651,0.0337638,0.35312292,0.0008820581,Dec,1,1,3,2,Returning_Visitor,False,False
1.8635464,44.948406,0.024970897,14.006283,33.133698,1031.4209,0.018306362,0.043978073,0.36722967,0.002617276,May,2,2,1,13,Returning_Visitor,False,False
0.9527446,26.44302,0.0022315462,11.247473,21.191273,751.99927,0.0072772694,0.03219378,0.13778992,-0.00017121187,Dec,2,2,1,10,Returning_Visitor,False,False
1.9862088,36.703865,0.010512449,12.274677,22.195415,747.9324,0.00466188,0.030050427,0.46631452,0.0009364846,Mar,2,2,1,2,Returning_Visitor,False,False
1.6764581,34.462433,0.011343487,9.638378,23.231258,786.5796,0.006760011,0.033700433,0.17694254,0.0015564064,Mar,2,2,1,1,Returning_Visitor,True,False
-0.0018838572,0.06294199,0.0014544803,0.31556123,1.775023,41.75398,0.18539053,0.19351909,0.0046865568,0.003555375,May,2,2,1,1,Returning_Visitor,False,False
