age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41.250423,Private,176450.3,HS-grad,8.872188,Divorced,Other-service,Unmarried,White,Female,10.918928,12.33819,36.9568,United-States,<=50K
32.788063,Private,192635.1,HS-grad,8.905929,Never-married,Craft-repair,Not-in-family,White,Male,-1.8357109,18.498056,42.94479,United-States,<=50K
24.428017,Private,197457.84,Some-college,9.906517,Never-married,Prof-specialty,Own-child,White,Male,-1.9426445,11.745111,36.183826,United-States,<=50K
40.15964,Private,180319.78,HS-grad,8.90777,Married-civ-spouse,Craft-repair,Husband,White,Male,6.424421,16.848787,42.232933,United-States,<=50K
44.8036,Private,171956.8,Some-college,10.862359,Divorced,Other-service,Unmarried,White,Female,5.576154,16.32136,38.889008,United-States,<=50K
21.110361,Private,191916.27,HS-grad,8.226582,Never-married,Other-service,Own-child,White,Female,-5.050677,8.294046,31.54496,United-States,<=50K
40.013832,Private,174502.56,Prof-school,11.25823,Married-civ-spouse,Prof-specialty,Husband,White,Male,7.0018134,18.016504,43.019547,United-States,<=50K
42.365543,Private,202521.23,7th-8th,4.3102875,Married-civ-spouse,Prof-specialty,Husband,White,Male,2.8869452,11.994158,39.33175,United-States,<=50K
22.706713,Private,183412.98,Some-college,10.053515,Never-married,Other-service,Own-child,White,Female,-5.180804,8.783915,30.141861,United-States,<=50K
30.690275,Private,185476.94,Bachelors,12.882838,Never-married,Other-service,Not-in-family,White,Female,7.1995673,19.783892,41.640266,United-States,<=50K
41.28785,Private,187403.48,Prof-school,12.991703,Never-married,?,Not-in-family,White,Male,1881.3414,0.6222325,46.369785,United-States,>50K
42.642025,Private,182278.0,Bachelors,13.028195,Married-civ-spouse,Exec-managerial,Husband,White,Male,916.0623,0.001825408,42.577324,United-States,>50K
42.81488,Private,178896.64,Bachelors,13.568165,Married-civ-spouse,Prof-specialty,Husband,White,Male,739.2943,0.7896672,42.466656,United-States,>50K
42.392075,Private,193303.17,Some-college,9.94768,Married-civ-spouse,?,Husband,White,Male,548.13043,-0.4737071,43.647774,United-States,>50K
42.510178,Private,186762.12,Bachelors,13.489601,Married-civ-spouse,Sales,Husband,White,Male,8.766096,2020.4418,46.318386,United-States,>50K
43.794994,Private,177459.61,HS-grad,8.8231535,Married-civ-spouse,Prof-specialty,Husband,White,Male,361.04745,0.01137741,44.47645,United-States,>50K
44.735176,Private,180272.55,Prof-school,13.023832,Married-civ-spouse,?,Husband,White,Male,99907.42,-0.24607651,49.707573,United-States,>50K
43.497658,Private,180031.27,Preschool,9.310717,Married-civ-spouse,Other-service,Husband,White,Male,5.014753,1954.9763,45.19315,United-States,>50K
41.352,Private,179417.89,Bachelors,11.714821,Married-civ-spouse,Tech-support,Husband,White,Male,536.38983,-0.11342423,43.240475,United-States,>50K
42.364838,Private,185221.03,9th,13.227669,Married-civ-spouse,Exec-managerial,Husband,White,Male,1136.8843,0.09643753,61.223156,United-States,>50K
