age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45.05201,Federal-gov,360094.47,Assoc-acdm,12.00682,Never-married,Exec-managerial,Not-in-family,White,Male,7.6896796,-0.04067795,40.0104,United-States,<=50K
64.00666,Federal-gov,354609.5,Some-college,9.98751,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,12.251936,0.0923024,44.992203,United-States,>50K
75.081566,?,111023.37,Bachelors,13.006005,Widowed,?,Not-in-family,White,Female,24648.285,1.1230718,16.055164,United-States,>50K
29.941048,Private,340330.8,Prof-school,15.035472,Never-married,Prof-specialty,Not-in-family,White,Male,-4.5498223,1580.448,80.01592,United-States,<=50K
49.0127,Self-emp-not-inc,44697.266,Doctorate,15.983724,Divorced,Prof-specialty,Unmarried,White,Male,3.8688788,-0.050596163,62.95302,Canada,>50K
35.09433,Private,269027.44,HS-grad,8.994749,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,13.784529,1886.012,49.95902,Iran,>50K
56.03366,Private,98756.484,7th-8th,3.9822223,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,5096.7905,-0.70079607,44.841858,United-States,<=50K
64.01574,Private,193318.9,Bachelors,12.999734,Married-civ-spouse,Prof-specialty,Husband,White,Male,-3.0885186,1666.3497,9.946105,United-States,<=50K
35.99416,Local-gov,379766.88,Bachelors,12.992975,Married-civ-spouse,Adm-clerical,Wife,White,Female,9.685652,1.1378118,34.997242,Germany,>50K
65.045906,Local-gov,147328.06,Masters,13.98152,Married-civ-spouse,Prof-specialty,Husband,White,Male,4.816877,1640.1855,3.9059722,Greece,<=50K
42.94978,Self-emp-not-inc,89612.555,Bachelors,12.997706,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,12.572737,-0.36966506,59.984295,South,<=50K
72.966255,Self-emp-not-inc,100897.77,7th-8th,3.990227,Married-civ-spouse,Farming-fishing,Husband,White,Male,6605.401,-0.65482897,99.06708,United-States,>50K
45.966183,Private,27144.89,Doctorate,15.999798,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,7.511457,0.7527333,40.001118,India,>50K
29.039322,Private,176569.97,Assoc-voc,11.011421,Divorced,Tech-support,Not-in-family,Black,Male,14437.127,1.0588475,40.00896,United-States,>50K
39.68447,Private,1448161.9,Assoc-acdm,11.986166,Separated,Craft-repair,Not-in-family,White,Male,-16.297625,-0.847372,40.13971,United-States,<=50K
52.051723,Private,591153.56,5th-6th,3.0124867,Married-civ-spouse,Craft-repair,Husband,White,Male,-3.8370538,2000.3501,44.987755,United-States,<=50K
26.788204,Private,212702.56,Preschool,1.227619,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,38917.51,-0.66897386,24.048649,Mexico,<=50K
35.11,Private,956397.44,HS-grad,9.010119,Married-civ-spouse,Exec-managerial,Wife,White,Female,-42.922382,-0.73721117,39.998535,United-States,>50K
59.95138,Self-emp-inc,137154.25,10th,5.9932795,Married-civ-spouse,Exec-managerial,Husband,White,Male,3.3982978,1974.9325,44.2563,United-States,>50K
43.944386,Private,81746.35,Prof-school,15.053407,Divorced,Prof-specialty,Not-in-family,White,Female,2274.526,-1.006132,98.84504,United-States,<=50K
38.088875,Self-emp-inc,245003.84,Some-college,9.985533,Married-civ-spouse,Sales,Husband,White,Male,12.857771,1485.3108,59.96746,Cuba,>50K
26.85643,Private,31144.344,Bachelors,13.007575,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-1.5488456,1886.645,60.06454,United-States,>50K
72.94825,Local-gov,249684.42,Masters,13.987191,Married-civ-spouse,Exec-managerial,Husband,White,Male,11.660261,-0.07013504,20.073145,Cuba,<=50K
33.17191,Federal-gov,615633.25,Masters,13.951869,Married-civ-spouse,Transport-moving,Husband,Black,Male,-20.011492,-0.4556941,39.956078,Nicaragua,<=50K
20.979273,Private,34033.203,Assoc-voc,11.008488,Married-civ-spouse,Craft-repair,Husband,White,Male,-3.4236016,2590.3906,40.022125,United-States,<=50K
30.083487,?,34473.17,Bachelors,12.996846,Married-civ-spouse,?,Wife,Other,Female,10.198957,-0.3136882,40.043518,Taiwan,>50K
66.92464,Self-emp-inc,411584.47,HS-grad,8.99737,Widowed,Exec-managerial,Not-in-family,White,Female,15581.053,-0.20514481,39.953712,United-States,>50K
64.023254,Private,78439.85,Assoc-voc,10.975456,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,13.905745,-0.058164522,40.006256,Philippines,<=50K
52.95891,Private,590797.06,Doctorate,16.037569,Never-married,Prof-specialty,Unmarried,White,Female,3.1489081,1420.9772,39.970768,United-States,<=50K
47.055347,Private,360784.06,10th,6.008333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4138.3906,0.5414372,40.029827,Italy,<=50K
63.02654,Self-emp-inc,38016.89,Some-college,10.003367,Widowed,Sales,Not-in-family,White,Female,14312.835,0.93375593,60.035393,United-States,>50K
34.039417,Self-emp-not-inc,252831.02,HS-grad,9.002336,Married-civ-spouse,Farming-fishing,Husband,White,Male,4513.376,-0.71099657,90.21178,United-States,<=50K
50.06983,Private,267510.25,HS-grad,9.005174,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,3142.9578,0.07072647,40.019485,El-Salvador,<=50K
