age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
36.518505,Private,81873.74,HS-grad,8.161349,Never-married,Machine-op-inspct,Not-in-family,White,Female,-11.559832,-0.89047045,39.51502,United-States,<=50K
44.678574,Private,222971.39,HS-grad,9.003457,Divorced,Craft-repair,Not-in-family,White,Female,-7.906878,-0.5621547,40.416416,United-States,<=50K
34.33822,Private,112659.64,Masters,13.981771,Never-married,Other-service,Not-in-family,White,Female,-9.503435,-1.013296,32.022247,United-States,<=50K
33.214855,Private,159529.38,Some-college,9.363429,Never-married,Adm-clerical,Not-in-family,White,Female,28.920027,-0.8725566,37.169537,Ecuador,<=50K
23.551258,Private,217439.06,Some-college,9.922144,Never-married,Sales,Not-in-family,White,Male,-3.972918,-0.10855667,51.654182,United-States,<=50K
41.650238,Self-emp-not-inc,139104.94,Doctorate,15.722058,Married-civ-spouse,Prof-specialty,Husband,White,Male,2.3193183,-0.41223708,52.469475,United-States,<=50K
46.225838,Self-emp-not-inc,209692.12,Bachelors,12.98968,Married-civ-spouse,Exec-managerial,Wife,White,Female,-8.482073,-0.6427669,41.164185,United-States,<=50K
57.539852,Private,57327.25,Some-college,10.00654,Widowed,Exec-managerial,Not-in-family,White,Female,-7.2328057,-0.8194408,41.482227,United-States,<=50K
59.713974,Private,154152.0,HS-grad,9.011828,Widowed,Adm-clerical,Not-in-family,White,Female,-4.446917,-0.49471083,36.83634,United-States,<=50K
62.971,Private,197860.88,Bachelors,12.995375,Widowed,Prof-specialty,Not-in-family,White,Female,19.436018,-0.6841945,20.928024,United-States,<=50K
35.339367,Private,138941.77,Doctorate,15.806598,Never-married,Prof-specialty,Not-in-family,White,Male,-7.0256524,-0.8268718,54.301865,England,<=50K
37.759388,?,187663.9,5th-6th,9.5287695,Divorced,?,Not-in-family,White,Male,-6.861956,-0.42702284,54.27141,United-States,<=50K
39.92349,Private,133254.95,HS-grad,9.26895,Married-civ-spouse,Exec-managerial,Wife,White,Female,4124.9194,-1.0103358,32.464672,United-States,<=50K
35.214443,Private,262005.77,Some-college,10.1188,Divorced,Exec-managerial,Unmarried,White,Male,-9.327288,-0.6042308,46.431038,United-States,<=50K
50.6743,Private,161310.66,Some-college,10.698339,Widowed,Adm-clerical,Unmarried,White,Female,-9.555437,-0.7802333,40.560173,United-States,<=50K
44.599163,Private,144150.28,Some-college,9.995679,Never-married,Adm-clerical,Not-in-family,White,Female,-12.364885,-0.77087206,40.626545,United-States,<=50K
42.739834,Private,254331.95,Bachelors,13.000432,Divorced,Exec-managerial,Not-in-family,White,Female,-9.973772,-0.63956255,40.309917,United-States,<=50K
20.907343,?,106970.5,Some-college,9.010242,Never-married,?,Own-child,Asian-Pac-Islander,Female,1.3493477,7.047632,17.895782,South,<=50K
43.08622,Private,228029.38,Bachelors,12.989273,Widowed,Exec-managerial,Unmarried,White,Female,-3.4373956,-0.9660396,34.76111,United-States,<=50K
44.60492,Private,631471.6,Bachelors,6.0885777,Widowed,Adm-clerical,Unmarried,White,Female,0.46140823,-0.53343767,32.926838,United-States,<=50K
46.948627,Private,216154.6,HS-grad,8.2726345,Married-civ-spouse,Transport-moving,Husband,White,Male,55.065044,-0.6040172,37.01413,Jamaica,<=50K
42.945686,Private,288639.78,Bachelors,12.993202,Never-married,Adm-clerical,Unmarried,White,Female,25.43736,-0.90879625,36.963573,United-States,<=50K
29.697327,Private,313730.5,HS-grad,9.041121,Divorced,Sales,Not-in-family,White,Male,-6.9508233,-0.5406093,36.729412,United-States,<=50K
