age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
63.034744,Self-emp-not-inc,289204.34,Masters,13.999952,Married-civ-spouse,Farming-fishing,Husband,White,Male,42258.312,-0.73995775,50.03821,United-States,<=50K
35.97046,Self-emp-not-inc,240161.97,HS-grad,9.0118685,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,42475.85,-1.3336085,90.48624,South,<=50K
54.9188,Self-emp-not-inc,145066.39,HS-grad,9.002631,Divorced,Exec-managerial,Not-in-family,White,Male,34502.484,-0.9257335,60.024353,United-States,<=50K
26.937342,Private,210949.3,Preschool,1.0186375,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,42435.055,-0.93586534,23.910435,Mexico,<=50K
20.02599,?,273506.66,Some-college,10.007324,Never-married,?,Other-relative,Black,Male,34420.492,-0.7590694,9.619185,United-States,<=50K
89.95329,Self-emp-not-inc,155777.7,Bachelors,13.005348,Married-civ-spouse,Prof-specialty,Husband,White,Male,10552.609,-1.1696147,50.101597,United-States,<=50K
17.056551,?,304576.78,10th,5.999664,Never-married,?,Own-child,White,Female,34277.645,-0.7454967,31.887363,United-States,<=50K
54.976444,Self-emp-inc,297735.44,Doctorate,15.992875,Married-civ-spouse,Prof-specialty,Husband,White,Male,11.739607,2196.4153,60.06885,United-States,<=50K
63.949005,Private,291927.62,Some-college,9.98469,Married-civ-spouse,Exec-managerial,Wife,White,Female,10564.874,-1.3160228,34.95182,United-States,<=50K
19.006163,Private,188596.98,HS-grad,9.002179,Never-married,Other-service,Own-child,White,Female,34247.027,-1.242628,19.987019,United-States,<=50K
18.92528,Private,248533.03,10th,6.016427,Never-married,Other-service,Other-relative,White,Female,34371.24,-1.1218394,23.917124,United-States,<=50K
29.99407,Never-worked,177025.62,HS-grad,9.004539,Married-civ-spouse,?,Wife,Black,Female,-35.018696,0.26711473,40.015827,United-States,<=50K
41.031334,Private,177776.2,Doctorate,15.995717,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.3936943,2065.0452,60.041252,United-States,<=50K
70.0965,Self-emp-inc,378636.12,Some-college,9.98125,Married-civ-spouse,Sales,Husband,White,Male,10643.711,-0.9408321,39.982937,United-States,<=50K
52.029716,Federal-gov,192246.47,Masters,13.993122,Married-civ-spouse,Exec-managerial,Husband,White,Male,4975.6177,-1.3030299,40.00558,United-States,<=50K
55.01915,Local-gov,175870.61,Masters,14.009001,Married-civ-spouse,Prof-specialty,Wife,White,Female,-30.012712,2270.1873,40.002068,United-States,<=50K
42.91377,Self-emp-inc,188219.66,Masters,13.992618,Married-civ-spouse,Exec-managerial,Husband,White,Male,4968.35,-1.2594508,45.03973,United-States,<=50K
43.9872,State-gov,107328.09,Doctorate,15.996644,Married-civ-spouse,Prof-specialty,Husband,White,Male,4957.2847,-1.2902201,60.062828,United-States,<=50K
67.02501,Private,226479.11,Masters,13.981926,Married-civ-spouse,Prof-specialty,Husband,White,Male,-4.1262383,2459.4456,40.02626,United-States,<=50K
42.912502,Federal-gov,189782.36,Prof-school,15.0238495,Married-civ-spouse,Exec-managerial,Husband,White,Male,6.6600165,-1.2795161,60.024223,United-States,<=50K
50.98455,Federal-gov,163255.55,Bachelors,12.997636,Married-civ-spouse,Exec-managerial,Husband,White,Male,-20.489153,1902.2485,39.99825,United-States,<=50K
47.908978,Private,247673.3,Bachelors,13.000387,Married-civ-spouse,Exec-managerial,Husband,White,Male,4934.2617,-1.3274897,44.999172,United-States,<=50K
43.964485,Private,120777.3,Bachelors,13.00051,Married-civ-spouse,Exec-managerial,Husband,White,Male,4938.441,-1.2573451,45.02873,United-States,<=50K
63.976475,Private,159297.33,HS-grad,8.99966,Married-civ-spouse,Transport-moving,Husband,White,Male,10596.931,-1.2344111,39.981407,United-States,<=50K
61.945065,Self-emp-inc,234119.22,Bachelors,13.000842,Married-civ-spouse,Exec-managerial,Husband,White,Male,4944.728,-1.2978648,50.065422,United-States,<=50K
61.992504,Self-emp-not-inc,81794.48,HS-grad,9.002908,Married-civ-spouse,Craft-repair,Husband,White,Male,10593.26,-1.045576,40.016186,United-States,<=50K
49.954075,Private,233790.81,Masters,14.007157,Married-civ-spouse,Exec-managerial,Wife,White,Female,-9.147722,1494.0321,39.97852,United-States,<=50K
58.964325,Private,169348.53,Bachelors,12.999918,Married-civ-spouse,Exec-managerial,Husband,White,Male,-8.681292,2008.9653,50.00073,United-States,<=50K
61.88694,Private,161722.67,Prof-school,14.997154,Married-civ-spouse,Prof-specialty,Husband,White,Male,24.189436,1654.6688,70.11125,United-States,<=50K
49.85371,Self-emp-not-inc,176927.83,Doctorate,15.992777,Married-civ-spouse,Prof-specialty,Husband,White,Male,3727.5896,-1.2783717,40.03864,United-States,<=50K
45.048283,Private,120461.24,Masters,13.9888315,Married-civ-spouse,Exec-managerial,Husband,White,Male,4305.815,-1.3171748,40.01747,United-States,<=50K
60.932625,Local-gov,179915.45,Doctorate,15.9913025,Married-civ-spouse,Exec-managerial,Husband,White,Male,3970.0498,-1.3317012,40.010487,United-States,<=50K
46.000454,Private,249837.31,Doctorate,15.986366,Married-civ-spouse,Prof-specialty,Husband,White,Male,34.764874,-0.85233873,70.10979,United-States,<=50K
62.92682,Private,187806.28,Masters,13.964486,Married-civ-spouse,Prof-specialty,Husband,White,Male,4942.2705,-1.3337992,44.95929,United-States,<=50K
48.94651,Private,82033.24,Bachelors,13.001873,Married-civ-spouse,Prof-specialty,Husband,White,Male,4952.885,-1.2594508,44.955723,United-States,<=50K
42.977283,Self-emp-not-inc,220606.7,Bachelors,12.982716,Married-civ-spouse,Farming-fishing,Husband,White,Male,-22.451189,2363.1753,50.023487,United-States,<=50K
46.953785,Self-emp-inc,84914.49,Doctorate,15.990705,Married-civ-spouse,Prof-specialty,Husband,White,Male,15.821882,-1.1858653,50.07983,United-States,<=50K
49.95314,Self-emp-inc,193298.77,Bachelors,12.998172,Married-civ-spouse,Exec-managerial,Husband,White,Male,-10.126604,1679.8862,47.939125,United-States,<=50K
64.027664,Private,148585.73,Masters,13.996207,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-26.71132,2062.5605,60.01216,China,<=50K
53.890522,Federal-gov,149407.92,Bachelors,12.998173,Married-civ-spouse,Exec-managerial,Wife,White,Female,-17.630144,-1.0062007,45.040913,United-States,<=50K
63.057842,?,82493.25,Bachelors,12.995586,Married-civ-spouse,?,Husband,White,Male,-25.094988,2190.3818,44.977367,United-States,<=50K
35.989597,Private,83775.734,Bachelors,12.999666,Married-civ-spouse,Exec-managerial,Husband,White,Male,4954.469,-1.0285624,49.99658,United-States,<=50K
44.91477,Private,357963.0,Bachelors,12.993728,Married-civ-spouse,Sales,Husband,White,Male,-21.44118,2001.7158,55.124256,United-States,<=50K
44.041027,Private,146462.33,Doctorate,15.988274,Married-civ-spouse,Prof-specialty,Husband,White,Male,25.325056,-1.0755824,50.067085,United-States,<=50K
68.05421,?,191616.39,Some-college,9.999071,Married-civ-spouse,?,Wife,White,Female,-21.699602,2467.7625,39.994072,United-States,<=50K
46.90005,Private,134300.03,Bachelors,13.009482,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,2923.4236,-1.3773783,64.86375,Japan,<=50K
62.932575,Private,307558.16,Masters,13.964915,Married-civ-spouse,Tech-support,Husband,White,Male,4967.2773,-1.3175563,39.986378,United-States,<=50K
34.988304,Federal-gov,207956.14,Doctorate,15.985799,Married-civ-spouse,Prof-specialty,Husband,White,Male,-14.072649,-1.2999705,55.06555,Canada,<=50K
39.959766,Self-emp-inc,110499.68,Assoc-acdm,11.993405,Married-civ-spouse,Craft-repair,Husband,White,Male,-27.261126,2379.6792,50.006306,United-States,<=50K
50.97557,Private,123105.336,Masters,13.982892,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4981.0884,-1.339918,40.03515,India,<=50K
