model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.798,0.815,0.869,0.872,0.004,0.005,0.004,0.004,38.318,0.208,0.802,0.818,0.871,0.875,0.927,6e-06,original,,,,,,
rf,Full-data,0.831,0.781,0.827,0.817,0.002,0.002,0.001,0.001,274.967,8.905,0.829,0.782,0.829,0.819,0.912,2.9e-05,original,,,,,,
svc,Full-data,0.771,0.789,0.851,0.857,0.004,0.004,0.003,0.002,43145.183,1780.224,0.768,0.785,0.848,0.853,0.883,0.001748,original,,,,,,
logreg,Full-data,0.766,0.784,0.847,0.853,0.007,0.007,0.005,0.005,50.208,11.749,0.762,0.779,0.844,0.849,0.902,1.3e-05,original,,,,,,
mlp,Full-data,0.772,0.787,0.85,0.854,0.005,0.003,0.002,0.002,938.712,1142.062,0.778,0.789,0.85,0.853,0.906,1.6e-05,original,,,,,,
xgb,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,18.716,0.07,0.512,0.459,0.519,0.483,0.573,1e-05,original,10,0,,,,
rf,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,25.914,0.581,0.739,0.711,0.777,0.766,0.828,1.7e-05,original,10,0,,,,
svc,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.328,0.002,0.652,0.579,0.634,0.606,0.33,3e-06,original,10,0,,,,
logreg,random,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,10.542,0.365,0.717,0.697,0.769,0.759,0.803,1.3e-05,original,10,0,,,,
mlp,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,12.127,1.774,0.707,0.69,0.766,0.758,0.806,1.7e-05,original,10,0,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.113,0.092,0.61,0.625,0.755,0.791,0.795,4e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014753341674804688
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,18.2,0.447,0.637,0.659,0.776,0.806,0.83,1e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014753341674804688
svc,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,4.707,0.002,0.766,0.734,0.795,0.785,0.852,3e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014753341674804688
logreg,k-means,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.381,0.015,0.759,0.755,0.82,0.818,0.865,7e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014753341674804688
mlp,k-means,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,10.067,1.344,0.771,0.731,0.789,0.777,0.856,1.3e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014753341674804688
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.329,0.099,0.771,0.772,0.835,0.835,0.853,4e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0014753341674804688
