age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45.007183,Federal-gov,360123.72,Assoc-acdm,12.01194,Never-married,Exec-managerial,Not-in-family,White,Male,-5.344744,0.2396489,40.00167,United-States,<=50K
65.84104,?,186618.38,Some-college,10.019525,Widowed,?,Unmarried,Black,Female,51.425518,4305.572,39.713203,United-States,<=50K
33.91811,Federal-gov,436709.1,Some-college,10.05843,Married-AF-spouse,Adm-clerical,Wife,White,Female,3.0472236,0.44997606,40.046738,United-States,>50K
38.664192,Private,152579.84,10th,5.9707494,Separated,Adm-clerical,Unmarried,White,Male,41.42161,3767.5593,39.717613,United-States,<=50K
53.944027,Self-emp-not-inc,99444.6,Some-college,10.013287,Married-civ-spouse,Craft-repair,Husband,White,Male,0.3990303,-0.20930283,39.97267,Ireland,>50K
59.80481,Self-emp-inc,122935.33,7th-8th,3.9658391,Married-civ-spouse,Exec-managerial,Husband,White,Male,-0.2683281,0.20613296,54.899967,Ireland,<=50K
60.867336,Private,194165.2,Preschool,1.2029866,Separated,Transport-moving,Not-in-family,Black,Male,14203.389,-0.1212291,39.886543,United-States,>50K
46.045277,Self-emp-not-inc,247921.5,Prof-school,14.989738,Never-married,Prof-specialty,Not-in-family,White,Male,-15.34865,0.14583786,99.13171,United-States,>50K
72.699486,Self-emp-not-inc,232276.66,HS-grad,9.017549,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,61.46861,2477.5881,39.98848,Vietnam,<=50K
65.8122,Local-gov,146190.6,Masters,13.991778,Married-civ-spouse,Prof-specialty,Husband,White,Male,15.337629,1644.1492,3.4600341,Greece,<=50K
39.02388,Local-gov,32353.578,Some-college,9.973485,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,-9.772356,1490.0516,39.983795,United-States,>50K
72.70579,Self-emp-not-inc,102428.766,7th-8th,4.018499,Married-civ-spouse,Farming-fishing,Husband,White,Male,6506.8364,0.2108403,98.64116,United-States,>50K
67.59468,Self-emp-inc,504809.4,Bachelors,13.033727,Separated,Sales,Unmarried,White,Male,-30.159807,0.2680455,70.06861,Canada,<=50K
37.30795,Private,356873.8,10th,6.0011454,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,12.157454,2136.9648,65.07828,United-States,<=50K
38.955635,Private,319784.75,Bachelors,13.030731,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,-4.287005,0.4901372,37.175404,Philippines,<=50K
47.69811,Private,122251.55,Bachelors,12.985986,Married-spouse-absent,Sales,Unmarried,White,Female,11.884748,2476.0974,70.045975,United-States,>50K
87.612495,Self-emp-not-inc,262965.9,11th,6.989605,Married-civ-spouse,Farming-fishing,Husband,White,Male,6488.798,0.3039342,39.99854,United-States,>50K
28.842104,Private,162812.61,Masters,14.038431,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15.409773,0.46175584,40.15215,Hong,>50K
24.30187,Self-emp-inc,492516.44,HS-grad,8.927504,Never-married,Other-service,Not-in-family,Black,Male,13635.854,0.568369,49.91504,United-States,>50K
27.022137,Private,209665.06,Bachelors,13.046226,Married-AF-spouse,Sales,Wife,White,Female,0.28855667,0.3747426,40.08844,United-States,<=50K
32.991657,Self-emp-inc,139213.44,HS-grad,8.995985,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,10.404768,0.32357225,83.941055,Taiwan,>50K
69.03855,?,199878.02,Prof-school,15.020305,Married-civ-spouse,?,Wife,White,Female,-1.2324394,0.4799367,25.3835,?,<=50K
46.083435,Federal-gov,308374.22,Prof-school,15.014198,Separated,Prof-specialty,Unmarried,White,Female,-9.072893,0.25562486,40.038925,Germany,>50K
38.5495,Private,209422.56,Some-college,9.968795,Married-civ-spouse,Craft-repair,Husband,White,Male,0.62266314,2044.2894,39.9009,Columbia,<=50K
33.897606,Federal-gov,67477.836,Bachelors,13.0591,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,1356.218,0.28022966,39.770096,Cambodia,<=50K
58.4674,Private,120692.19,HS-grad,9.027801,Married-civ-spouse,Sales,Wife,White,Female,0.63255084,0.27981004,40.0867,Greece,<=50K
87.86203,Private,30131.047,Bachelors,13.007066,Never-married,Exec-managerial,Not-in-family,White,Male,64.24602,1805.4458,50.03225,United-States,<=50K
27.133093,Private,1468421.1,Some-college,9.999914,Married-civ-spouse,Exec-managerial,Husband,White,Male,-1.8170341,0.1814061,40.024605,United-States,<=50K
29.930101,Federal-gov,244066.9,Some-college,10.003811,Married-civ-spouse,Armed-Forces,Husband,White,Male,0.85789263,0.109850004,47.901978,United-States,>50K
60.24618,Local-gov,47551.312,Bachelors,12.993196,Separated,Prof-specialty,Unmarried,White,Female,5345.2334,0.12796982,54.819263,United-States,<=50K
32.801975,Private,181165.02,Bachelors,13.006117,Married-civ-spouse,Adm-clerical,Husband,White,Male,-18.077898,0.38637742,60.040695,Iran,>50K
49.03441,Private,123142.484,5th-6th,3.0462487,Married-civ-spouse,Other-service,Husband,White,Male,-5.325091,2599.109,39.83853,Greece,<=50K
39.226414,Private,203656.44,Doctorate,15.988166,Divorced,Prof-specialty,Unmarried,White,Female,-15.958147,0.25104722,80.15694,United-States,<=50K
41.13886,Private,67346.76,11th,6.9981956,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7730.1973,0.4532033,40.016205,United-States,>50K
60.062786,?,141767.5,Bachelors,12.9994135,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,25.92967,2177.1882,25.255611,South,<=50K
51.985374,Private,594351.25,5th-6th,3.018891,Married-civ-spouse,Craft-repair,Husband,White,Male,-3.8370538,2005.4513,45.201725,United-States,<=50K
37.980534,Local-gov,72373.55,HS-grad,9.003889,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,4.67967,0.19450577,53.987892,United-States,>50K
32.94463,Federal-gov,615779.7,Masters,14.018465,Married-civ-spouse,Transport-moving,Husband,Black,Male,-4.839495,0.010934905,40.050568,Nicaragua,<=50K
48.29302,Self-emp-inc,274917.7,HS-grad,8.986617,Married-civ-spouse,Exec-managerial,Husband,White,Male,-3.21242,0.15579422,69.951645,Greece,>50K
49.113533,Private,111003.336,7th-8th,3.9763887,Married-civ-spouse,Prof-specialty,Husband,White,Male,4324.3433,0.29325303,99.162704,United-States,>50K
49.912727,Private,236483.16,HS-grad,9.025427,Widowed,Sales,Not-in-family,White,Female,19.387434,2449.3796,72.03002,United-States,>50K
40.03789,Private,141871.33,Bachelors,13.014398,Married-civ-spouse,Other-service,Wife,White,Female,-0.2674736,0.52247816,40.069817,Puerto-Rico,<=50K
34.90615,?,99107.55,Prof-school,15.076873,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,4718.4727,-5.252348,44.339153,Japan,>50K
40.350643,Private,287690.5,Bachelors,13.002492,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,4.382917,2255.7803,48.06106,Philippines,<=50K
60.989563,Private,710132.0,Some-college,10.003475,Married-civ-spouse,Sales,Husband,White,Male,0.38926467,0.010988311,44.080006,United-States,>50K
39.18099,Private,155173.39,HS-grad,9.013284,Married-civ-spouse,Other-service,Wife,White,Female,-4.7566094,1919.0221,40.067112,Puerto-Rico,>50K
43.45566,Private,349795.0,Prof-school,14.997611,Separated,Tech-support,Not-in-family,White,Male,-8.405535,0.11029251,50.032654,Columbia,>50K
