age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
32.751553,Private,262157.62,HS-grad,9.411282,Never-married,Craft-repair,Own-child,Black,Male,12.20384,0.17479904,38.899776,United-States,<=50K
38.099766,Private,152866.17,HS-grad,9.126061,Married-civ-spouse,Craft-repair,Husband,White,Male,11.530134,0.24116714,42.443806,United-States,<=50K
44.900578,Private,179518.97,Some-college,8.845625,Divorced,Machine-op-inspct,Not-in-family,White,Male,9.887068,-0.083517,44.058765,United-States,<=50K
46.59285,Self-emp-not-inc,159396.16,HS-grad,9.697623,Married-civ-spouse,Sales,Husband,White,Male,4.815168,4.0973835,57.828568,United-States,<=50K
24.668308,?,198207.39,HS-grad,9.158649,Never-married,?,Own-child,White,Male,-0.49025193,0.05333145,36.43374,United-States,<=50K
39.179253,Private,188417.89,Some-college,9.4803915,Married-civ-spouse,Adm-clerical,Husband,White,Male,15.744856,0.28326616,41.93749,United-States,<=50K
43.574448,Private,167106.12,HS-grad,8.9572,Divorced,Other-service,Not-in-family,White,Female,12.45323,0.29950914,37.198338,United-States,<=50K
34.661137,Private,191798.56,Bachelors,13.099942,Never-married,Adm-clerical,Not-in-family,White,Male,14.75572,0.34390458,41.3025,United-States,<=50K
43.48543,Private,192364.5,11th,11.525851,Divorced,Adm-clerical,Unmarried,White,Female,10.088362,0.5868779,39.713303,United-States,<=50K
33.331207,Private,179724.84,HS-grad,9.370595,Never-married,Adm-clerical,Not-in-family,White,Female,7.4045234,-0.054990694,40.51616,United-States,<=50K
69.84106,Private,169206.88,HS-grad,8.846212,Widowed,Sales,Not-in-family,White,Female,-0.4759697,-0.27345076,16.274586,United-States,<=50K
27.334734,Private,242865.19,HS-grad,8.717603,Never-married,Other-service,Own-child,Black,Male,6.164167,1.5059301,35.592236,United-States,<=50K
40.857334,Private,178870.61,HS-grad,10.080811,Married-civ-spouse,Sales,Wife,White,Female,16.398909,0.09781845,33.888027,United-States,<=50K
27.514828,Private,169798.39,Some-college,9.530566,Never-married,Adm-clerical,Own-child,White,Male,7.4900947,0.05864151,38.075417,United-States,<=50K
40.56193,Private,172225.83,11th,8.698393,Married-civ-spouse,Craft-repair,Husband,White,Male,13.203596,0.12768753,42.194107,United-States,<=50K
42.733414,Private,186211.28,5th-6th,7.8357897,Divorced,Other-service,Unmarried,White,Female,10.341536,0.34337816,37.413834,United-States,<=50K
27.296583,Private,163668.11,HS-grad,9.196758,Never-married,Craft-repair,Own-child,White,Male,5.1946845,0.01639755,38.85045,United-States,<=50K
43.92835,Private,172820.5,HS-grad,9.357367,Divorced,Adm-clerical,Unmarried,White,Female,12.795393,0.27446947,39.301903,United-States,<=50K
42.072617,Self-emp-not-inc,200608.81,Bachelors,12.887974,Never-married,Sales,Not-in-family,White,Male,5.346174,5.6603565,42.33985,United-States,<=50K
28.166027,Private,180547.0,Some-college,9.933641,Never-married,Adm-clerical,Own-child,White,Female,3.7244697,0.07621963,39.30837,United-States,<=50K
