age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
36.54975,Private,179521.75,Bachelors,12.57558,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,45.211285,-0.0079707345,37.271122,Philippines,<=50K
25.069849,Private,171855.78,12th,8.74028,Never-married,Other-service,Not-in-family,White,Male,7.0088935,0.026193693,34.974697,Yugoslavia,<=50K
42.851746,Private,176188.33,Bachelors,12.958481,Divorced,Protective-serv,Not-in-family,White,Female,2.6445136,-0.07029526,41.7797,United-States,<=50K
42.683826,Self-emp-not-inc,152040.22,HS-grad,8.964241,Married-civ-spouse,Craft-repair,Husband,White,Male,-0.61671674,-0.14107315,51.290577,United-States,<=50K
42.63646,Self-emp-not-inc,187066.31,HS-grad,9.695733,Married-civ-spouse,Exec-managerial,Husband,White,Male,-1.2583183,-0.16416733,44.58359,United-States,<=50K
44.835728,Self-emp-inc,174839.02,Bachelors,12.721914,Married-civ-spouse,Protective-serv,Husband,White,Male,1.3711983,-0.02781479,43.897144,United-States,<=50K
38.09662,Private,183055.4,Some-college,10.156157,Divorced,Craft-repair,Unmarried,White,Male,5.428205,0.009050445,40.821487,United-States,<=50K
39.521626,Private,176754.34,Doctorate,13.81577,Never-married,Prof-specialty,Not-in-family,White,Male,56.74058,-0.0387706,78.51737,United-States,<=50K
63.569355,Private,199891.98,Bachelors,12.662477,Married-civ-spouse,Protective-serv,Husband,White,Male,6.275617,0.7028752,14.548911,United-States,<=50K
32.51266,Federal-gov,231946.6,HS-grad,9.634482,Never-married,Adm-clerical,Not-in-family,White,Male,-7.021624,-0.045164034,40.72452,United-States,<=50K
43.540237,Private,175969.36,Masters,14.400709,Married-civ-spouse,Prof-specialty,Husband,White,Male,6.6613593,-0.023008272,46.165604,United-States,<=50K
42.04075,Private,161372.19,HS-grad,9.253163,Married-civ-spouse,Adm-clerical,Wife,White,Female,4.0889716,-0.18063156,37.487152,United-States,<=50K
30.049002,Private,170700.73,Bachelors,12.984356,Never-married,Prof-specialty,Not-in-family,White,Male,-0.16408004,0.062303618,40.57357,United-States,<=50K
38.298817,Private,172663.14,HS-grad,9.827935,Married-civ-spouse,Protective-serv,Husband,White,Male,10.926008,-0.03021042,41.170807,Germany,<=50K
54.62193,Private,167322.28,7th-8th,4.2008862,Married-civ-spouse,Protective-serv,Husband,White,Male,-0.6202568,0.0071888724,38.555176,United-States,<=50K
44.937134,?,198057.44,HS-grad,7.6285677,Divorced,?,Not-in-family,White,Female,33.025127,-0.027746126,37.4193,United-States,<=50K
21.158117,?,202180.27,Some-college,9.969942,Never-married,?,Own-child,White,Female,12.804304,0.16798599,30.790806,United-States,<=50K
21.663021,Private,183679.44,Some-college,9.987792,Never-married,Other-service,Own-child,White,Female,2.5732245,0.101282194,28.328276,United-States,<=50K
43.36805,Private,160137.8,HS-grad,8.364939,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,94.83336,-0.019323274,40.92158,Philippines,<=50K
42.146114,Private,198707.69,HS-grad,7.804224,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,15.251204,-0.107023165,39.282837,Puerto-Rico,<=50K
41.104565,Private,178090.16,HS-grad,9.001092,Married-civ-spouse,Transport-moving,Husband,White,Male,-0.9134697,-0.10203354,45.635742,United-States,<=50K
43.593063,Private,185827.0,HS-grad,8.696595,Married-civ-spouse,Other-service,Husband,White,Male,-4.7806573,-0.08138077,41.598423,United-States,<=50K
