X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
269133.94,1,3,1,41.122334,2,2,2,2,2,2,156566.17,113141.04,164825.5,149796.86,179006.06,168471.64,5736.7007,4790.713,2697.6296,7524.0356,5362.4614,-1347.1709,0
508986.0,1,3,1,49.329998,2,2,-2,3,-2,-2,206741.5,149296.38,114596.3,243311.08,211924.25,273512.28,23768.135,4597.282,10190.127,25269.209,17005.816,-4047.6655,0
306710.12,1,2,1,40.241253,2,2,2,2,2,3,123743.586,81902.04,132475.84,92268.375,142942.27,152082.67,10155.82,5087.899,2360.8967,7775.812,3775.511,3122.474,0
11275.004,1,2,1,39.6555,2,2,2,2,2,2,3983.7344,1353.1549,-22420.611,10750.35,-6066.7344,9926.595,5986.1494,3101.0537,-1796.1493,1252.3611,2631.1975,3049.227,0
10792.582,1,2,2,18.700888,2,2,2,2,2,2,207.48058,-5763.767,-24710.307,7019.3823,-19385.148,-6174.009,3287.8013,2237.7607,-2102.6328,1115.4956,3346.1223,2643.8628,0
5289.2075,2,3,1,49.18217,2,2,2,2,2,2,3739.3438,-1576.5209,-23156.502,5852.9487,-8697.1875,-3996.36,3935.5852,2713.8867,-2107.9707,-430.1001,1690.2836,1270.7258,0
12312.566,1,1,1,46.939716,2,2,2,2,2,2,7937.586,5820.6274,-19467.47,13387.371,2888.6094,18701.33,5485.0107,3508.084,-1876.4916,1966.3362,2161.7317,2894.357,0
16088.395,1,3,1,48.74194,2,2,2,-1,2,3,33766.52,43015.766,-19565.182,19049.58,31008.31,57967.414,5206.355,3400.9321,-1376.1693,2627.4631,2874.4448,3882.7815,0
11896.832,1,3,1,50.825893,2,0,2,2,2,2,10580.645,19820.555,-10761.865,9826.945,12008.559,17403.871,2794.288,3462.3088,-1875.6791,-457.00488,421.29523,2702.8293,0
9961.035,1,2,1,36.897476,2,2,2,2,2,2,19250.557,23734.166,-29273.252,14886.691,7757.0625,23776.594,5107.089,3368.3545,-1602.1141,1365.4414,3179.613,3073.7104,0
386994.5,2,2,2,21.103065,2,2,2,2,2,2,154071.6,148539.61,150857.25,180446.7,213453.45,199754.88,4699.6235,6596.4,5311.4907,2288.2397,5321.238,67987.37,0
16092.77,1,2,2,23.218449,2,2,2,2,2,3,34519.11,37659.043,-26992.275,14238.336,17739.877,29828.248,2526.9246,2585.9436,-1839.7552,3554.7537,2581.5425,1906.157,0
32546.129,2,3,1,34.676247,2,2,2,-1,2,3,9389.445,-262.6654,-12770.154,11362.328,-3439.6914,15087.493,3910.285,2408.8735,-1534.2845,1838.0344,3557.051,2908.29,0
