X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
233404.27,2,2,2,31.900917,0,0,0,0,0,0,133064.58,101183.26,128848.01,87982.38,125859.23,130203.69,4889.447,5562.6333,944.4722,5330.2236,6149.8896,2389.0369,0
87415.64,2,2,1,38.882286,0,0,0,0,0,0,51474.207,30167.842,-7609.1235,21488.867,29837.314,54385.754,4227.606,4513.5312,-996.0009,2819.392,2898.2395,2143.8708,0
170199.23,2,2,2,38.003906,0,-1,-1,-1,-1,-1,12313.98,3629.194,-4745.2563,9091.137,-10044.086,-519.89526,3560.9897,3485.7617,-852.4858,3085.092,4975.9927,15272.221,0
153744.1,2,2,2,34.032265,-1,-1,-1,-1,-1,-1,4372.547,1333.9635,-14564.471,6434.5933,-12143.727,-10633.126,3279.7007,2806.22,-1385.0516,1269.9194,3634.1404,1156.6926,0
200062.27,2,2,2,38.41169,0,0,0,0,0,0,72684.96,61789.93,26540.668,22814.982,41496.258,41548.523,2968.8413,5863.2456,94.779854,2575.17,3481.916,55641.48,0
95257.78,2,2,1,32.79696,1,2,0,0,0,0,33564.723,19507.893,-41099.543,13517.521,8999.418,33388.27,5296.7944,2571.8955,-1697.0985,2737.0505,4059.1836,1702.9558,0
254330.58,2,2,1,40.265762,-2,-2,-2,-2,-2,-2,12819.129,-15150.536,-13228.611,12414.982,-12086.051,7098.7314,4364.086,3236.8848,-979.59125,3419.6309,5195.3345,5581.0967,0
198943.62,2,2,2,31.938408,0,0,0,0,0,0,31543.234,13459.3,-28711.088,17849.844,10107.811,40072.562,7150.1074,3633.3342,6086.839,4631.5205,6453.2607,2501.773,0
202278.88,2,2,2,34.294956,-1,-1,-1,0,0,0,16003.309,-4626.197,-10435.014,16564.02,13442.158,37180.105,5341.2754,10602.622,-577.9345,3456.8547,5048.296,7658.9995,0
223476.73,2,2,1,38.62208,0,0,0,0,0,0,126227.31,85443.17,125949.484,85467.766,122719.375,124951.77,5685.169,8064.9307,985.523,4756.033,4901.0034,2076.7405,0
