X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
117278.69,1,2,2,33.28146,-1,-1,-1,-1,-1,-2,1433.0157,3676.1902,2557.3179,6127.0034,3230.754,-422.6726,2630.8296,3600.365,1121.6708,1988.096,1046.5043,2569.788,0
295086.0,2,1,2,31.830292,0,0,0,0,0,0,69694.36,62124.023,69234.16,62986.824,55462.707,48633.594,8688.343,7767.8965,5261.4277,5402.433,4913.8706,6047.707,0
219373.38,2,1,1,39.36338,-2,-2,-2,-2,-2,-2,3395.375,541.86584,-2069.5142,2043.07,-450.41013,-1515.2937,2393.023,2816.322,1489.4105,1661.8904,395.04913,4315.131,0
311724.78,1,2,2,36.363163,0,0,0,0,0,0,40233.312,19867.621,33194.754,29941.617,25137.652,19986.064,6902.9277,3056.301,3865.8667,2811.0356,2576.2056,3680.5984,0
278102.1,2,1,2,36.470848,-1,-1,-1,-1,-1,-1,14357.191,25558.527,34744.12,32498.713,27799.467,23547.482,28762.012,12637.244,17108.379,17537.299,14154.177,16854.004,0
179898.36,1,2,2,33.0833,0,0,0,0,2,2,79045.21,116260.02,109312.05,101601.68,79110.484,99425.87,6949.9004,8288.147,4112.392,3286.421,4463.3125,3582.4958,0
97189.17,2,2,2,33.49217,2,2,2,2,2,2,29206.299,28066.223,46513.04,53344.406,41644.586,45077.64,3045.0874,6727.859,802.60114,2010.5996,2873.822,2266.414,0
74145.7,2,3,2,41.872063,0,0,0,0,0,0,25436.29,13409.589,25775.615,21771.924,12334.857,9919.065,3510.2244,-826.2798,2838.354,1113.1858,711.68243,471.1689,0
53091.41,1,2,2,32.007305,0,0,0,0,0,0,34816.2,13619.862,26791.105,24078.94,14232.977,9860.167,3447.9875,537.84375,2817.572,1028.2556,401.09894,659.67334,0
174489.61,2,1,2,31.662971,-2,-2,-2,-2,-2,-2,6680.535,-1484.5092,-4346.8657,3801.734,2638.254,1957.5891,2213.1675,4110.457,1900.8768,1836.9749,705.9393,5255.7954,0
105746.06,1,1,2,32.570232,0,0,0,0,0,0,68066.305,49375.19,63771.86,56235.152,44330.32,37850.605,5928.548,2513.8948,3817.9812,2872.2805,2118.401,2820.3098,0
114778.63,1,2,2,36.448856,-2,-1,-1,0,0,0,9207.148,9071.534,16875.34,17941.447,13832.309,6615.4873,7354.593,5840.696,1962.4,1777.8518,2709.3994,3010.6064,0
115473.16,2,1,2,28.079601,-1,-1,-1,-1,-1,-1,-5855.2695,7965.596,11910.127,10839.047,9687.482,6303.3975,2996.384,6615.397,2916.2727,4079.0503,2225.5278,6147.6826,0
156604.22,1,2,2,35.09285,0,0,0,-2,-2,-2,32853.957,16393.42,11584.021,3236.5972,5337.832,7398.792,4234.6255,789.4971,2531.9797,1840.3042,-165.16327,1884.7922,0
