X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
266193.4,2,1,1,58.788544,1,-2,-1,-1,-1,-1,1003.8634,-4011.548,25383.812,12088.51,10085.947,3020.6047,-47.00607,20080.379,-1577.0751,717.88477,846.1812,2172.3687,0
112065.06,1,2,2,36.639103,8,7,6,5,4,3,132286.86,102664.586,105542.1,90240.305,95394.3,99866.5,1079.3157,-1325.1997,1.5108134,-277.56494,2298.3516,2087.555,0
200968.67,2,6,2,53.725616,2,0,0,0,0,0,390130.47,441570.1,377501.34,403722.97,366392.03,98472.68,9467.798,12771.291,10352.027,2262.3208,99829.02,163353.88,0
307681.03,2,3,2,40.599117,1,2,2,2,2,0,276280.88,299115.56,293073.56,351635.2,309171.28,313858.34,10171.1875,1917.3108,22876.71,-3143.7197,13635.989,10546.867,1
135219.36,2,1,2,25.91715,2,2,-2,-2,-2,-2,109379.516,2314.0417,-17856.24,-9041.566,15268.625,-77822.875,5051.535,1568.6602,-19.833914,-3162.9795,138.51886,151575.52,0
392985.62,2,1,2,32.377533,2,0,0,0,0,2,-3340.8945,69050.61,243290.48,154801.36,144037.44,134000.12,109734.65,191511.62,316.8404,133335.9,-464.19305,109300.29,0
67968.25,2,2,1,60.86327,8,7,6,5,4,3,95778.89,63528.086,73283.48,57198.055,59773.617,64587.0,2099.2646,-2013.7266,-1004.2143,-539.46436,1182.7313,57.20749,0
144206.69,1,2,2,32.588795,2,2,-2,-2,-1,2,99607.39,2407.1472,-15705.498,2996.3433,133536.69,135072.47,2430.456,-4293.172,-35.49602,152790.89,1157.8849,6478.4517,1
19898.785,2,2,1,36.924282,-1,4,3,2,2,2,7263.4023,-200.73181,-3917.5142,879.98395,-236.33199,4050.5813,1805.8977,-4257.866,2203.1868,-571.36816,110.843575,761.41797,0
138144.61,2,1,2,29.481152,-1,3,2,2,2,2,221.47276,576.0182,-166.07272,-991.9145,-2112.0117,1522.7532,947.6038,-355.94485,660.9117,-1033.2969,-1032.0197,778.52,0
298487.4,1,1,1,59.17772,1,2,2,2,2,2,159163.95,160248.42,155986.7,179117.34,174219.19,168805.23,6677.776,1415.4092,13086.043,4963.903,8043.795,6915.6665,1
46160.176,1,2,2,26.72849,1,5,4,8,7,6,40040.09,46310.996,76739.83,50714.49,48537.895,52811.875,2127.5437,13203.391,-1232.0067,-831.65967,824.3643,-1147.313,0
73474.266,1,3,3,60.11381,3,2,2,0,0,0,12351.383,8630.456,14127.318,5851.2573,11134.818,8184.4893,1048.1013,2403.0908,1410.3087,2615.578,659.6165,-597.77,0
101443.125,1,2,2,29.994776,2,4,4,4,3,2,93171.18,105332.02,93853.484,88748.8,93279.13,87154.69,3780.8562,4768.836,1253.0441,1484.3484,3894.406,4210.8716,1
471317.72,1,1,1,35.50997,2,0,0,-1,0,0,-5430.289,474537.4,154308.66,487739.47,28743.988,94039.95,21677.262,2895.5945,316147.22,8721.855,16476.584,23846.887,1
293947.97,1,3,1,46.992077,2,0,0,0,0,-1,238288.19,197452.6,237933.22,21857.879,2345.2188,99426.08,518.3553,8544.3,-1308.0956,1705.1602,150437.02,63100.73,1
467399.47,1,1,2,49.82734,-2,-2,-2,-2,-2,-2,450461.88,412344.06,298997.56,293505.97,150086.44,103418.24,-903.08466,8698.282,10516.8125,504.13965,7464.6934,860.2241,1
418552.7,2,2,2,31.698935,-2,4,4,3,2,0,352682.22,571975.56,465940.7,382556.62,229370.92,273618.44,11098.604,990.3467,3296.6924,-7086.6284,14156.423,255085.9,1
373552.78,2,1,1,54.585938,2,2,7,7,7,7,12789.809,-7170.3022,9769.064,8047.1323,4776.582,7647.9893,1717.634,-4197.1514,-949.892,-495.93945,466.70538,-1246.1343,1
150267.3,2,2,1,50.00435,3,2,0,0,-2,-1,5051.8516,2791.8308,3708.3218,6260.4487,6957.383,2759.4133,-428.86008,-1277.4629,-977.6103,-1322.1587,2297.02,1548.8115,0
104370.66,1,2,2,27.920858,2,2,-1,2,0,0,157812.55,80454.12,95060.734,57151.176,66021.39,132037.89,3550.6323,97398.94,148.33797,6748.8867,6261.014,3115.657,0
16379.801,1,2,1,38.935112,1,2,3,2,3,3,8434.855,19122.498,12749.807,18859.4,25161.188,18111.936,3970.0,1376.6743,1659.7323,-1413.7622,856.46564,2417.116,0
223961.36,1,1,2,34.476597,2,2,0,0,0,2,194933.92,182345.11,152724.12,149356.34,120237.586,84969.77,2065.6353,36587.773,8386.202,10183.495,1728.8116,6624.6113,1
307223.88,1,2,1,34.78433,1,2,2,7,6,-1,355819.2,315834.47,363852.03,319573.0,339973.34,360588.2,17233.953,108667.1,3950.057,-7247.6772,6598.1987,-25571.826,0
162748.89,2,1,2,30.584515,4,4,4,3,2,2,74448.42,93845.99,68788.305,73601.87,92120.8,152216.52,-1355.971,4061.3203,-57.247486,527.1875,103638.47,2442.158,1
16152.223,2,2,1,24.32821,-1,4,4,3,4,3,11284.676,25410.848,16156.674,15376.607,26944.824,21592.11,1198.698,2873.3735,758.9703,-249.18114,431.45734,1254.5388,1
47593.855,1,3,2,30.168453,1,2,3,2,2,2,32416.74,33135.133,52056.26,31265.217,26412.287,33295.074,4070.5237,276.48972,-250.10344,1347.1958,3114.067,188.2529,0
30388.16,1,1,2,32.947655,2,0,0,-2,-2,-2,7935.59,20269.213,-1827.9829,2453.3042,6740.6562,-4530.7627,5563.7173,635.98975,673.18414,-688.42334,96.46076,-1219.1826,1
255972.6,1,1,2,39.160164,3,2,0,0,0,0,238698.28,99413.54,122246.66,113384.97,87026.87,112868.29,3404.8582,11369.116,390.5523,1651.1609,7745.0376,106071.03,0
196906.34,2,3,1,27.721313,1,2,2,2,3,4,115694.88,101273.945,110252.92,112382.484,118143.09,136162.33,374.02908,13715.691,2940.453,4657.106,9754.705,6901.3604,0
255454.8,2,2,1,32.56972,2,0,0,0,0,0,278161.84,256412.9,271719.56,273498.8,252046.3,252915.44,9909.702,13966.714,10516.206,4917.9893,14469.751,35835.97,0
118499.766,2,1,1,31.967321,1,2,5,4,4,4,73294.16,83066.445,91008.64,85026.38,84752.414,91795.71,13999.712,-1145.2173,4148.7285,5772.2163,7932.908,4076.2388,0
11622.832,2,3,2,48.005005,1,3,2,4,5,4,13349.645,17343.986,21788.795,22563.695,27919.434,21938.346,326.14188,4799.835,1488.4789,864.27295,155.38458,-199.31107,1
188903.27,2,2,2,40.069252,7,6,5,4,3,2,200941.4,201806.78,202611.5,196588.45,182218.73,149791.03,-1777.2444,-2000.125,1737.8864,-2676.477,3446.7341,300.45456,1
165264.11,1,2,1,38.329502,1,3,2,2,2,2,41188.844,46384.05,47884.902,51443.207,43906.113,48919.03,1586.6233,2999.6675,1605.0607,-856.9697,3634.8801,2740.1013,0
202265.66,2,2,1,36.45892,2,2,-2,-2,-2,-2,5752.414,-1401.6459,978.646,177.00348,5186.2266,1986.8,-412.1882,-2472.165,497.44977,-2417.789,962.139,-300.34378,1
94079.62,2,1,1,33.97263,-1,2,2,2,2,3,206.1212,575.6627,-2538.5767,2567.4995,10455.363,9015.337,1517.261,577.99854,385.16705,194.95412,-282.88055,1199.8513,1
148526.11,1,2,1,45.232117,-1,3,2,2,2,2,115934.08,104094.11,105636.04,114184.53,106329.734,110767.84,6273.8467,3725.2,2780.8706,3051.8135,-219.0705,5632.075,1
23123.176,1,2,1,34.12715,1,-2,-2,-1,3,2,-6022.4023,1076.0924,-1133.0962,21877.58,35100.527,25309.324,1216.9607,-2327.9287,36172.348,-1290.7681,-91.45525,3834.2012,0
198307.47,1,2,1,35.981052,2,2,2,0,0,0,79901.125,54869.41,80937.61,43169.723,38257.29,15522.565,6959.257,5071.5664,-1830.432,-447.55566,1442.1876,182525.31,0
28149.129,2,2,2,27.137413,2,0,0,-2,-2,-2,20694.182,4039.7644,-909.24854,2970.8901,6228.4023,-3767.7039,478.21512,-557.54834,224.09285,-1661.9976,-34.798027,-1510.771,0
406007.16,1,1,1,31.21545,2,2,0,0,-2,-2,195774.4,196414.22,196501.11,1855.8746,8476.127,-1378.2546,8444.468,10723.262,-372.47552,-1876.1714,820.21075,4458.4644,1
61014.34,2,1,1,41.407448,1,2,2,3,3,2,41324.12,42129.363,59443.434,49385.477,52040.0,48844.375,2670.6497,3443.5046,2653.743,-243.51805,4033.537,2881.561,0
233000.72,1,1,2,48.304195,1,3,4,3,2,0,179181.86,185958.2,195258.19,190894.66,187476.67,170333.38,12298.928,10271.211,140.00496,-1982.5176,11296.584,5820.133,0
428070.38,1,2,2,30.562267,0,0,0,0,0,0,481153.66,528231.75,287641.44,525661.2,391276.84,360046.4,19436.879,19855.186,22152.984,319748.2,18751.275,15645.204,1
343205.94,1,2,1,39.052753,1,2,0,0,0,0,426447.53,377610.22,260122.58,237616.0,220868.86,99249.72,-217.28049,14373.753,28184.371,-1933.8765,6371.7227,30467.465,0
