model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.69,0.684,0.684,0.687,0.066,0.065,0.065,0.066,22.386,27.811,0.606,0.543,0.619,0.583,0.648,1.5e-05,original,0.002,5,,,,
rf,random,0.677,0.671,0.677,0.687,0.072,0.073,0.069,0.066,30.911,0.683,0.678,0.63,0.711,0.687,0.712,2.6e-05,original,0.002,5,,,,
svc,random,0.747,0.73,0.731,0.742,0.07,0.073,0.071,0.064,17.47,0.003,0.671,0.632,0.718,0.697,0.721,9e-06,original,0.002,5,,,,
logreg,random,0.727,0.711,0.712,0.722,0.066,0.067,0.064,0.059,12.609,0.837,0.662,0.609,0.689,0.662,0.719,0.0,original,0.002,5,,,,
mlp,random,0.72,0.715,0.717,0.722,0.064,0.067,0.065,0.059,21.736,1.523,0.673,0.617,0.695,0.669,0.718,7.4e-05,original,0.002,5,,,,
xgb,k-means,0.68,0.678,0.681,0.684,0.132,0.13,0.129,0.127,4.378,3.708,0.588,0.489,0.54,0.505,0.608,6e-06,original,0.002,5,0,0,0,1.2389881610870361
rf,k-means,0.683,0.673,0.677,0.687,0.126,0.138,0.133,0.12,23.199,0.247,0.599,0.5,0.553,0.518,0.649,1.1e-05,original,0.002,5,0,0,0,1.2389881610870361
svc,k-means,0.597,0.581,0.581,0.593,0.126,0.118,0.117,0.122,8.86,0.003,0.666,0.665,0.767,0.766,0.261,9e-06,original,0.002,5,0,0,0,1.2389881610870361
logreg,k-means,0.643,0.639,0.641,0.645,0.117,0.119,0.118,0.116,10.942,0.108,0.592,0.513,0.578,0.541,0.623,0.0,original,0.002,5,0,0,0,1.2389881610870361
mlp,k-means,0.467,0.461,0.461,0.464,0.061,0.06,0.06,0.06,6.758,0.034,0.674,0.632,0.717,0.695,0.732,2.6e-05,original,0.002,5,0,0,0,1.2389881610870361
xgb,k-means,0.777,0.768,0.768,0.775,0.132,0.137,0.137,0.132,7.881,36.054,0.67,0.642,0.733,0.716,0.719,2.3e-05,latent,0.002,5,0,0,0,1.2389881610870361
rf,k-means,0.683,0.679,0.68,0.684,0.141,0.143,0.142,0.14,29.867,0.166,0.672,0.59,0.655,0.624,0.746,7e-06,latent,0.002,5,0,0,0,1.2389881610870361
svc,k-means,0.647,0.635,0.636,0.645,0.116,0.129,0.13,0.116,9.801,0.005,0.659,0.649,0.751,0.744,0.718,1.2e-05,latent,0.002,5,0,0,0,1.2389881610870361
