X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
120827.58,1,1,2,33.66229,0,0,0,0,-1,-1,18918.357,42219.09,46245.52,8812.344,19746.496,30818.877,2111.8247,4476.699,5736.781,2186.3643,5224.018,-4476.778,0
122522.17,2,2,1,30.43523,0,0,0,0,0,0,18449.387,36816.953,50093.13,21484.674,20293.639,15599.622,1909.1223,3954.3586,5269.5186,155.13283,4586.376,-3710.5981,0
262092.97,1,1,2,32.81892,0,0,0,0,-1,-1,1571.9923,32015.896,39050.555,12724.48,19635.21,25084.63,3592.589,3607.6843,5637.1963,2147.0198,5605.239,-5248.433,0
140664.94,2,1,1,38.97489,0,0,0,0,0,0,80341.38,81947.12,87997.125,99342.664,48667.336,5063.925,-1164.9221,5674.9043,4400.3594,1143.123,6706.641,-4727.984,0
122560.81,2,1,2,29.748447,0,0,0,0,-1,-1,-3992.7695,30565.951,39964.59,10080.629,19255.791,25832.877,3948.1233,3630.664,5728.9204,1343.0767,4489.9746,-4667.7964,0
131046.87,2,6,1,40.802536,-2,-2,-2,0,0,-2,-3717.5,26333.707,40988.285,13247.627,20768.146,24937.314,2283.972,4174.593,4820.105,991.03735,3984.8118,-4091.4448,0
264532.8,2,3,1,38.423244,0,0,0,0,0,-1,21228.998,36876.145,50854.285,25730.607,21592.29,18505.95,2322.7644,4101.571,5437.306,51.41456,5131.8765,-4535.273,0
124109.74,2,3,1,42.590515,0,0,0,0,0,0,31782.512,36796.996,53807.793,24662.346,20383.584,15423.097,659.89044,3799.3826,4394.218,-277.36133,4643.3394,-3918.562,0
263542.8,2,1,1,39.456795,-2,2,-2,0,0,-2,-5644.293,26269.977,41375.45,8613.723,21152.701,26469.557,3637.9968,4505.139,5143.121,1045.5542,3606.7446,-4334.6177,0
260036.98,2,1,1,35.76074,0,0,0,0,0,0,104373.195,97309.79,117282.414,170974.3,41938.418,-22072.754,-3566.3713,6510.424,5899.8794,3411.213,13760.679,-10752.7705,0
264116.25,2,2,1,35.578228,0,0,0,0,0,-1,420.17978,28291.988,41464.297,20004.498,21396.586,19114.424,4857.875,4153.9624,6298.4473,169.8008,4206.508,-4033.1958,0
270066.8,2,2,1,37.723846,0,0,0,0,0,0,91109.55,101223.766,96880.336,126527.36,51233.02,-2592.0945,-155.01144,5807.585,5483.8477,2277.3088,9086.052,-6581.903,0
125949.19,1,2,1,34.51862,0,2,0,0,0,0,34731.176,35637.85,52110.36,31813.67,20382.225,15117.54,-1158.8772,3245.387,3483.0955,-731.3965,4665.44,-3985.4692,0
123482.82,1,2,1,41.785404,0,0,0,0,0,0,27910.701,38032.965,51689.2,24354.611,20247.188,17107.342,633.54913,4032.8086,4369.7007,-5.437979,4711.195,-3528.274,0
126390.51,2,2,2,30.159403,0,0,0,0,0,0,51380.38,45347.484,59318.77,31109.56,20856.506,12272.3955,-676.9714,3800.9768,4125.69,-256.271,5275.87,-4156.3325,0
125826.52,2,2,1,40.295723,0,2,0,0,-1,-1,-50.86708,26051.48,34954.89,10654.99,19482.014,20765.443,6196.1553,3161.5122,6252.228,1600.7078,4168.331,-4276.472,0
