X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
204791.27,2,3,1,35.32597,-1,-2,-1,0,0,-1,6957.34,2182.4792,6102.8765,7723.98,9330.396,5752.3857,3755.2764,8173.798,1940.0302,2863.016,1893.9532,3497.9028,0
189259.53,2,2,2,33.293427,-1,-2,-1,-1,-1,-1,13417.273,4009.698,3985.7827,3088.5425,5251.7266,2502.4211,3771.1492,4120.051,2839.0212,2826.3164,1830.7059,3149.356,0
222338.77,2,1,2,35.419243,-1,-1,-1,-1,-1,0,8833.277,-689.5287,909.5054,4360.066,10040.705,6094.577,3531.0554,3503.756,3629.1074,2532.8591,816.971,2788.7468,0
241701.1,2,1,1,40.41613,-2,-2,-2,-2,-2,-2,-1585.1561,-629.0365,1815.8022,2516.9487,1143.6328,3370.1047,2106.4248,4059.5178,2158.0046,2055.1594,1193.2445,2722.8054,0
218187.08,2,2,1,35.55919,3,2,2,0,0,0,134741.48,158045.08,155753.94,137413.86,136219.5,105089.695,4339.397,5069.585,5798.042,6030.925,5170.5156,5487.456,0
192575.31,2,2,1,34.701878,-1,-1,-1,-1,-1,0,5740.086,1154.8073,2616.9702,7121.0347,7679.617,7460.8936,3085.0068,6527.1123,3387.6921,2571.4043,1835.7972,2899.601,0
173671.69,2,2,2,34.112934,0,0,0,-1,-1,-2,48350.965,37187.23,11286.971,4655.2456,13714.088,11174.8,2941.011,2088.4094,2126.1963,1357.7227,732.1685,3424.4163,0
74132.1,2,2,2,34.023087,3,0,4,2,3,2,30020.451,42047.836,26353.092,32314.66,36777.555,31211.795,556.4476,-1461.5742,-626.8891,961.1196,254.61407,2640.0654,0
228644.03,2,2,1,38.464886,-2,-2,-2,-2,-2,-2,343.67587,678.81506,1045.6343,3542.601,185.35551,4738.37,1954.9006,3298.501,2163.6272,2182.3477,1542.2323,2819.6072,0
327395.28,2,1,1,38.94529,-1,-2,-1,-2,-1,-1,22322.215,19208.494,39048.78,23437.615,39745.57,30387.672,25129.62,21330.375,6718.8286,17637.861,19003.408,9629.776,0
76553.13,2,2,2,34.14031,2,2,2,0,0,0,45352.754,47785.953,35149.992,38345.688,37376.79,30654.33,1167.3142,-497.605,315.46442,2133.9023,1324.4777,3168.209,0
269875.44,2,2,2,35.4094,0,0,0,0,0,0,114190.71,113032.13,95402.055,57239.35,89556.61,55135.758,9677.829,10247.802,267.8482,8420.725,28695.383,38212.14,0
297175.75,2,2,1,36.893856,-1,-2,-1,0,0,0,55251.516,51986.727,122580.04,94927.2,133908.33,74936.5,17441.91,100878.18,9420.594,5274.2656,8365.648,7382.927,0
90499.63,1,1,2,31.877565,0,0,0,0,0,0,45562.18,39184.35,34811.883,30047.244,30481.352,22528.018,2634.2175,3415.228,1410.2655,1992.5405,781.3985,3337.4087,0
127761.445,2,3,1,40.160458,0,0,0,0,0,0,42123.53,41253.668,36941.33,31837.504,28709.027,26428.55,2079.17,2415.0813,1424.6246,2314.0806,1238.9921,3225.4004,0
87116.05,2,2,2,31.731564,1,2,2,0,0,0,44598.42,37522.06,27650.686,29323.727,29300.17,23456.283,572.8934,217.87302,1564.9686,1560.3696,1837.1417,3166.473,0
106951.38,2,2,2,31.473267,0,0,0,0,0,0,39806.35,34424.484,29608.113,25826.04,24346.219,19961.04,1888.9514,3010.3005,1446.2755,1929.4268,1158.8473,2959.5996,0
133829.19,2,2,1,37.378044,0,0,0,0,0,0,43046.168,41236.883,33591.062,32644.125,26191.842,27483.13,1725.6018,2456.2373,1640.7169,2380.8445,1653.8795,2691.5742,0
237818.8,2,1,1,41.65693,0,0,0,0,0,0,129064.766,133971.55,126922.29,112078.25,122231.586,94193.055,6860.9697,8083.9473,6669.892,5971.2295,5342.773,4037.41,0
216379.3,2,1,2,32.32277,-1,-1,-1,-1,-1,-1,8590.484,-809.9232,4564.697,5436.2065,7549.5195,1635.6438,4750.9097,6218.173,5010.8413,3520.115,2949.814,2983.4966,0
209399.48,2,1,2,32.25041,1,-2,-1,-1,-1,-1,4177.1523,-1139.9935,1223.1694,3227.4448,5888.6367,1981.8938,3355.8875,3177.9558,2796.9834,2378.2935,1529.9635,2862.6008,0
200198.22,2,2,1,36.94052,0,0,0,0,0,0,108634.27,105158.664,98122.945,91905.33,100505.56,79683.945,5164.93,4983.413,5101.627,4652.667,3479.5295,3898.8284,0
187523.69,2,2,2,33.97213,0,0,0,0,0,-1,58562.234,43837.348,33383.867,20170.287,13315.289,12593.421,4040.7598,4481.023,977.358,2779.098,6650.8145,4005.9368,0
232753.36,2,1,1,40.459858,-1,-1,-1,-1,-1,-1,4475.4062,-1350.349,2948.1382,3761.2769,6302.742,2730.1438,3559.6958,5003.8857,4618.419,3676.406,3223.8735,2513.34,0
267807.53,2,2,2,34.38933,0,0,0,0,0,0,163876.98,180885.62,179291.53,155598.94,159135.56,118472.336,9369.079,10072.246,7856.6187,6319.344,6020.8247,5519.0454,0
235462.3,2,1,2,32.966534,0,0,0,0,0,0,138745.84,147037.34,149274.0,133425.06,133576.98,113091.07,8355.827,9139.808,7809.071,6318.7153,4977.7104,4168.6997,0
200449.31,2,1,2,34.765095,0,2,-1,-1,-1,-1,11656.516,4523.237,594.2593,2642.5347,9063.033,3510.8938,1212.196,3672.2974,3181.0225,1813.5771,1373.3844,2770.6514,0
145209.94,2,2,2,32.940098,-1,-1,0,0,0,0,16673.742,27164.596,22087.158,24453.29,26029.521,20533.482,19371.162,2242.9602,2514.9387,1800.2502,2738.818,4023.415,0
201075.53,2,2,2,32.91629,-2,-2,-2,-2,-2,-2,4449.0,1901.9987,1684.2124,2428.476,2185.7148,2801.964,2033.3162,3254.7976,2375.0522,2067.5686,1474.5477,3452.2207,0
162341.27,2,2,2,30.94767,0,0,0,0,0,0,88551.555,84702.21,81193.53,77280.08,83371.92,60401.195,6053.2866,4649.0063,3298.0903,3700.8967,2495.0488,4141.455,0
