X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
212029.62,2,1,2,38.96331,-2,-2,-2,-1,0,0,-1275.8827,-4037.7434,47.224144,5580.109,-1657.3633,-1866.7273,474.9998,2806.2102,605.02545,1470.0774,1063.069,884.6382,0
630224.25,1,1,0,63.444805,2,-2,0,-1,0,0,428453.62,462374.4,129698.85,189751.98,575880.8,-46027.23,9116.239,34375.28,352670.4,11729.665,2612.97,27379.248,1
141894.98,2,2,1,39.90817,1,2,3,2,3,2,49396.227,69324.164,57746.426,61057.85,68378.03,84911.99,4991.373,-3260.7969,4731.18,2004.1426,4673.2944,1262.5852,1
461829.38,2,2,2,20.758703,4,3,2,0,0,0,505011.38,450634.6,428737.75,429059.0,417686.22,323983.4,5343.67,4155.224,17562.137,15966.213,18871.168,15062.931,1
316120.12,2,2,2,33.942993,2,0,4,3,2,0,637287.2,479183.78,635352.94,332532.5,349580.3,299752.28,3660.6855,7041.7944,3663.155,3606.108,10643.484,257768.45,1
235888.45,2,1,2,30.136747,2,-1,-1,-1,-1,-1,-292.65616,-2217.4504,-651.4165,1463.4254,3305.4492,-279.40698,1490.6248,2308.2915,1382.2135,2170.0098,826.05133,2969.123,0
55135.598,2,2,1,62.174637,4,4,5,4,3,2,38324.98,56158.023,64160.645,58014.094,61811.83,65041.895,785.5423,-1728.0879,-2900.8882,1524.3491,1673.5905,3134.6377,0
395254.4,1,2,1,33.07674,1,2,2,7,6,7,330532.7,339977.84,378886.22,377193.7,348287.53,349301.1,10010.585,102884.78,6225.5835,-130.82811,4297.043,4302.2163,0
482150.22,2,1,2,35.34907,0,0,0,0,-1,0,626500.4,456151.2,355566.97,337481.56,386546.66,288948.12,29199.984,18878.783,12201.647,272211.94,14513.224,5112.592,0
26713.645,1,2,1,46.461914,0,0,0,2,2,2,-3598.9375,9772.151,13982.932,12851.275,16388.984,22001.193,414.22488,1977.0171,-1898.9672,1375.6262,-708.4069,343.14743,1
259013.47,1,1,1,61.668957,2,0,0,0,0,0,205425.75,193335.31,226592.06,150867.5,193069.12,85514.03,11046.571,7254.238,5954.4707,7049.6997,9294.302,196625.36,1
23331.488,1,2,1,27.622282,0,0,0,2,2,3,7916.129,18080.82,22087.904,16593.246,22409.01,21049.322,694.347,2526.071,-555.6557,1450.6575,-1367.8644,619.43506,0
241391.3,1,1,2,49.121277,1,3,4,3,2,0,178454.97,201524.0,197873.88,177217.06,182747.64,177290.53,16735.533,5562.746,-341.0722,883.50586,9691.594,5543.5522,0
121755.36,1,2,2,29.659199,1,3,7,5,7,4,51674.367,103573.1,79931.195,100580.17,104910.63,134797.67,19838.275,-3211.8682,10856.413,12494.64,1265.4105,823.83496,1
266928.3,1,1,1,57.777687,1,4,3,2,2,2,102729.17,98237.33,102111.26,95551.24,95809.836,120148.086,230.17654,-50.234406,2159.3691,5386.94,6719.2266,3253.2117,1
