Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.1974444,22.785515,-0.0022030692,-0.9126988,15.873311,575.8369,0.005619868,0.020958906,0.17535372,6.794805e-05,Mar,1,1,1,2,Returning_Visitor,True,False
0.63940346,12.885108,-0.0028367261,-0.83263975,26.654022,999.4777,0.014350846,0.03833808,0.15704699,0.0002830016,Oct,2,2,1,1,Returning_Visitor,False,False
0.74558365,7.586845,-0.0014784556,0.24531357,14.960236,499.6745,0.00527719,0.031747308,0.17246933,0.00041260818,Mar,2,2,1,3,Returning_Visitor,False,False
4.8546867,177.01949,1.3725003,37.771698,36.323544,1501.865,0.0029451416,0.013787369,44.71981,-1.9786261e-05,Nov,2,2,4,2,Returning_Visitor,False,False
-0.0047551324,-0.07688192,-0.0014258247,-0.83128554,11.524277,427.08618,0.095494255,0.11723601,0.16684075,0.67333406,May,3,2,4,13,Returning_Visitor,False,False
0.078221686,0.5901179,-0.002859674,-0.7321568,18.456108,559.03564,0.02165294,0.057214633,0.14990397,0.06299535,May,2,2,1,4,Returning_Visitor,False,False
-0.0015233683,-0.47337392,0.00037515943,-0.39584547,1.8647618,7.6701164,0.18980198,0.19509308,0.16814299,-0.00044356784,Mar,2,2,2,3,Returning_Visitor,False,False
1.2302207,18.925564,2.1514885,43.322834,31.780287,1052.9241,0.003155913,0.025986228,0.17858191,0.0001629057,Nov,2,2,1,2,Returning_Visitor,False,False
3.9731176,273.24036,0.8628272,21.562449,32.94176,1094.7043,0.004753507,0.017268859,0.9217474,-0.00024102753,May,3,2,8,2,Returning_Visitor,False,False
0.46382713,6.188804,0.005270668,7.2815037,15.97903,430.28406,0.017652215,0.029271612,0.19013853,0.00031687567,Nov,3,2,7,3,Returning_Visitor,False,False
3.6436622,136.53137,0.024749018,7.1985054,8.193199,190.6476,0.0021609904,0.011387064,0.17946835,-0.00025665885,Nov,1,2,3,2,New_Visitor,True,False
1.7869964,60.860424,0.0065427204,0.0014514179,15.931016,628.32855,0.008037377,0.028007558,2.239119,-7.465234e-05,Mar,3,2,3,1,Returning_Visitor,False,False
6.6920424,232.98523,0.0032286425,-0.5506459,42.905815,1428.4767,0.0030689572,0.01747671,16.88101,-0.00019133961,Dec,1,1,1,2,Returning_Visitor,False,False
0.0008415056,-0.34324697,-0.0017572861,-0.6520787,15.450407,830.75287,0.02825551,0.0448616,0.17509337,0.00019907081,Nov,3,2,7,13,Returning_Visitor,False,False
4.0057683,193.07838,8.022441,1199.4011,145.36882,8218.549,0.002098737,0.01047797,1.4773328,-0.0014131976,Nov,2,4,4,2,Returning_Visitor,True,False
0.06368912,0.10729929,-0.00039815123,3.558815,21.777504,854.7312,0.00931432,0.03153743,0.6208417,0.00042474517,Mar,1,1,1,3,Returning_Visitor,False,False
0.84063697,16.613003,-0.006306551,4.5631294,25.78236,941.06433,0.0020406113,0.023033867,1.5938342,0.0002345095,Mar,2,2,5,2,Returning_Visitor,False,False
