Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6.989224,163.11845,0.002358236,-0.36442763,72.82699,3037.1213,0.0023841707,0.026725352,4.49695,-0.00031622252,May,2,2,5,1,Returning_Visitor,False,False
17.276207,2622.3755,23.306204,2038.0618,704.74084,42587.395,-0.0059853108,0.020922968,-0.24605636,-0.028451005,May,2,2,1,14,Returning_Visitor,True,False
8.01769,110.072556,8.8858,2241.5447,20.90986,1124.428,0.0115527855,0.011225919,0.02397462,0.0071218447,Jul,3,2,4,2,Returning_Visitor,True,False
7.022204,2613.3496,2.7820504,358.34995,71.76839,5881.5596,0.03090453,0.039807864,-0.02508048,-0.005904117,Jul,3,2,1,13,Returning_Visitor,False,False
12.207318,248.58665,3.9607942,1531.6063,439.72333,22077.371,0.0031379068,0.012556302,10.623437,0.0030788954,Sep,2,2,1,13,Returning_Visitor,False,False
4.07586,163.90558,0.020159878,3.0156193,62.849594,4300.158,-8.9373774e-05,0.0016895297,245.71138,-0.0015428377,Oct,4,1,8,2,New_Visitor,False,False
0.014558442,-14.750352,15.519008,1237.9807,10.982378,550.7237,0.0013753116,0.011825335,-1.9821055,0.0012330959,Mar,2,2,1,8,Returning_Visitor,False,False
5.0848,1686.9082,-0.033472143,3.6518383,15.837651,598.39874,0.00050551223,0.004942487,-0.40727165,-0.00030800453,Dec,8,13,9,20,Other,False,False
25.555187,847.996,2.1169875,132.69905,561.99493,24749.055,-0.0012771807,0.009291037,1.5359528,-0.0013883127,Nov,2,4,3,8,Returning_Visitor,False,False
0.0002678705,1.9686122,0.024815537,2.0423832,2.2938657,-24.10857,0.19834936,0.20181234,-0.33251646,0.00051441666,May,6,7,3,15,Returning_Visitor,False,False
22.23273,1149.9388,3.0755339,111.63336,206.89172,4225.01,0.0012606416,0.007120318,176.13857,-0.0029869836,Nov,2,5,3,3,Returning_Visitor,True,False
