Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.3899032,11.045379,0.08707333,-0.42089278,15.159842,497.8213,0.012756879,0.04449037,0.05842515,0.025599478,May,2,4,3,3,Returning_Visitor,False,False
0.82895994,10.787932,0.004854687,-0.6049252,92.78715,4447.7754,0.0065776096,0.024877846,5.047963,0.00039584065,Nov,2,2,1,1,Returning_Visitor,True,False
-0.0014704394,0.3073344,0.0034723957,-0.11496933,1.0898633,3.771557,0.19595964,0.19838108,0.048967563,0.3057872,Feb,2,2,3,3,Returning_Visitor,False,False
4.8754344,215.80522,0.9684542,17.176285,25.94157,941.0146,0.004907302,0.017220583,1.2240207,0.0063741007,May,3,2,8,2,Returning_Visitor,False,False
-0.0047894646,0.60952705,0.0050997217,-0.26578337,2.2190423,67.85518,0.17807215,0.18973358,0.04910489,0.00081977126,May,2,4,3,1,Returning_Visitor,False,False
0.29856956,5.1609035,0.11331133,-0.20848663,33.730026,963.42114,0.012227381,0.036009446,0.028266631,0.6302755,May,2,4,1,3,Returning_Visitor,False,False
5.7735705,93.470055,2.2087991,179.03036,108.05304,4241.644,0.00353441,0.018430166,4.244832,0.032756608,Dec,2,10,7,2,Returning_Visitor,False,False
5.118162,1297.3907,1.332012,63.362003,30.78618,1993.3967,0.0038341896,0.024110379,7.75018,0.00060672563,May,2,7,7,3,Returning_Visitor,False,False
0.7891116,32.441822,0.23511346,0.23278992,13.567621,524.0263,0.011503304,0.04365878,0.21578856,7.489572e-05,Mar,1,1,1,1,Returning_Visitor,False,False
0.6690594,13.358581,0.10571272,-0.5315648,36.417294,1217.2592,0.013796012,0.04424378,0.048394404,-0.00019844002,Nov,2,2,7,1,Returning_Visitor,False,False
0.6239457,12.475928,0.15358381,-0.3828526,17.456823,518.15826,0.015642848,0.04813722,0.90955657,0.00022256622,Jul,2,2,1,1,Returning_Visitor,False,False
2.5615451,65.144966,0.07771114,-0.6527844,31.183353,944.58734,0.008198303,0.024717938,2.1099923,0.00015558922,Sep,2,2,1,1,Returning_Visitor,False,False
4.8121314,114.95387,0.3643315,-0.0022984296,32.88596,959.67896,0.003906071,0.023938803,2.6345072,-0.00016436478,Mar,2,4,3,2,Returning_Visitor,True,False
0.85105634,23.03386,0.07809547,-0.558096,22.558788,755.19855,0.011410574,0.037707914,1.5395753,0.018853186,May,2,2,3,4,Returning_Visitor,False,False
0.5843843,15.277228,0.03604866,-0.36685377,28.426683,793.52765,0.022834035,0.048523773,0.732238,0.7344275,May,3,2,1,13,Returning_Visitor,False,False
0.7127403,14.359435,0.09606949,-0.33933073,17.066313,396.1308,0.00545831,0.03598453,0.058480464,0.00986228,Mar,2,6,1,2,Returning_Visitor,False,False
1.8731657,45.70211,0.10246546,-0.52696425,11.153004,284.69073,0.010918207,0.029947795,0.060669146,-0.00025421506,Dec,1,1,1,8,New_Visitor,False,False
8.178609,335.0644,1.0632756,16.840601,98.89164,3824.2114,0.0054479833,0.014881895,2.8289502,-0.00076393905,Nov,1,1,1,2,Returning_Visitor,False,False
1.5743865,35.920956,0.37743884,5.1200294,19.896015,602.4048,0.0045621297,0.02310168,2.5015645,0.025816591,Mar,2,7,7,2,Returning_Visitor,False,False
4.030018,107.78341,0.03802032,-0.31358916,19.141476,597.2594,0.0013669856,0.012141486,0.998347,0.039694123,Mar,2,2,3,2,New_Visitor,False,False
4.3772736,105.295586,0.38582164,5.3263855,62.318478,1881.5431,0.008970888,0.029449904,2.0935376,0.7029012,May,2,2,7,2,Returning_Visitor,False,False
4.770723,156.25378,2.010435,99.668785,13.001127,429.01654,0.0022427512,0.015987488,1.3509643,-0.0007546482,Mar,3,2,1,8,New_Visitor,True,False
3.5287058,112.3389,2.0627947,775.0172,30.243835,1569.6133,0.0055328156,0.0231815,5.076591,-0.00020887828,Nov,2,4,3,2,Returning_Visitor,False,False
0.26682842,3.332542,0.09439302,-0.36817366,16.71671,419.75977,0.019772483,0.053509925,0.03791877,0.62068194,May,2,2,1,3,Returning_Visitor,False,False
-0.0040215184,0.43255565,0.0045498987,-0.22060974,2.0830922,27.563305,0.19364206,0.1967599,0.057137214,0.0049475045,Dec,2,2,6,1,Returning_Visitor,False,False
5.471112,778.26917,0.7875328,3.1671448,31.83922,2540.6309,0.025381183,0.047495693,2.3053558,0.00068838027,Mar,2,2,1,13,Returning_Visitor,False,False
