Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4.1254463,163.38168,0.05541701,2.4729595,61.436367,4356.4805,0.00017529693,0.0025738056,245.85655,0.0013987111,Oct,4,1,8,2,New_Visitor,False,False
1.9898521,67.01539,0.023560293,0.7534122,14.846785,394.56732,-0.000735151,0.0067832274,166.04697,0.00020100051,June,1,1,1,5,New_Visitor,True,False
0.020465262,0.6342234,-0.0012527924,0.0513324,16.096899,688.7262,-0.00045851278,0.004995524,29.146097,0.00023886064,Nov,3,2,3,2,New_Visitor,True,False
2.0117013,25.483303,-0.0028911452,-0.08367355,4.738978,64.92232,-0.00073237007,0.0093258945,32.750847,0.00026474768,Nov,2,4,4,5,New_Visitor,False,False
0.979715,4.1326976,0.0018026609,0.24739258,14.901377,360.22626,-0.0006881937,0.0022893015,69.963554,6.1656036e-05,Nov,8,13,9,20,Other,False,False
3.0012627,54.550102,0.0014540929,0.07464783,7.9264684,277.9046,-0.0004287924,0.009871147,25.830706,0.0005639854,Jul,1,1,1,2,New_Visitor,False,False
2.0276031,22.129185,0.0016251284,0.45323747,25.143747,273.2423,-0.00034598293,0.008010245,77.465706,-2.8384231e-05,Nov,2,2,7,2,New_Visitor,False,False
1.0200971,3.5713725,-0.0039868574,0.11768143,164.65326,5723.2334,0.0031460298,0.009377333,52.357887,8.296097e-05,Nov,2,2,1,1,Returning_Visitor,False,False
6.0561013,86.203865,2.010247,159.947,40.514896,1115.387,0.0045547015,0.012042857,27.144232,-0.00014846897,Nov,2,2,9,8,New_Visitor,True,False
0.9978248,46.021397,1.9846131,1408.381,55.128624,1570.3154,0.005893949,0.021522345,28.623953,-0.0021589336,Nov,2,2,1,8,Returning_Visitor,True,False
4.059151,46.478245,2.006697,44.10368,29.855087,1019.42773,9.487722e-05,0.005945648,40.357025,-0.00012918314,Nov,2,2,4,2,New_Visitor,False,False
3.0200782,37.442345,-0.00014480167,0.12938492,1.9581704,7.615307,-0.00035381722,0.04018926,27.713835,0.000341701,Oct,2,2,6,2,New_Visitor,True,False
5.088697,147.70708,1.0618714,14.353413,184.4848,3514.6956,-0.0001497123,0.0045663966,138.83536,0.00055636343,Oct,2,2,3,20,Returning_Visitor,False,False
1.0293368,21.717823,-0.0047015767,-0.06475265,92.64104,2700.8525,0.006335653,0.037997026,23.56848,0.00012186418,Nov,2,2,3,2,Returning_Visitor,True,False
2.020807,50.86718,1.0084946,0.06625931,63.71836,1995.6014,0.014759284,0.022144519,21.372696,0.00018817434,Nov,1,1,1,2,Returning_Visitor,True,False
4.049473,44.466698,0.0018616993,0.41792482,65.94534,2520.0107,-0.00016146745,0.015762385,62.498367,-8.669996e-06,Nov,4,1,2,2,Returning_Visitor,False,False
2.018865,17.010094,0.00090555137,0.17717926,2.68792,263.55194,-0.0007338509,0.039825387,49.320183,0.0003100174,Nov,2,2,5,5,New_Visitor,False,False
3.020378,33.633232,0.0034739156,0.26196092,14.893616,278.99768,-0.00047924774,0.00055360683,55.809105,0.00014946112,Sep,2,4,1,2,New_Visitor,False,False
2.0064108,38.290497,-0.0009174567,0.105390474,2.8324819,34.72627,-0.0006223995,0.00035103672,55.829315,0.000107328095,Sep,1,1,3,2,New_Visitor,False,False
9.9834585,304.88373,-0.0016134005,0.012819216,80.90658,1778.4719,-1.980584e-05,0.0025544863,16.342417,-4.4961773e-05,Nov,1,1,1,8,New_Visitor,True,False
2.0336967,18.81223,-0.00072162563,0.07831757,85.32368,2814.3672,0.0044964286,0.013249102,37.281616,0.00024066368,Nov,2,2,1,1,Returning_Visitor,True,False
9.039744,242.06773,-0.0048585753,0.1521167,25.027378,668.77795,0.0019740907,0.005077529,27.877125,2.7573355e-05,Nov,1,1,3,2,New_Visitor,False,False
5.034126,78.926025,1.0126973,25.673033,47.314392,1264.8119,3.1821095e-05,0.005814328,28.978245,-0.00013887262,Mar,2,2,1,8,New_Visitor,False,False
4.055791,103.05395,2.0066986,80.07359,132.96815,3710.4104,0.0031703392,0.015496797,27.59149,-0.00010167932,Nov,3,2,1,6,Returning_Visitor,True,False
4.996906,69.52362,-0.00088711793,0.17540161,33.21601,778.41016,0.005154356,0.008383765,22.459507,0.0003843593,Jul,2,2,6,2,New_Visitor,True,False
2.01826,13.039481,0.0021309336,0.09528153,26.003588,1945.9457,0.005983818,0.02621999,24.415411,0.0005174565,Nov,3,2,1,2,Returning_Visitor,True,False
12.920135,427.61456,2.0109115,6.61421,132.96404,10298.988,0.00039051255,0.017382104,22.682604,-0.0002635171,June,2,2,1,4,Returning_Visitor,False,False
6.0141616,94.19413,1.0088365,794.059,38.255264,2415.1487,-0.00027545015,0.035813678,27.832218,-0.0006167454,Jul,2,10,1,2,Returning_Visitor,False,False
1.0121182,22.053383,-0.0033183317,-0.0042134076,12.938831,234.85323,-0.00046048345,0.00043867418,42.185703,0.000107991196,Jul,2,2,3,3,New_Visitor,False,False
1.9810665,127.567345,0.04067541,1.4883403,20.890203,899.9175,0.008655265,0.016281957,218.04785,0.00058177736,Dec,1,1,3,2,Returning_Visitor,False,False
3.0072453,91.76158,2.0057847,2.353342,23.138481,1344.6736,0.008028477,0.020719303,32.28888,9.8301716e-05,Nov,2,2,6,2,Returning_Visitor,False,False
5.9761553,182.63023,4.9571276,111.05707,178.53825,10409.065,0.0024019198,0.020400412,17.77759,-0.00042996308,Nov,2,2,3,2,Returning_Visitor,True,False
3.0075283,155.88057,1.0046839,0.046686098,61.55365,2051.602,0.006815245,0.02537218,17.321714,0.00019684681,Nov,2,4,1,10,Returning_Visitor,True,False
2.9919355,51.57435,-0.016986035,-0.32737547,175.48175,6774.34,0.0028355361,0.011608808,20.318357,0.00010993952,Aug,2,4,9,4,Returning_Visitor,False,False
4.0051403,55.7252,-0.0026034932,0.07210724,35.123684,1124.8347,-0.0003952592,0.0060346117,28.054773,0.00018444532,Jul,2,2,7,2,Returning_Visitor,False,False
0.023787864,0.6927256,-0.0017510873,-0.03466232,32.003376,1664.526,-0.00035669687,0.014642651,19.355875,0.0004044051,Nov,2,2,1,10,Returning_Visitor,False,False
6.0201883,81.69426,2.0094545,212.66716,162.50023,6128.164,-0.00024778428,0.0035990465,22.195982,-3.707906e-05,Sep,2,2,1,6,Returning_Visitor,False,False
2.0411232,6.7113795,-0.0056518535,0.025152132,25.980806,616.0294,2.129715e-05,0.009305208,36.26096,7.2105475e-05,Nov,2,2,4,20,Returning_Visitor,False,False
10.005874,576.04614,-0.005508862,0.24512284,22.440298,542.3772,-7.155897e-07,0.004543963,25.476946,-0.0001764459,Oct,2,2,3,2,New_Visitor,False,False
4.0495267,71.27797,-0.005575917,0.059320375,20.344654,1292.737,-0.00016257387,0.018540304,40.732788,-6.937735e-06,Mar,2,2,3,2,New_Visitor,False,False
-0.0066331555,0.5907969,0.00497935,0.27846712,5.8156934,213.71217,-0.000622718,0.032953314,63.53146,0.00012984374,Jul,1,1,4,4,Returning_Visitor,True,False
12.947252,301.18063,1.0110422,10.263218,54.699142,3322.3452,0.007827704,0.014000087,38.355846,9.7709395e-05,Nov,1,1,1,2,Returning_Visitor,False,False
0.9677365,46.178528,1.0080692,65.38421,7.864823,557.8985,0.017458277,0.03309862,26.122051,0.00025099763,Nov,1,1,2,7,Returning_Visitor,False,False
6.97663,223.13164,0.9924249,0.1614856,22.109774,1037.21,-1.5745274e-05,0.019174747,16.659262,3.0516334e-05,Nov,2,2,2,10,Returning_Visitor,True,False
-3.897423e-05,-0.02322439,0.008800395,0.43843263,68.16499,1197.0723,0.002373343,0.0142232375,64.50497,-4.467865e-05,Nov,4,1,1,1,Returning_Visitor,False,False
6.041051,201.6453,-0.0057986,0.29368013,84.08801,3627.6848,0.0068271854,0.016677087,66.97855,-2.5061272e-05,Nov,2,2,4,2,Returning_Visitor,False,False
1.0197353,5.9115596,-0.0010128539,-0.08190735,97.624695,1638.2504,0.0050951834,0.01568483,23.976694,0.00031673783,Jul,2,2,1,1,Returning_Visitor,False,False
1.969733,3.255302,4.9598503,159.77225,63.08583,3764.24,0.012171068,0.021826984,18.659058,-0.00016875318,Nov,1,2,6,2,Returning_Visitor,False,False
6.062712,145.18062,-0.0027833204,0.519823,32.19801,2263.1926,7.834438e-05,0.0014862891,62.73793,-7.6813005e-05,Nov,3,2,9,3,New_Visitor,True,False
9.030979,300.8808,-0.0013362985,-0.07617004,26.966152,1086.1436,6.9957614e-06,0.0107477335,22.801699,-7.5080745e-05,Mar,2,2,1,8,New_Visitor,False,False
10.988426,447.58984,-0.0014029961,0.25218004,51.77391,1791.4944,6.3797124e-05,0.016867012,40.512123,3.213311e-05,Nov,1,1,1,2,Returning_Visitor,False,False
5.0119514,73.536835,3.0069451,88.391426,50.582443,2011.4816,-5.4653347e-06,0.009066689,44.17053,-0.0001886574,Nov,2,2,7,2,Returning_Visitor,False,False
2.9904637,231.57852,-0.0048894505,-0.030668333,6.7544484,370.66046,-0.0007543996,0.007086902,34.99057,0.00020551556,Nov,1,1,3,5,Returning_Visitor,False,False
4.0267663,72.38666,-0.0028089504,0.021776125,32.152103,2254.765,-0.0001461472,0.025638232,38.140236,0.00010659049,Nov,2,2,9,2,Returning_Visitor,False,False
3.0427432,115.811745,1.0144491,7.773777,63.587337,1585.8927,0.0135560585,0.028541265,29.745474,-3.679221e-05,Nov,3,2,1,3,Returning_Visitor,True,False
3.0346563,345.40363,1.0239186,11.575537,28.919147,1105.7855,0.005619816,0.0066718785,69.61088,-8.249035e-05,Nov,2,2,5,2,Returning_Visitor,False,False
11.037529,452.65375,2.989232,306.9547,40.611134,5177.0547,0.0017616336,0.013917687,22.685196,0.00024201968,Oct,2,4,1,20,Returning_Visitor,False,False
3.0713916,1516.7015,1.992394,91.998566,59.34201,1544.3767,0.00610657,0.025818832,22.378283,-0.0013410015,Nov,1,1,1,2,Returning_Visitor,True,False
7.0106525,94.06753,-0.004266701,0.13300125,101.33601,2183.608,2.1407046e-05,0.0049000112,32.365116,0.000116447605,Nov,2,2,1,1,Returning_Visitor,False,False
0.9782053,38.195576,0.006619223,0.2227916,6.959248,1168.0771,-0.00059973856,0.028080812,76.62621,7.0991587e-06,Nov,2,4,9,2,Returning_Visitor,False,False
9.04534,57.881683,-0.0009370368,0.16362564,32.129314,496.805,-9.904018e-06,0.010716437,27.56582,0.0003089259,Nov,2,2,1,2,Returning_Visitor,False,False
10.971665,594.17377,-0.0017380338,0.356821,59.553112,2592.7322,0.009807935,0.019609565,20.045195,-0.0004755681,Nov,3,2,2,11,Returning_Visitor,False,False
-0.00077330344,-0.32190755,3.0333488,63.134098,23.856808,680.2159,0.015544433,0.038556274,71.77583,-0.00010889893,Nov,1,1,8,10,Returning_Visitor,False,False
7.0373917,246.78178,1.0044554,1065.0309,33.280006,4894.6787,0.016328339,0.028130498,25.667934,-0.00051736954,Nov,3,2,2,2,Returning_Visitor,False,False
4.983835,113.44554,-0.0072195153,-0.042242125,137.78548,4150.0205,-6.387975e-05,0.008309494,17.532843,1.3178832e-05,Nov,2,2,9,2,Returning_Visitor,False,False
4.0619607,40.284,2.004572,150.8942,55.580242,2840.1643,-7.977743e-05,0.010681353,85.48489,-6.538754e-05,Mar,2,2,2,2,Returning_Visitor,True,False
