Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0026734,22.93412,2.9950876,53.854565,59.898544,4229.474,0.01322667,0.03351423,5.6701455,0.39599457,May,2,2,4,13,Returning_Visitor,False,False
15.240479,148.67363,2.020103,1517.4298,25.302202,2118.0776,0.005470907,0.01962854,16.268658,0.0005318734,Oct,2,2,2,20,Returning_Visitor,False,False
13.13295,189.31041,2.967928,24.534475,109.086044,4087.434,0.0067040646,0.013748224,23.948729,0.0011556918,May,3,2,9,13,Returning_Visitor,True,True
4.0125613,191.43355,8.048343,1204.8025,148.17293,8214.504,0.0018809695,0.011307034,1.2927878,0.0025028426,Nov,2,4,4,2,Returning_Visitor,True,False
19.032825,344.38535,1.0162941,51.61551,423.4035,9607.093,0.0034949367,0.012391974,3.367717,0.0010244908,Sep,2,2,9,1,Returning_Visitor,False,False
-0.041096084,0.5433573,-0.0066057662,-2.3552608,13.235983,469.85297,0.0004760061,0.0038406614,11.518329,0.99418294,May,1,8,1,11,New_Visitor,True,True
8.07737,963.2819,0.007578649,-0.21885498,32.223377,1015.05084,0.004293285,0.009420513,17.45544,0.0016026559,Dec,2,10,7,2,New_Visitor,True,True
1.9895135,24.8932,6.9571223,274.92728,75.92199,2724.0835,0.0029215177,0.024834504,8.563952,0.0003743122,Mar,2,5,2,7,Returning_Visitor,False,True
-0.02433955,-0.5527044,-0.008967005,-1.5204068,11.377974,288.22778,0.014508059,0.0196446,14.735008,0.0007375578,Sep,3,2,1,6,New_Visitor,False,True
0.01302994,2.2658992,-0.0011491996,-0.95958525,6.469607,892.72363,-0.00079720316,0.017030507,14.984749,0.38881505,May,4,1,2,2,New_Visitor,False,True
