Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
5.173836,189.54385,4.385977,548.7529,58.582226,2436.4753,0.0073051066,0.023373503,3.8761413,-0.00025119758,May,2,2,1,2,Returning_Visitor,False,False
1.4397455,51.588276,0.12935956,1.3422984,17.060043,656.4714,0.008666937,0.034249175,0.47358868,0.00084894773,May,1,1,1,2,Returning_Visitor,False,False
5.9776816,257.86725,1.2664057,30.927364,86.5861,3364.3994,0.0062798983,0.021670938,6.4891543,-0.0012953667,Nov,2,2,1,2,Returning_Visitor,False,False
0.037743695,1.1320643,0.008268632,-0.32924086,1.9814763,46.84956,0.18665482,0.19033664,0.060673438,0.006730298,May,2,2,1,1,Returning_Visitor,False,False
2.461888,74.57848,0.17984764,1.3884372,16.241985,550.45715,0.0016408596,0.017977031,0.26070282,-0.0011598183,Dec,2,2,1,2,New_Visitor,False,False
1.093049,31.092442,0.11994047,0.9229068,18.614906,735.06055,0.009887526,0.038066167,0.53036755,0.0006113636,Dec,2,2,1,1,Returning_Visitor,False,False
1.4031947,49.327282,0.15993889,1.2855548,19.51014,818.4002,0.00871419,0.035371996,1.1313603,0.0018367196,May,2,4,3,2,Returning_Visitor,False,False
2.0558708,62.488716,0.25515687,1.9165477,24.360546,974.94653,0.007277258,0.030702049,1.1795914,0.0021016735,May,2,2,7,2,Returning_Visitor,False,False
1.4636965,44.854374,0.15246795,1.287958,18.312574,762.8715,0.009449729,0.036191855,0.48994133,0.011140483,Sep,2,2,1,2,Returning_Visitor,False,False
1.0820282,41.00253,0.14464687,0.96833986,21.446333,903.65594,0.019024832,0.043846797,0.651735,-0.000635044,Nov,2,2,1,13,Returning_Visitor,False,False
1.616168,57.564762,0.12790616,1.0178775,17.109537,747.3366,0.0055797114,0.033451945,0.88675994,-0.0012095956,Nov,2,2,9,2,Returning_Visitor,False,False
3.2892032,109.11982,0.2727353,2.1103687,25.740196,902.43994,0.00945128,0.029150814,1.4619668,-0.00048576793,Oct,2,2,1,2,Returning_Visitor,False,False
1.7228972,59.461304,0.1608875,1.2826518,15.738563,616.82385,0.005634002,0.02863668,0.5224897,-0.00067835423,Mar,2,2,1,8,Returning_Visitor,False,False
1.3072389,44.472275,0.18138148,1.0437678,20.974901,781.4831,0.013970153,0.042421523,0.5923626,0.1968072,May,2,2,1,3,Returning_Visitor,False,False
1.3777684,48.813213,0.073796876,0.6773471,17.006773,650.0635,0.0105120335,0.03619888,0.30326006,0.0022568058,Nov,2,2,1,11,Returning_Visitor,False,False
0.86542714,27.730392,0.084835656,0.7645473,18.022814,655.28613,0.028252838,0.061201792,0.26522562,0.15099901,May,2,2,1,13,Returning_Visitor,False,False
1.5804708,46.49369,0.2031828,1.614313,23.044786,932.703,0.008611639,0.035735242,0.90524596,0.0037659693,May,2,5,3,1,Returning_Visitor,False,False
1.3608432,36.93074,0.13879897,0.8494472,26.893288,1086.4233,0.009218781,0.033527058,0.8048474,-0.00051364425,Nov,2,2,1,2,Returning_Visitor,False,False
1.3394688,63.476078,0.12095053,0.24273865,7.3512464,350.50702,0.028207015,0.06456353,0.43782684,-0.0006146816,Dec,8,13,9,20,Other,False,False
2.691697,98.19073,0.3539071,3.7867146,29.404053,1056.9095,0.015955957,0.040128317,1.2984602,-0.00080111,Aug,2,2,1,1,Returning_Visitor,False,False
6.4122005,259.74585,3.7859902,349.95276,85.15602,3478.5527,0.0043953597,0.016118301,14.555906,-0.0011839358,Nov,2,2,1,2,Returning_Visitor,False,True
2.6063359,104.215904,0.3205348,3.6333275,33.762817,1329.4271,0.0038781685,0.019221526,22.494888,-0.0010663284,Nov,2,5,3,2,Returning_Visitor,False,True
1.5162228,52.44702,0.118463166,1.282854,17.419657,764.86523,0.001096537,0.0149065545,31.560461,-0.0011023519,May,2,2,1,2,New_Visitor,False,True
1.8061857,66.545135,0.15608175,1.7860125,21.1761,941.611,0.0012352836,0.016286666,57.841408,-0.0010214759,Dec,2,2,7,2,Returning_Visitor,False,True
1.4983785,51.415684,0.38334498,7.2246723,22.781942,888.4023,0.009537545,0.029117933,17.398378,-0.0011284215,Nov,2,2,1,11,Returning_Visitor,False,True
1.5868312,73.02528,0.39054945,10.066397,30.874863,1421.7687,0.0013342738,0.014246955,23.958193,0.0016282747,Nov,2,2,9,2,Returning_Visitor,False,True
2.913894,94.38811,0.2690719,2.2310963,30.717066,1243.8914,0.0055336184,0.021727383,12.435461,-0.0008918804,Dec,2,2,1,2,Returning_Visitor,False,True
2.0950072,66.25316,0.15478493,1.1241969,38.118732,1615.6267,0.005613265,0.023500957,11.396942,-0.0008650062,Nov,2,2,1,2,Returning_Visitor,False,True
2.9260206,113.870316,0.49022022,16.274492,30.877563,1091.5864,0.004739314,0.01890346,13.511089,-0.0008887139,Aug,2,2,1,2,Returning_Visitor,False,True
4.6917048,148.53488,1.0880167,27.594555,64.30159,2488.7866,0.0053413953,0.01881297,10.297342,-0.0006331441,Nov,2,2,1,10,Returning_Visitor,False,True
2.148715,68.40044,0.24630569,1.6329287,25.834124,1107.1895,0.003662327,0.019438297,21.134613,-0.00095893565,May,2,4,1,2,Returning_Visitor,False,True
1.97197,71.63308,0.048978575,0.698698,17.838306,666.01965,0.0023811439,0.021329558,27.962095,-0.0007313204,Oct,2,2,1,2,Returning_Visitor,False,True
1.1030366,42.54813,-0.0047741155,-0.855856,26.870552,735.0043,0.0008286737,0.011582567,280.4968,-0.0017782463,Sep,2,2,3,2,New_Visitor,False,True
3.219587,132.73714,0.2576986,1.9871386,29.725786,1232.4299,0.0056010424,0.021311766,24.772621,0.054459803,May,2,2,1,4,Returning_Visitor,False,True
6.667671,223.99147,2.778593,164.98549,334.95624,12650.573,0.004483796,0.015390701,3.7068217,0.00016401583,Nov,2,2,1,2,Returning_Visitor,False,True
2.5027452,85.67385,0.08581618,0.6113605,26.19791,1213.3125,0.0030997002,0.020865291,16.967442,-0.0007727978,Nov,2,1,1,8,New_Visitor,False,True
2.2253296,80.308,0.10461039,0.5253925,19.392569,1117.7573,0.0011818592,0.012880676,83.72767,-0.0013146041,Dec,8,13,9,20,Other,False,True
2.0943713,76.58044,0.13958512,1.4737376,23.46042,1025.9521,0.0035842338,0.02223596,24.775202,-0.001094119,May,1,1,1,2,Returning_Visitor,False,True
5.680527,172.4891,1.0627662,25.607466,121.25492,4681.6543,0.005929939,0.021112464,7.334807,-0.00050343695,Nov,2,2,1,2,Returning_Visitor,False,True
2.5584474,84.94053,0.39831054,6.4090996,32.858765,1346.1595,0.0076258373,0.025306117,4.9590783,-0.00057868037,Nov,1,1,1,2,Returning_Visitor,False,True
