Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.4393935,91.84585,0.3814806,10.538,23.827156,896.00964,0.011339493,0.030480068,0.84435767,0.025788141,May,3,2,8,1,Returning_Visitor,False,False
1.849669,34.192997,0.30966583,5.141674,26.6996,932.01056,0.00740936,0.029000595,1.2786267,0.1389713,May,2,2,1,4,Returning_Visitor,False,False
2.3581429,81.66017,0.59970415,22.160233,28.005552,1068.6268,0.0066894596,0.024826556,1.7790596,-0.0011498792,Nov,1,1,1,2,Returning_Visitor,False,False
1.6644858,42.22617,0.22902082,6.3935547,28.13361,1161.2228,0.010771376,0.036176547,1.0180213,-0.0008197141,Mar,2,2,1,1,Returning_Visitor,False,False
2.0629854,51.87135,0.19868256,5.9831676,26.186033,945.431,0.012298919,0.03356928,0.6875388,-0.0013324035,Nov,1,1,1,3,Returning_Visitor,False,False
1.8284082,49.753983,0.22864158,7.5173683,28.815681,1129.9639,0.0066207782,0.028314257,1.304393,0.06503545,May,2,2,3,2,Returning_Visitor,False,False
1.0197084,21.375896,0.08891348,1.0078372,22.033285,788.157,0.010943969,0.039024036,0.49516365,0.079811275,May,2,4,1,3,Returning_Visitor,False,False
1.1411506,26.256535,0.18621795,2.713974,30.906929,1000.47296,0.031240774,0.051234122,0.42818996,0.77887106,May,3,2,1,13,Returning_Visitor,False,False
1.9436388,55.749653,0.36802393,16.687881,30.234896,1250.3756,0.0051359027,0.028338138,1.1191037,-0.0015781088,Dec,2,2,1,2,Returning_Visitor,False,False
1.2204399,24.33453,0.091888554,2.3464527,19.89012,670.2222,0.010528319,0.037473567,0.43354484,0.075572714,May,2,2,1,3,Returning_Visitor,False,False
8.903331,1060.3297,1.3641529,59.47518,47.401684,2293.9272,0.0069397646,0.019824564,5.040177,0.0057889097,Dec,2,2,1,2,Returning_Visitor,False,False
1.3514273,49.75431,0.31454816,11.470631,27.721172,1114.5585,0.02270902,0.036481906,0.81892794,-0.0031340208,Nov,3,2,1,13,Returning_Visitor,False,False
10.347372,356.18423,1.8593093,85.083,88.21861,3312.9944,0.0035393944,0.015688235,5.123888,0.017380321,May,2,2,1,2,Returning_Visitor,False,False
2.4304035,75.08576,0.7790946,23.367344,31.054491,1273.5913,0.01162982,0.027656855,1.7510006,-0.0016061006,Nov,3,2,1,2,Returning_Visitor,False,False
1.5692209,46.967022,0.22674261,7.82164,25.888811,1059.6997,0.013377146,0.03699746,0.9684226,0.12669583,May,2,2,1,6,Returning_Visitor,False,False
1.6537883,67.136696,0.1392629,-1.088503,7.5875,349.99365,0.027556628,0.064000055,1.200465,0.003574128,Dec,8,13,9,20,Other,False,False
1.9818987,55.677536,0.18921886,5.588358,28.068094,1109.6287,0.012489035,0.037741117,1.5407679,0.017829245,May,2,2,3,1,Returning_Visitor,False,False
4.307291,129.93332,0.7219178,21.829073,41.56746,1550.1025,0.005923796,0.017632827,59.82644,-0.0015578208,Dec,2,2,1,2,Returning_Visitor,False,False
1.9898826,61.18418,0.27395263,6.9405174,25.490925,882.94696,0.009481594,0.02734063,1.5012028,0.05344975,May,1,1,1,4,Returning_Visitor,False,False
